DATE;TIME PERIOD;Germany;Spain;France;Italy
31/03/1949;1949Q1;;;65631.51;
30/06/1949;1949Q2;;;66223.32;
30/09/1949;1949Q3;;;67215.21;
31/12/1949;1949Q4;;;68154.35;
31/03/1950;1950Q1;;;70027.39;
30/06/1950;1950Q2;;;71795.97;
30/09/1950;1950Q3;;;73536.59;
31/12/1950;1950Q4;;;75295.78;
31/03/1951;1951Q1;;;75331.45;
30/06/1951;1951Q2;;;75877.27;
30/09/1951;1951Q3;;;76967.33;
31/12/1951;1951Q4;;;77742.71;
31/03/1952;1952Q1;;;79094.60;
30/06/1952;1952Q2;;;78672.75;
30/09/1952;1952Q3;;;79440.34;
31/12/1952;1952Q4;;;79268.97;
31/03/1953;1953Q1;;;80136.79;
30/06/1953;1953Q2;;;81431.62;
30/09/1953;1953Q3;;;81814.81;
31/12/1953;1953Q4;;;83123.44;
31/03/1954;1954Q1;;;84376.97;
30/06/1954;1954Q2;;;85886.44;
30/09/1954;1954Q3;;;87252.22;
31/12/1954;1954Q4;;;87920.99;
31/03/1955;1955Q1;;;89094.48;
30/06/1955;1955Q2;;;90394.19;
30/09/1955;1955Q3;;;91739.04;
31/12/1955;1955Q4;;;92753.74;
31/03/1956;1956Q1;;;93460.61;
30/06/1956;1956Q2;;;95067.86;
30/09/1956;1956Q3;;;96243.13;
31/12/1956;1956Q4;;;97694.03;
31/03/1957;1957Q1;;;99551.58;
30/06/1957;1957Q2;;;100239.40;
30/09/1957;1957Q3;;;101911.70;
31/12/1957;1957Q4;;;102204.22;
31/03/1958;1958Q1;;;103519.98;
30/06/1958;1958Q2;;;103922.31;
30/09/1958;1958Q3;;;103726.64;
31/12/1958;1958Q4;;;104077.82;
31/03/1959;1959Q1;;;104285.98;
30/06/1959;1959Q2;;;105628.95;
30/09/1959;1959Q3;;;106800.66;
31/12/1959;1959Q4;;;109479.20;
31/03/1960;1960Q1;;;111753.91;
30/06/1960;1960Q2;;;114552.10;
30/09/1960;1960Q3;;;116462.96;
31/12/1960;1960Q4;;;117677.46;
31/03/1961;1961Q1;;;119306.39;
30/06/1961;1961Q2;;;120047.05;
30/09/1961;1961Q3;;;121186.66;
31/12/1961;1961Q4;;;123327.72;
31/03/1962;1962Q1;;;125878.54;
30/06/1962;1962Q2;;;127803.28;
30/09/1962;1962Q3;;;130279.20;
31/12/1962;1962Q4;;;131679.80;
31/03/1963;1963Q1;;;130439.59;
30/06/1963;1963Q2;;;136280.27;
30/09/1963;1963Q3;;;140924.10;
31/12/1963;1963Q4;;;140512.95;
31/03/1964;1964Q1;;;143486.08;
30/06/1964;1964Q2;;;145312.76;
30/09/1964;1964Q3;;;146671.97;
31/12/1964;1964Q4;;;148610.23;
31/03/1965;1965Q1;;;149307.90;
30/06/1965;1965Q2;;;152081.51;
30/09/1965;1965Q3;;;154258.52;
31/12/1965;1965Q4;;;156604.65;
31/03/1966;1966Q1;;;157864.85;
30/06/1966;1966Q2;;;160444.76;
30/09/1966;1966Q3;;;162279.50;
31/12/1966;1966Q4;;;163227.75;
31/03/1967;1967Q1;;;165902.26;
30/06/1967;1967Q2;;;167889.23;
30/09/1967;1967Q3;;;169596.43;
31/12/1967;1967Q4;;;171363.89;
31/03/1968;1968Q1;;;176167.73;
30/06/1968;1968Q2;;;166789.41;
30/09/1968;1968Q3;;;180244.80;
31/12/1968;1968Q4;;;182221.54;
31/03/1969;1969Q1;;;183902.28;
30/06/1969;1969Q2;;;187744.74;
30/09/1969;1969Q3;;;190424.31;
31/12/1969;1969Q4;;;193385.15;
31/03/1970;1970Q1;;;196249.60;
30/06/1970;1970Q2;;;199759.27;
30/09/1970;1970Q3;;;201921.83;
31/12/1970;1970Q4;;;204429.56;
31/03/1971;1971Q1;;;207635.06;
30/06/1971;1971Q2;;;209873.92;
30/09/1971;1971Q3;;;212662.73;
31/12/1971;1971Q4;;;214728.82;
31/03/1972;1972Q1;;;217159.03;
30/06/1972;1972Q2;;;218742.45;
30/09/1972;1972Q3;;;221721.12;
31/12/1972;1972Q4;;;225136.47;
31/03/1973;1973Q1;;;229347.09;
30/06/1973;1973Q2;;;232697.21;
30/09/1973;1973Q3;;;236392.61;
31/12/1973;1973Q4;;;239253.12;
31/03/1974;1974Q1;;;243178.91;
30/06/1974;1974Q2;;;244894.56;
30/09/1974;1974Q3;;;247611.49;
31/12/1974;1974Q4;;;243194.30;
31/03/1975;1975Q1;;;241317.61;
30/06/1975;1975Q2;;;241239.52;
30/09/1975;1975Q3;;;241081.95;
31/12/1975;1975Q4;;;246237.07;
31/03/1976;1976Q1;;;248559.55;
30/06/1976;1976Q2;;;251958.00;
30/09/1976;1976Q3;;;254833.25;
31/12/1976;1976Q4;;;256632.43;
31/03/1977;1977Q1;;;259536.58;
30/06/1977;1977Q2;;;260576.33;
30/09/1977;1977Q3;;;262708.58;
31/12/1977;1977Q4;;;264804.22;
31/03/1978;1978Q1;;;268466.20;
30/06/1978;1978Q2;;;271391.57;
30/09/1978;1978Q3;;;273080.28;
31/12/1978;1978Q4;;;276191.28;
31/03/1979;1979Q1;;;279248.97;
30/06/1979;1979Q2;;;280674.25;
30/09/1979;1979Q3;;;284287.15;
31/12/1979;1979Q4;;;285273.60;
31/03/1980;1980Q1;;;307573.70;
30/06/1980;1980Q2;;;305096.20;
30/09/1980;1980Q3;;;305557.50;
31/12/1980;1980Q4;;;305080.40;
31/03/1981;1981Q1;;;306214.50;
30/06/1981;1981Q2;;;308529.80;
30/09/1981;1981Q3;;;310601.80;
31/12/1981;1981Q4;;;312474.50;
31/03/1982;1982Q1;;;314838.00;
30/06/1982;1982Q2;;;317069.00;
30/09/1982;1982Q3;;;316884.60;
31/12/1982;1982Q4;;;318782.00;
31/03/1983;1983Q1;;;320007.40;
30/06/1983;1983Q2;;;320182.40;
30/09/1983;1983Q3;;;320696.40;
31/12/1983;1983Q4;;;322692.20;
31/03/1984;1984Q1;;;324129.00;
30/06/1984;1984Q2;;;325671.90;
30/09/1984;1984Q3;;;327777.20;
31/12/1984;1984Q4;;;327475.20;
31/03/1985;1985Q1;;;328296.10;
30/06/1985;1985Q2;;;331026.70;
30/09/1985;1985Q3;;;332920.70;
31/12/1985;1985Q4;;;334602.10;
31/03/1986;1986Q1;;;335635.60;
30/06/1986;1986Q2;;;339318.40;
30/09/1986;1986Q3;;;341160.10;
31/12/1986;1986Q4;;;341586.20;
31/03/1987;1987Q1;;;341867.50;
30/06/1987;1987Q2;;;346956.80;
30/09/1987;1987Q3;;;349290.50;
31/12/1987;1987Q4;;;354441.80;
31/03/1988;1988Q1;;;358993.00;
30/06/1988;1988Q2;;;362134.70;
30/09/1988;1988Q3;;;366717.50;
31/12/1988;1988Q4;;;369742.60;
31/03/1989;1989Q1;;;374552.40;
30/06/1989;1989Q2;;;378731.10;
30/09/1989;1989Q3;;;382998.40;
31/12/1989;1989Q4;;;388134.70;
31/03/1990;1990Q1;;;388956.30;
30/06/1990;1990Q2;;;391046.00;
30/09/1990;1990Q3;;;393587.00;
31/12/1990;1990Q4;;;393398.00;
31/03/1991;1991Q1;610842.11;;394433.10;
30/06/1991;1991Q2;607909.12;;395889.70;
30/09/1991;1991Q3;606960.20;;397494.60;
31/12/1991;1991Q4;615672.94;;399412.80;
31/03/1992;1992Q1;624148.98;;402269.50;
30/06/1992;1992Q2;620266.92;;402721.20;
30/09/1992;1992Q3;618800.35;;402258.10;
31/12/1992;1992Q4;617075.01;;402334.40;
31/03/1993;1993Q1;612179.20;;400160.70;
30/06/1993;1993Q2;612265.51;;400179.70;
30/09/1993;1993Q3;615888.89;;400669.90;
31/12/1993;1993Q4;615371.26;;401724.10;
31/03/1994;1994Q1;624062.75;;404450.70;
30/06/1994;1994Q2;627513.47;;408509.10;
30/09/1994;1994Q3;631222.97;;412198.90;
31/12/1994;1994Q4;638210.65;;416084.50;
31/03/1995;1995Q1;635687.43;189189.00;418050.70;373226.38
30/06/1995;1995Q2;640777.12;190436.00;420791.80;374397.67
30/09/1995;1995Q3;642071.09;191279.00;421449.40;373621.06
31/12/1995;1995Q4;642329.89;192727.00;421282.90;376846.33
31/03/1996;1996Q1;637758.07;193835.00;424211.40;402980.10
30/06/1996;1996Q2;646470.86;195175.00;425029.40;403560.40
30/09/1996;1996Q3;648972.54;196776.00;426670.10;404270.10
31/12/1996;1996Q4;654924.82;197755.00;428311.30;402949.40
31/03/1997;1997Q1;651582.22;199727.00;430139.70;404103.70
30/06/1997;1997Q2;658828.73;201529.00;434654.50;410644.40
30/09/1997;1997Q3;661416.73;203766.00;438976.50;412372.30
31/12/1997;1997Q4;666334.02;206628.00;443314.50;418506.20
31/03/1998;1998Q1;672696.24;208368.00;447563.60;416543.00
30/06/1998;1998Q2;669590.71;210656.00;450768.50;418879.90
30/09/1998;1998Q3;672868.74;212663.00;453100.00;419280.50
31/12/1998;1998Q4;672696.28;214880.00;456206.20;417902.60
31/03/1999;1999Q1;680503.42;216997.00;459345.10;419848.90
30/06/1999;1999Q2;679640.70;219484.00;462323.70;421554.00
30/09/1999;1999Q3;688957.89;222470.00;469133.90;425981.40
31/12/1999;1999Q4;692236.20;224940.00;475778.10;432487.60
31/03/2000;2000Q1;702911.67;228493.00;480396.80;437723.60
30/06/2000;2000Q2;708519.05;231381.00;485749.90;440541.20
30/09/2000;2000Q3;709036.65;233741.00;489471.60;444421.00
31/12/2000;2000Q4;706017.32;236243.00;492483.50;448692.10
31/03/2001;2001Q1;721006.32;238642.00;495026.60;452487.40
30/06/2001;2001Q2;719194.77;240497.00;495172.30;452123.00
30/09/2001;2001Q3;719194.75;242809.00;497942.70;450184.10
31/12/2001;2001Q4;716951.87;244354.00;495834.50;449515.80
31/03/2002;2002Q1;713608.89;245509.00;498659.60;450180.20
30/06/2002;2002Q2;716369.45;247567.00;501030.60;451616.20
30/09/2002;2002Q3;721286.77;248954.00;503039.10;452141.00
31/12/2002;2002Q4;719302.59;250898.00;503535.50;454833.30
31/03/2003;2003Q1;709532.91;253316.00;505049.80;453048.90
30/06/2003;2003Q2;710568.05;254287.00;502836.40;451998.10
30/09/2003;2003Q3;717037.96;256181.00;508216.10;450966.70
31/12/2003;2003Q4;717900.63;258329.00;510024.60;455394.70
31/03/2004;2004Q1;716800.82;259840.00;515553.00;457004.90
30/06/2004;2004Q2;721027.96;262599.00;517830.20;458397.40
30/09/2004;2004Q3;718698.68;264814.00;519642.30;458850.40
31/12/2004;2004Q4;718439.93;266693.00;524248.70;459873.60
31/03/2005;2005Q1;719582.76;269076.00;525861.20;459176.40
30/06/2005;2005Q2;723896.25;271464.00;526989.90;462928.70
30/09/2005;2005Q3;729590.13;274064.00;530980.30;465434.40
31/12/2005;2005Q4;732350.80;276769.00;534657.90;467557.10
31/03/2006;2006Q1;740524.49;279989.00;539344.30;469127.30
30/06/2006;2006Q2;753205.91;282509.00;545824.80;470613.00
30/09/2006;2006Q3;758899.61;285176.00;546207.90;472022.50
31/12/2006;2006Q4;770028.15;287830.00;549207.50;478509.30
31/03/2007;2007Q1;771041.95;290446.00;554907.30;478056.50
30/06/2007;2007Q2;776131.70;292995.00;558546.30;479215.30
30/09/2007;2007Q3;780099.90;295191.00;560355.30;479123.00
31/12/2007;2007Q4;785879.71;296994.00;560936.90;478117.40
31/03/2008;2008Q1;790495.44;297549.00;565771.90;483348.70
30/06/2008;2008Q2;787648.54;297654.00;561525.30;478846.80
30/09/2008;2008Q3;783335.04;297024.00;560226.00;471642.80
31/12/2008;2008Q4;771170.94;292418.00;553088.10;460392.30
31/03/2009;2009Q1;735024.76;284598.00;542720.70;449089.50
30/06/2009;2009Q2;736836.46;284785.00;543668.50;446680.50
30/09/2009;2009Q3;741408.81;285346.00;544574.80;448181.00
31/12/2009;2009Q4;747102.65;285277.00;548473.40;449382.50
31/03/2010;2010Q1;752536.89;285022.00;550332.10;451102.20
30/06/2010;2010Q2;768841.98;285374.00;552833.00;454150.50
30/09/2010;2010Q3;776261.22;285194.00;556584.30;455357.70
31/12/2010;2010Q4;781351.18;285489.00;559768.80;459266.00
31/03/2011;2011Q1;795477.26;285264.00;567212.00;461868.50
30/06/2011;2011Q2;797633.95;284526.00;567199.50;460767.70
30/09/2011;2011Q3;801947.35;282790.00;569192.10;458661.80
31/12/2011;2011Q4;801861.08;281197.00;571023.90;454174.10
31/03/2012;2012Q1;803564.86;278551.00;570730.90;449440.90
30/06/2012;2012Q2;804427.56;275851.00;568488.40;445688.80
30/09/2012;2012Q3;806066.58;274584.00;570416.90;442732.20
31/12/2012;2012Q4;803651.15;272307.00;570134.30;439332.90
31/03/2013;2013Q1;799208.05;271559.00;571234.30;435692.10
30/06/2013;2013Q2;808525.29;271281.00;576263.30;435590.00
30/09/2013;2013Q3;812666.25;271109.00;575069.90;437046.30
31/12/2013;2013Q4;813873.99;271625.00;578416.40;436403.50
31/03/2014;2014Q1;822371.37;272652.00;578467.20;436584.10
30/06/2014;2014Q2;822198.81;274124.00;579876.10;436697.80
30/09/2014;2014Q3;826770.92;276316.00;583727.60;436732.60
31/12/2014;2014Q4;833068.31;278988.00;581912.40;436030.60
31/03/2015;2015Q1;831257.10;282384.00;585400.50;437779.30
30/06/2015;2015Q2;835570.32;285546.00;585698.20;439660.90
30/09/2015;2015Q3;840056.21;288165.00;587391.20;439804.50
31/12/2015;2015Q4;844369.43;290739.00;588675.00;441819.30
31/03/2016;2016Q1;851788.78;292758.00;590557.70;442729.30
30/06/2016;2016Q2;853686.59;293727.00;589386.80;444163.00
30/09/2016;2016Q3;856705.92;296049.00;590391.70;447201.50
31/12/2016;2016Q4;860674.16;297731.00;594005.80;448797.10
31/03/2017;2017Q1;871845.70;299839.00;598101.30;450968.50
30/06/2017;2017Q2;878057.21;302975.00;602530.90;452898.10
30/09/2017;2017Q3;885045.01;304888.00;606941.70;453248.10
31/12/2017;2017Q4;894017.13;306745.00;610493.20;455941.30
31/03/2018;2018Q1;889078.01;308056.00;610373.20;455284.60
30/06/2018;2018Q2;896065.73;310065.00;611746.70;456554.90
30/09/2018;2018Q3;890199.42;311796.00;614920.30;456151.40
31/12/2018;2018Q4;894167.82;313621.00;619475.70;457420.60
31/03/2019;2019Q1;900034.02;315544.00;625292.20;458448.30
30/06/2019;2019Q2;900551.64;316454.00;628638.30;460263.90
30/09/2019;2019Q3;904002.41;317060.00;628612.70;457770.60
31/12/2019;2019Q4;900983.03;318869.00;625440.90;456565.90
31/03/2020;2020Q1;882694.15;302360.00;593776.40;430560.90
30/06/2020;2020Q2;804362.80;248569.00;521476.60;376798.20
30/09/2020;2020Q3;874153.66;288097.00;601252.40;430208.10
31/12/2020;2020Q4;882607.92;290188.00;600673.90;431386.20
31/03/2021;2021Q1;877173.08;293675.00;603207.00;438506.20
30/06/2021;2021Q2;897791.11;297701.00;610443.40;449590.30
30/09/2021;2021Q3;898567.50;303569.00;628797.60;460164.70
31/12/2021;2021Q4;903398.50;309736.00;632276.40;467613.80
31/03/2022;2022Q1;909523.53;314604.00;631725.30;470916.80
30/06/2022;2022Q2;910903.80;319957.00;634305.70;478373.00
30/09/2022;2022Q3;913578.11;322567.00;637875.50;479040.80
31/12/2022;2022Q4;910386.22;324296.00;640040.40;477873.00
31/03/2023;2023Q1;906094.38;325950.00;640633.30;480620.40
30/06/2023;2023Q2;905404.20;326419.00;646272.00;480875.30
30/09/2023;2023Q3;905404.24;328997.00;647847.70;481246.30
31/12/2023;2023Q4;902902.41;331591.00;650427.50;482894.10
31/03/2024;2024Q1;901931.96;335282.00;651502.00;483280.80
30/06/2024;2024Q2;899602.69;338363.00;652814.20;484422.50
