"Sample","Metric","Country","Block","factor_midas","sg_lasso","ar1","rw"
"all_vintages","RMSE","Germany","Revenues",9683.6206,13422.839,7711.7308,11149.1102
"last_before_release","RMSE","Germany","Revenues",8806.2102,14824.6509,7753.3739,11120.7539
"all_vintages","RMSE","Germany","Expenditures",12766.9923,8941.6109,8692.5967,12583.1476
"last_before_release","RMSE","Germany","Expenditures",13611.1955,9432.4913,8729.2285,12495.7886
"all_vintages","RMSE","France","Revenues",10452.6204,9186.323,10075.4188,11945.201
"last_before_release","RMSE","France","Revenues",6259.7678,7610.3493,10034.0433,11816.9187
"all_vintages","RMSE","France","Expenditures",5062.2527,5845.4208,5464.8457,7172.7695
"last_before_release","RMSE","France","Expenditures",5505.2079,4767.7453,5468.15,7151.2243
"all_vintages","RMSE","Italy","Revenues",6628.6168,7322.438,4785.6948,5960.7049
"last_before_release","RMSE","Italy","Revenues",5332.0436,7602.6428,4818.3718,5952.2196
"all_vintages","RMSE","Italy","Expenditures",8046.1516,9029.2831,7598.1176,10669.7329
"last_before_release","RMSE","Italy","Expenditures",8221.9627,10150.9031,7710.6022,10843.9981
"all_vintages","RMSE","Spain","Revenues",4862.1787,5398.0308,4421.8741,6636.2654
"last_before_release","RMSE","Spain","Revenues",3687.2962,4538.6978,4394.4297,6592.0489
"all_vintages","RMSE","Spain","Expenditures",11717.3678,9140.4735,5853.5138,8247.9281
"last_before_release","RMSE","Spain","Expenditures",11560.7753,8549.3237,5966.1817,8457.654
"all_vintages","MAE","Germany","Revenues",5863.1937,6557.5949,4842.7643,6651.0094
"last_before_release","MAE","Germany","Revenues",5885.8138,7212.0568,4848.5154,6643.0784
"all_vintages","MAE","Germany","Expenditures",8477.3366,5789.5751,5885.6445,8229.9983
"last_before_release","MAE","Germany","Expenditures",8748.8548,5931.3355,5913.7123,8171.3725
"all_vintages","MAE","France","Revenues",5209.3266,4646.6525,4727.8402,5962.9634
"last_before_release","MAE","France","Revenues",4373.9358,4324.3043,4733.6899,5949.5804
"all_vintages","MAE","France","Expenditures",3221.5367,3328.4191,3182.9167,3816.7641
"last_before_release","MAE","France","Expenditures",3474.7192,2931.3439,3184.9939,3822.549
"all_vintages","MAE","Italy","Revenues",3769.9315,4162.0279,3246.3862,4275.827
"last_before_release","MAE","Italy","Revenues",3480.236,4356.6295,3266.4083,4280.4332
"all_vintages","MAE","Italy","Expenditures",4447.6204,5091.6504,4006.6789,6047.3229
"last_before_release","MAE","Italy","Expenditures",4622.4961,6026.2315,4059.8036,6103.8754
"all_vintages","MAE","Spain","Revenues",2600.8373,2781.051,2636.6981,3469.5566
"last_before_release","MAE","Spain","Revenues",2264.5941,2597.7136,2607.6535,3438
"all_vintages","MAE","Spain","Expenditures",5499.9004,4822.2639,3554.6003,4866.0153
"last_before_release","MAE","Spain","Expenditures",5749.7939,5032.1107,3621.4566,4944.5098
"all_vintages","R2","Germany","Revenues",-0.6221,-2.2016,-0.0568,-1.2088
"last_before_release","R2","Germany","Revenues",-0.3223,-2.8673,-0.0579,-1.1763
"all_vintages","R2","Germany","Expenditures",-1.372,-0.1975,-0.1317,-1.3714
"last_before_release","R2","Germany","Expenditures",-1.7262,-0.3353,-0.1437,-1.3435
"all_vintages","R2","France","Revenues",-0.9424,-0.6256,-0.9555,-1.7487
"last_before_release","R2","France","Revenues",0.2813,-0.1119,-0.9329,-1.6808
"all_vintages","R2","France","Expenditures",-0.1874,-0.6422,-0.4354,-1.4727
"last_before_release","R2","France","Expenditures",-0.4833,-0.1126,-0.4634,-1.503
"all_vintages","R2","Italy","Revenues",-1.4419,-1.9269,-0.2502,-0.9395
"last_before_release","R2","Italy","Revenues",-0.5321,-2.1148,-0.2511,-0.9092
"all_vintages","R2","Italy","Expenditures",-0.4102,-0.7758,-0.2575,-1.4797
"last_before_release","R2","Italy","Expenditures",-0.4383,-1.1924,-0.265,-1.502
"all_vintages","R2","Spain","Revenues",-0.4012,-0.734,-0.1636,-1.6208
"last_before_release","R2","Spain","Revenues",0.193,-0.2226,-0.1462,-1.5792
"all_vintages","R2","Spain","Expenditures",-5.0295,-2.6691,-0.5047,-1.9875
"last_before_release","R2","Spain","Expenditures",-4.5406,-2.03,-0.4756,-1.9654
