"model","country","block","publication_date","nowcast_value","nb_factors","lambda","gamma","cv_mse","df","n_selected","n_selected_groups","date_new","last_obs_y","target_name","selected_columns","status","error"
"ar1","France","Expenditures","2013-01-01",-622.420143763313,NA,NA,NA,NA,NA,NA,NA,2013-01-01,5175.39999999997,"Total expenditures accrual",NA,"OK",NA
"ar1","France","Expenditures","2013-01-02",-622.420143763313,NA,NA,NA,NA,NA,NA,NA,2013-01-01,5175.39999999997,"Total expenditures accrual",NA,"OK",NA
"ar1","France","Expenditures","2013-01-15",-622.420143763313,NA,NA,NA,NA,NA,NA,NA,2013-01-01,5175.39999999997,"Total expenditures accrual",NA,"OK",NA
"ar1","France","Expenditures","2013-01-27",-622.420143763313,NA,NA,NA,NA,NA,NA,NA,2013-01-01,5175.39999999997,"Total expenditures accrual",NA,"OK",NA
"ar1","France","Expenditures","2013-02-01",-622.420143763313,NA,NA,NA,NA,NA,NA,NA,2013-02-01,5175.39999999997,"Total expenditures accrual",NA,"OK",NA
"ar1","France","Expenditures","2013-02-05",-622.420143763313,NA,NA,NA,NA,NA,NA,NA,2013-02-01,5175.39999999997,"Total expenditures accrual",NA,"OK",NA
"ar1","France","Expenditures","2013-02-15",-622.420143763313,NA,NA,NA,NA,NA,NA,NA,2013-02-01,5175.39999999997,"Total expenditures accrual",NA,"OK",NA
"ar1","France","Expenditures","2013-02-27",-622.420143763313,NA,NA,NA,NA,NA,NA,NA,2013-02-01,5175.39999999997,"Total expenditures accrual",NA,"OK",NA
"ar1","France","Expenditures","2013-03-01",-622.420143763313,NA,NA,NA,NA,NA,NA,NA,2013-03-01,5175.39999999997,"Total expenditures accrual",NA,"OK",NA
"ar1","France","Expenditures","2013-03-05",-622.420143763313,NA,NA,NA,NA,NA,NA,NA,2013-03-01,5175.39999999997,"Total expenditures accrual",NA,"OK",NA
"ar1","France","Expenditures","2013-03-15",2283.85299788703,NA,NA,NA,NA,NA,NA,NA,2013-03-01,939.100000000035,"Total expenditures accrual",NA,"OK",NA
"ar1","France","Expenditures","2013-03-27",2283.85299788703,NA,NA,NA,NA,NA,NA,NA,2013-03-01,939.100000000035,"Total expenditures accrual",NA,"OK",NA
"ar1","France","Expenditures","2013-04-01",2283.85299788703,NA,NA,NA,NA,NA,NA,NA,2013-04-01,939.100000000035,"Total expenditures accrual",NA,"OK",NA
"ar1","France","Expenditures","2013-04-15",2283.85299788703,NA,NA,NA,NA,NA,NA,NA,2013-04-01,939.100000000035,"Total expenditures accrual",NA,"OK",NA
"ar1","France","Expenditures","2013-04-27",2283.85299788703,NA,NA,NA,NA,NA,NA,NA,2013-04-01,939.100000000035,"Total expenditures accrual",NA,"OK",NA
"ar1","France","Expenditures","2013-05-01",2283.85299788703,NA,NA,NA,NA,NA,NA,NA,2013-05-01,939.100000000035,"Total expenditures accrual",NA,"OK",NA
"ar1","France","Expenditures","2013-05-03",2283.85299788703,NA,NA,NA,NA,NA,NA,NA,2013-05-01,939.100000000035,"Total expenditures accrual",NA,"OK",NA
"ar1","France","Expenditures","2013-05-15",2283.85299788703,NA,NA,NA,NA,NA,NA,NA,2013-05-01,939.100000000035,"Total expenditures accrual",NA,"OK",NA
"ar1","France","Expenditures","2013-05-27",2283.85299788703,NA,NA,NA,NA,NA,NA,NA,2013-05-01,939.100000000035,"Total expenditures accrual",NA,"OK",NA
"ar1","France","Expenditures","2013-06-01",2283.85299788703,NA,NA,NA,NA,NA,NA,NA,2013-06-01,939.100000000035,"Total expenditures accrual",NA,"OK",NA
"ar1","France","Expenditures","2013-06-06",2283.85299788703,NA,NA,NA,NA,NA,NA,NA,2013-06-01,939.100000000035,"Total expenditures accrual",NA,"OK",NA
"ar1","France","Expenditures","2013-06-15",1907.25612813638,NA,NA,NA,NA,NA,NA,NA,2013-06-01,1850.79999999999,"Total expenditures accrual",NA,"OK",NA
"ar1","France","Expenditures","2013-06-27",1907.25612813638,NA,NA,NA,NA,NA,NA,NA,2013-06-01,1850.79999999999,"Total expenditures accrual",NA,"OK",NA
"ar1","France","Expenditures","2013-07-01",1907.25612813638,NA,NA,NA,NA,NA,NA,NA,2013-07-01,1850.79999999999,"Total expenditures accrual",NA,"OK",NA
"ar1","France","Expenditures","2013-07-15",1907.25612813638,NA,NA,NA,NA,NA,NA,NA,2013-07-01,1850.79999999999,"Total expenditures accrual",NA,"OK",NA
"ar1","France","Expenditures","2013-07-27",1907.25612813638,NA,NA,NA,NA,NA,NA,NA,2013-07-01,1850.79999999999,"Total expenditures accrual",NA,"OK",NA
"ar1","France","Expenditures","2013-08-01",1907.25612813638,NA,NA,NA,NA,NA,NA,NA,2013-08-01,1850.79999999999,"Total expenditures accrual",NA,"OK",NA
"ar1","France","Expenditures","2013-08-04",1907.25612813638,NA,NA,NA,NA,NA,NA,NA,2013-08-01,1850.79999999999,"Total expenditures accrual",NA,"OK",NA
"ar1","France","Expenditures","2013-08-15",1907.25612813638,NA,NA,NA,NA,NA,NA,NA,2013-08-01,1850.79999999999,"Total expenditures accrual",NA,"OK",NA
"ar1","France","Expenditures","2013-08-27",1907.25612813638,NA,NA,NA,NA,NA,NA,NA,2013-08-01,1850.79999999999,"Total expenditures accrual",NA,"OK",NA
"ar1","France","Expenditures","2013-09-01",1907.25612813638,NA,NA,NA,NA,NA,NA,NA,2013-09-01,1850.79999999999,"Total expenditures accrual",NA,"OK",NA
"ar1","France","Expenditures","2013-09-07",1907.25612813638,NA,NA,NA,NA,NA,NA,NA,2013-09-01,1850.79999999999,"Total expenditures accrual",NA,"OK",NA
"ar1","France","Expenditures","2013-09-15",2089.21893217296,NA,NA,NA,NA,NA,NA,NA,2013-09-01,1158.90000000002,"Total expenditures accrual",NA,"OK",NA
"ar1","France","Expenditures","2013-09-27",2089.21893217296,NA,NA,NA,NA,NA,NA,NA,2013-09-01,1158.90000000002,"Total expenditures accrual",NA,"OK",NA
"ar1","France","Expenditures","2013-10-01",2089.21893217296,NA,NA,NA,NA,NA,NA,NA,2013-10-01,1158.90000000002,"Total expenditures accrual",NA,"OK",NA
"ar1","France","Expenditures","2013-10-02",2089.21893217296,NA,NA,NA,NA,NA,NA,NA,2013-10-01,1158.90000000002,"Total expenditures accrual",NA,"OK",NA
"ar1","France","Expenditures","2013-10-15",2089.21893217296,NA,NA,NA,NA,NA,NA,NA,2013-10-01,1158.90000000002,"Total expenditures accrual",NA,"OK",NA
"ar1","France","Expenditures","2013-10-27",2089.21893217296,NA,NA,NA,NA,NA,NA,NA,2013-10-01,1158.90000000002,"Total expenditures accrual",NA,"OK",NA
"ar1","France","Expenditures","2013-11-01",2089.21893217296,NA,NA,NA,NA,NA,NA,NA,2013-11-01,1158.90000000002,"Total expenditures accrual",NA,"OK",NA
"ar1","France","Expenditures","2013-11-05",2089.21893217296,NA,NA,NA,NA,NA,NA,NA,2013-11-01,1158.90000000002,"Total expenditures accrual",NA,"OK",NA
"ar1","France","Expenditures","2013-11-15",2089.21893217296,NA,NA,NA,NA,NA,NA,NA,2013-11-01,1158.90000000002,"Total expenditures accrual",NA,"OK",NA
"ar1","France","Expenditures","2013-11-27",2089.21893217296,NA,NA,NA,NA,NA,NA,NA,2013-11-01,1158.90000000002,"Total expenditures accrual",NA,"OK",NA
"ar1","France","Expenditures","2013-12-01",2089.21893217296,NA,NA,NA,NA,NA,NA,NA,2013-12-01,1158.90000000002,"Total expenditures accrual",NA,"OK",NA
"ar1","France","Expenditures","2013-12-07",2089.21893217296,NA,NA,NA,NA,NA,NA,NA,2013-12-01,1158.90000000002,"Total expenditures accrual",NA,"OK",NA
"ar1","France","Expenditures","2013-12-15",1740.26005157674,NA,NA,NA,NA,NA,NA,NA,2013-12-01,2181.69999999995,"Total expenditures accrual",NA,"OK",NA
"ar1","France","Expenditures","2013-12-27",1740.26005157674,NA,NA,NA,NA,NA,NA,NA,2013-12-01,2181.69999999995,"Total expenditures accrual",NA,"OK",NA
"ar1","France","Expenditures","2014-01-01",1740.26005157674,NA,NA,NA,NA,NA,NA,NA,2014-01-01,2181.69999999995,"Total expenditures accrual",NA,"OK",NA
"ar1","France","Expenditures","2014-01-03",1740.26005157674,NA,NA,NA,NA,NA,NA,NA,2014-01-01,2181.69999999995,"Total expenditures accrual",NA,"OK",NA
"ar1","France","Expenditures","2014-01-15",1740.26005157674,NA,NA,NA,NA,NA,NA,NA,2014-01-01,2181.69999999995,"Total expenditures accrual",NA,"OK",NA
"ar1","France","Expenditures","2014-01-27",1740.26005157674,NA,NA,NA,NA,NA,NA,NA,2014-01-01,2181.69999999995,"Total expenditures accrual",NA,"OK",NA
"ar1","France","Expenditures","2014-02-01",1740.26005157674,NA,NA,NA,NA,NA,NA,NA,2014-02-01,2181.69999999995,"Total expenditures accrual",NA,"OK",NA
"ar1","France","Expenditures","2014-02-06",1740.26005157674,NA,NA,NA,NA,NA,NA,NA,2014-02-01,2181.69999999995,"Total expenditures accrual",NA,"OK",NA
"ar1","France","Expenditures","2014-02-15",1740.26005157674,NA,NA,NA,NA,NA,NA,NA,2014-02-01,2181.69999999995,"Total expenditures accrual",NA,"OK",NA
"ar1","France","Expenditures","2014-02-27",1740.26005157674,NA,NA,NA,NA,NA,NA,NA,2014-02-01,2181.69999999995,"Total expenditures accrual",NA,"OK",NA
"ar1","France","Expenditures","2014-03-01",1740.26005157674,NA,NA,NA,NA,NA,NA,NA,2014-03-01,2181.69999999995,"Total expenditures accrual",NA,"OK",NA
"ar1","France","Expenditures","2014-03-06",1740.26005157674,NA,NA,NA,NA,NA,NA,NA,2014-03-01,2181.69999999995,"Total expenditures accrual",NA,"OK",NA
"ar1","France","Expenditures","2014-03-15",2433.52297953179,NA,NA,NA,NA,NA,NA,NA,2014-03-01,75.8000000000466,"Total expenditures accrual",NA,"OK",NA
