"model","country","block","publication_date","nowcast_value","nb_factors","lambda","gamma","cv_mse","df","n_selected","n_selected_groups","date_new","last_obs_y","target_name","selected_columns","status","error"
"ar1","France","Revenues","2013-01-01",4096.90923088938,NA,NA,NA,NA,NA,NA,NA,2013-01-01,9196.5,"Total revenues accrual",NA,"OK",NA
"ar1","France","Revenues","2013-01-02",4096.90923088938,NA,NA,NA,NA,NA,NA,NA,2013-01-01,9196.5,"Total revenues accrual",NA,"OK",NA
"ar1","France","Revenues","2013-01-05",4096.90923088938,NA,NA,NA,NA,NA,NA,NA,2013-01-01,9196.5,"Total revenues accrual",NA,"OK",NA
"ar1","France","Revenues","2013-01-15",4096.90923088938,NA,NA,NA,NA,NA,NA,NA,2013-01-01,9196.5,"Total revenues accrual",NA,"OK",NA
"ar1","France","Revenues","2013-01-27",4096.90923088938,NA,NA,NA,NA,NA,NA,NA,2013-01-01,9196.5,"Total revenues accrual",NA,"OK",NA
"ar1","France","Revenues","2013-01-31",4096.90923088938,NA,NA,NA,NA,NA,NA,NA,2013-01-01,9196.5,"Total revenues accrual",NA,"OK",NA
"ar1","France","Revenues","2013-02-01",4096.90923088938,NA,NA,NA,NA,NA,NA,NA,2013-02-01,9196.5,"Total revenues accrual",NA,"OK",NA
"ar1","France","Revenues","2013-02-05",4096.90923088938,NA,NA,NA,NA,NA,NA,NA,2013-02-01,9196.5,"Total revenues accrual",NA,"OK",NA
"ar1","France","Revenues","2013-02-15",4096.90923088938,NA,NA,NA,NA,NA,NA,NA,2013-02-01,9196.5,"Total revenues accrual",NA,"OK",NA
"ar1","France","Revenues","2013-02-27",4096.90923088938,NA,NA,NA,NA,NA,NA,NA,2013-02-01,9196.5,"Total revenues accrual",NA,"OK",NA
"ar1","France","Revenues","2013-02-28",4096.90923088938,NA,NA,NA,NA,NA,NA,NA,2013-02-01,9196.5,"Total revenues accrual",NA,"OK",NA
"ar1","France","Revenues","2013-03-01",4096.90923088938,NA,NA,NA,NA,NA,NA,NA,2013-03-01,9196.5,"Total revenues accrual",NA,"OK",NA
"ar1","France","Revenues","2013-03-05",4096.90923088938,NA,NA,NA,NA,NA,NA,NA,2013-03-01,9196.5,"Total revenues accrual",NA,"OK",NA
"ar1","France","Revenues","2013-03-15",7296.10123105455,NA,NA,NA,NA,NA,NA,NA,2013-03-01,-3982.10000000003,"Total revenues accrual",NA,"OK",NA
"ar1","France","Revenues","2013-03-27",7296.10123105455,NA,NA,NA,NA,NA,NA,NA,2013-03-01,-3982.10000000003,"Total revenues accrual",NA,"OK",NA
"ar1","France","Revenues","2013-03-28",7296.10123105455,NA,NA,NA,NA,NA,NA,NA,2013-03-01,-3982.10000000003,"Total revenues accrual",NA,"OK",NA
"ar1","France","Revenues","2013-04-01",7296.10123105455,NA,NA,NA,NA,NA,NA,NA,2013-04-01,-3982.10000000003,"Total revenues accrual",NA,"OK",NA
"ar1","France","Revenues","2013-04-05",7296.10123105455,NA,NA,NA,NA,NA,NA,NA,2013-04-01,-3982.10000000003,"Total revenues accrual",NA,"OK",NA
"ar1","France","Revenues","2013-04-15",7296.10123105455,NA,NA,NA,NA,NA,NA,NA,2013-04-01,-3982.10000000003,"Total revenues accrual",NA,"OK",NA
"ar1","France","Revenues","2013-04-25",7296.10123105455,NA,NA,NA,NA,NA,NA,NA,2013-04-01,-3982.10000000003,"Total revenues accrual",NA,"OK",NA
"ar1","France","Revenues","2013-04-27",7296.10123105455,NA,NA,NA,NA,NA,NA,NA,2013-04-01,-3982.10000000003,"Total revenues accrual",NA,"OK",NA
"ar1","France","Revenues","2013-05-01",7296.10123105455,NA,NA,NA,NA,NA,NA,NA,2013-05-01,-3982.10000000003,"Total revenues accrual",NA,"OK",NA
"ar1","France","Revenues","2013-05-03",7296.10123105455,NA,NA,NA,NA,NA,NA,NA,2013-05-01,-3982.10000000003,"Total revenues accrual",NA,"OK",NA
"ar1","France","Revenues","2013-05-05",7296.10123105455,NA,NA,NA,NA,NA,NA,NA,2013-05-01,-3982.10000000003,"Total revenues accrual",NA,"OK",NA
"ar1","France","Revenues","2013-05-15",7296.10123105455,NA,NA,NA,NA,NA,NA,NA,2013-05-01,-3982.10000000003,"Total revenues accrual",NA,"OK",NA
"ar1","France","Revenues","2013-05-27",7296.10123105455,NA,NA,NA,NA,NA,NA,NA,2013-05-01,-3982.10000000003,"Total revenues accrual",NA,"OK",NA
"ar1","France","Revenues","2013-05-30",7296.10123105455,NA,NA,NA,NA,NA,NA,NA,2013-05-01,-3982.10000000003,"Total revenues accrual",NA,"OK",NA
"ar1","France","Revenues","2013-06-01",7296.10123105455,NA,NA,NA,NA,NA,NA,NA,2013-06-01,-3982.10000000003,"Total revenues accrual",NA,"OK",NA
"ar1","France","Revenues","2013-06-05",7296.10123105455,NA,NA,NA,NA,NA,NA,NA,2013-06-01,-3982.10000000003,"Total revenues accrual",NA,"OK",NA
"ar1","France","Revenues","2013-06-06",7296.10123105455,NA,NA,NA,NA,NA,NA,NA,2013-06-01,-3982.10000000003,"Total revenues accrual",NA,"OK",NA
"ar1","France","Revenues","2013-06-15",2430.84335324432,NA,NA,NA,NA,NA,NA,NA,2013-06-01,3542.70000000001,"Total revenues accrual",NA,"OK",NA
"ar1","France","Revenues","2013-06-27",2430.84335324432,NA,NA,NA,NA,NA,NA,NA,2013-06-01,3542.70000000001,"Total revenues accrual",NA,"OK",NA
"ar1","France","Revenues","2013-07-01",2430.84335324432,NA,NA,NA,NA,NA,NA,NA,2013-07-01,3542.70000000001,"Total revenues accrual",NA,"OK",NA
"ar1","France","Revenues","2013-07-05",2430.84335324432,NA,NA,NA,NA,NA,NA,NA,2013-07-01,3542.70000000001,"Total revenues accrual",NA,"OK",NA
"ar1","France","Revenues","2013-07-15",2430.84335324432,NA,NA,NA,NA,NA,NA,NA,2013-07-01,3542.70000000001,"Total revenues accrual",NA,"OK",NA
"ar1","France","Revenues","2013-07-25",2430.84335324432,NA,NA,NA,NA,NA,NA,NA,2013-07-01,3542.70000000001,"Total revenues accrual",NA,"OK",NA
"ar1","France","Revenues","2013-07-27",2430.84335324432,NA,NA,NA,NA,NA,NA,NA,2013-07-01,3542.70000000001,"Total revenues accrual",NA,"OK",NA
"ar1","France","Revenues","2013-08-01",2430.84335324432,NA,NA,NA,NA,NA,NA,NA,2013-08-01,3542.70000000001,"Total revenues accrual",NA,"OK",NA
"ar1","France","Revenues","2013-08-04",2430.84335324432,NA,NA,NA,NA,NA,NA,NA,2013-08-01,3542.70000000001,"Total revenues accrual",NA,"OK",NA
"ar1","France","Revenues","2013-08-05",2430.84335324432,NA,NA,NA,NA,NA,NA,NA,2013-08-01,3542.70000000001,"Total revenues accrual",NA,"OK",NA
"ar1","France","Revenues","2013-08-15",2430.84335324432,NA,NA,NA,NA,NA,NA,NA,2013-08-01,3542.70000000001,"Total revenues accrual",NA,"OK",NA
"ar1","France","Revenues","2013-08-27",2430.84335324432,NA,NA,NA,NA,NA,NA,NA,2013-08-01,3542.70000000001,"Total revenues accrual",NA,"OK",NA
"ar1","France","Revenues","2013-08-29",2430.84335324432,NA,NA,NA,NA,NA,NA,NA,2013-08-01,3542.70000000001,"Total revenues accrual",NA,"OK",NA
"ar1","France","Revenues","2013-09-01",2430.84335324432,NA,NA,NA,NA,NA,NA,NA,2013-09-01,3542.70000000001,"Total revenues accrual",NA,"OK",NA
"ar1","France","Revenues","2013-09-05",2430.84335324432,NA,NA,NA,NA,NA,NA,NA,2013-09-01,3542.70000000001,"Total revenues accrual",NA,"OK",NA
"ar1","France","Revenues","2013-09-07",2430.84335324432,NA,NA,NA,NA,NA,NA,NA,2013-09-01,3542.70000000001,"Total revenues accrual",NA,"OK",NA
"ar1","France","Revenues","2013-09-15",2755.42544259413,NA,NA,NA,NA,NA,NA,NA,2013-09-01,2809.29999999999,"Total revenues accrual",NA,"OK",NA
"ar1","France","Revenues","2013-09-26",2755.42544259413,NA,NA,NA,NA,NA,NA,NA,2013-09-01,2809.29999999999,"Total revenues accrual",NA,"OK",NA
"ar1","France","Revenues","2013-09-27",2755.42544259413,NA,NA,NA,NA,NA,NA,NA,2013-09-01,2809.29999999999,"Total revenues accrual",NA,"OK",NA
"ar1","France","Revenues","2013-10-01",2755.42544259413,NA,NA,NA,NA,NA,NA,NA,2013-10-01,2809.29999999999,"Total revenues accrual",NA,"OK",NA
"ar1","France","Revenues","2013-10-02",2755.42544259413,NA,NA,NA,NA,NA,NA,NA,2013-10-01,2809.29999999999,"Total revenues accrual",NA,"OK",NA
"ar1","France","Revenues","2013-10-05",2755.42544259413,NA,NA,NA,NA,NA,NA,NA,2013-10-01,2809.29999999999,"Total revenues accrual",NA,"OK",NA
"ar1","France","Revenues","2013-10-15",2755.42544259413,NA,NA,NA,NA,NA,NA,NA,2013-10-01,2809.29999999999,"Total revenues accrual",NA,"OK",NA
"ar1","France","Revenues","2013-10-27",2755.42544259413,NA,NA,NA,NA,NA,NA,NA,2013-10-01,2809.29999999999,"Total revenues accrual",NA,"OK",NA
