"model","country","block","publication_date","nowcast_value","nb_factors","lambda","gamma","cv_mse","df","n_selected","n_selected_groups","date_new","last_obs_y","target_name","selected_columns","status","error"
"ar1","Germany","Expenditures","2013-01-01",1949.24172540925,NA,NA,NA,NA,NA,NA,NA,2013-01-01,-934,"Total expenditures accrual",NA,"OK",NA
"ar1","Germany","Expenditures","2013-01-02",1949.24172540925,NA,NA,NA,NA,NA,NA,NA,2013-01-01,-934,"Total expenditures accrual",NA,"OK",NA
"ar1","Germany","Expenditures","2013-01-15",1949.24172540925,NA,NA,NA,NA,NA,NA,NA,2013-01-01,-934,"Total expenditures accrual",NA,"OK",NA
"ar1","Germany","Expenditures","2013-01-27",1949.24172540925,NA,NA,NA,NA,NA,NA,NA,2013-01-01,-934,"Total expenditures accrual",NA,"OK",NA
"ar1","Germany","Expenditures","2013-02-01",1949.24172540925,NA,NA,NA,NA,NA,NA,NA,2013-02-01,-934,"Total expenditures accrual",NA,"OK",NA
"ar1","Germany","Expenditures","2013-02-05",1949.24172540925,NA,NA,NA,NA,NA,NA,NA,2013-02-01,-934,"Total expenditures accrual",NA,"OK",NA
"ar1","Germany","Expenditures","2013-02-15",1949.24172540925,NA,NA,NA,NA,NA,NA,NA,2013-02-01,-934,"Total expenditures accrual",NA,"OK",NA
"ar1","Germany","Expenditures","2013-02-27",1949.24172540925,NA,NA,NA,NA,NA,NA,NA,2013-02-01,-934,"Total expenditures accrual",NA,"OK",NA
"ar1","Germany","Expenditures","2013-03-01",1949.24172540925,NA,NA,NA,NA,NA,NA,NA,2013-03-01,-934,"Total expenditures accrual",NA,"OK",NA
"ar1","Germany","Expenditures","2013-03-05",1949.24172540925,NA,NA,NA,NA,NA,NA,NA,2013-03-01,-934,"Total expenditures accrual",NA,"OK",NA
"ar1","Germany","Expenditures","2013-03-15",-540.762226099252,NA,NA,NA,NA,NA,NA,NA,2013-03-01,4465,"Total expenditures accrual",NA,"OK",NA
"ar1","Germany","Expenditures","2013-03-27",-540.762226099252,NA,NA,NA,NA,NA,NA,NA,2013-03-01,4465,"Total expenditures accrual",NA,"OK",NA
"ar1","Germany","Expenditures","2013-04-01",-540.762226099252,NA,NA,NA,NA,NA,NA,NA,2013-04-01,4465,"Total expenditures accrual",NA,"OK",NA
"ar1","Germany","Expenditures","2013-04-15",-540.762226099252,NA,NA,NA,NA,NA,NA,NA,2013-04-01,4465,"Total expenditures accrual",NA,"OK",NA
"ar1","Germany","Expenditures","2013-04-27",-540.762226099252,NA,NA,NA,NA,NA,NA,NA,2013-04-01,4465,"Total expenditures accrual",NA,"OK",NA
"ar1","Germany","Expenditures","2013-05-01",-540.762226099252,NA,NA,NA,NA,NA,NA,NA,2013-05-01,4465,"Total expenditures accrual",NA,"OK",NA
"ar1","Germany","Expenditures","2013-05-03",-540.762226099252,NA,NA,NA,NA,NA,NA,NA,2013-05-01,4465,"Total expenditures accrual",NA,"OK",NA
"ar1","Germany","Expenditures","2013-05-15",-540.762226099252,NA,NA,NA,NA,NA,NA,NA,2013-05-01,4465,"Total expenditures accrual",NA,"OK",NA
"ar1","Germany","Expenditures","2013-05-27",-540.762226099252,NA,NA,NA,NA,NA,NA,NA,2013-05-01,4465,"Total expenditures accrual",NA,"OK",NA
"ar1","Germany","Expenditures","2013-06-01",-540.762226099252,NA,NA,NA,NA,NA,NA,NA,2013-06-01,4465,"Total expenditures accrual",NA,"OK",NA
