"model","country","block","publication_date","nowcast_value","nb_factors","lambda","gamma","cv_mse","df","n_selected","n_selected_groups","date_new","last_obs_y","target_name","selected_columns","status","error"
"ar1","Italy","Expenditures","2013-01-01",277.589698061408,NA,NA,NA,NA,NA,NA,NA,2013-01-01,842.467064675002,"Total expenditures accrual",NA,"OK",NA
"ar1","Italy","Expenditures","2013-01-02",277.589698061408,NA,NA,NA,NA,NA,NA,NA,2013-01-01,842.467064675002,"Total expenditures accrual",NA,"OK",NA
"ar1","Italy","Expenditures","2013-01-15",277.589698061408,NA,NA,NA,NA,NA,NA,NA,2013-01-01,842.467064675002,"Total expenditures accrual",NA,"OK",NA
"ar1","Italy","Expenditures","2013-01-27",277.589698061408,NA,NA,NA,NA,NA,NA,NA,2013-01-01,842.467064675002,"Total expenditures accrual",NA,"OK",NA
"ar1","Italy","Expenditures","2013-02-01",277.589698061408,NA,NA,NA,NA,NA,NA,NA,2013-02-01,842.467064675002,"Total expenditures accrual",NA,"OK",NA
"ar1","Italy","Expenditures","2013-02-05",277.589698061408,NA,NA,NA,NA,NA,NA,NA,2013-02-01,842.467064675002,"Total expenditures accrual",NA,"OK",NA
"ar1","Italy","Expenditures","2013-02-15",277.589698061408,NA,NA,NA,NA,NA,NA,NA,2013-02-01,842.467064675002,"Total expenditures accrual",NA,"OK",NA
"ar1","Italy","Expenditures","2013-02-27",277.589698061408,NA,NA,NA,NA,NA,NA,NA,2013-02-01,842.467064675002,"Total expenditures accrual",NA,"OK",NA
"ar1","Italy","Expenditures","2013-03-01",277.589698061408,NA,NA,NA,NA,NA,NA,NA,2013-03-01,842.467064675002,"Total expenditures accrual",NA,"OK",NA
"ar1","Italy","Expenditures","2013-03-05",277.589698061408,NA,NA,NA,NA,NA,NA,NA,2013-03-01,842.467064675002,"Total expenditures accrual",NA,"OK",NA
"ar1","Italy","Expenditures","2013-03-15",488.317074261782,NA,NA,NA,NA,NA,NA,NA,2013-03-01,385.42545232398,"Total expenditures accrual",NA,"OK",NA
"ar1","Italy","Expenditures","2013-03-27",488.317074261782,NA,NA,NA,NA,NA,NA,NA,2013-03-01,385.42545232398,"Total expenditures accrual",NA,"OK",NA
"ar1","Italy","Expenditures","2013-04-01",488.317074261782,NA,NA,NA,NA,NA,NA,NA,2013-04-01,385.42545232398,"Total expenditures accrual",NA,"OK",NA
"ar1","Italy","Expenditures","2013-04-15",488.317074261782,NA,NA,NA,NA,NA,NA,NA,2013-04-01,385.42545232398,"Total expenditures accrual",NA,"OK",NA
"ar1","Italy","Expenditures","2013-04-27",488.317074261782,NA,NA,NA,NA,NA,NA,NA,2013-04-01,385.42545232398,"Total expenditures accrual",NA,"OK",NA
"ar1","Italy","Expenditures","2013-05-01",488.317074261782,NA,NA,NA,NA,NA,NA,NA,2013-05-01,385.42545232398,"Total expenditures accrual",NA,"OK",NA
"ar1","Italy","Expenditures","2013-05-03",488.317074261782,NA,NA,NA,NA,NA,NA,NA,2013-05-01,385.42545232398,"Total expenditures accrual",NA,"OK",NA
"ar1","Italy","Expenditures","2013-05-15",488.317074261782,NA,NA,NA,NA,NA,NA,NA,2013-05-01,385.42545232398,"Total expenditures accrual",NA,"OK",NA
"ar1","Italy","Expenditures","2013-05-27",488.317074261782,NA,NA,NA,NA,NA,NA,NA,2013-05-01,385.42545232398,"Total expenditures accrual",NA,"OK",NA
"ar1","Italy","Expenditures","2013-06-01",488.317074261782,NA,NA,NA,NA,NA,NA,NA,2013-06-01,385.42545232398,"Total expenditures accrual",NA,"OK",NA
"ar1","Italy","Expenditures","2013-06-06",488.317074261782,NA,NA,NA,NA,NA,NA,NA,2013-06-01,385.42545232398,"Total expenditures accrual",NA,"OK",NA
"ar1","Italy","Expenditures","2013-06-15",525.314582470314,NA,NA,NA,NA,NA,NA,NA,2013-06-01,257.219041075004,"Total expenditures accrual",NA,"OK",NA
"ar1","Italy","Expenditures","2013-06-27",525.314582470314,NA,NA,NA,NA,NA,NA,NA,2013-06-01,257.219041075004,"Total expenditures accrual",NA,"OK",NA
"ar1","Italy","Expenditures","2013-07-01",525.314582470314,NA,NA,NA,NA,NA,NA,NA,2013-07-01,257.219041075004,"Total expenditures accrual",NA,"OK",NA
"ar1","Italy","Expenditures","2013-07-15",525.314582470314,NA,NA,NA,NA,NA,NA,NA,2013-07-01,257.219041075004,"Total expenditures accrual",NA,"OK",NA
"ar1","Italy","Expenditures","2013-07-27",525.314582470314,NA,NA,NA,NA,NA,NA,NA,2013-07-01,257.219041075004,"Total expenditures accrual",NA,"OK",NA
"ar1","Italy","Expenditures","2013-08-01",525.314582470314,NA,NA,NA,NA,NA,NA,NA,2013-08-01,257.219041075004,"Total expenditures accrual",NA,"OK",NA
"ar1","Italy","Expenditures","2013-08-04",525.314582470314,NA,NA,NA,NA,NA,NA,NA,2013-08-01,257.219041075004,"Total expenditures accrual",NA,"OK",NA
"ar1","Italy","Expenditures","2013-08-15",525.314582470314,NA,NA,NA,NA,NA,NA,NA,2013-08-01,257.219041075004,"Total expenditures accrual",NA,"OK",NA
"ar1","Italy","Expenditures","2013-08-27",525.314582470314,NA,NA,NA,NA,NA,NA,NA,2013-08-01,257.219041075004,"Total expenditures accrual",NA,"OK",NA
"ar1","Italy","Expenditures","2013-09-01",525.314582470314,NA,NA,NA,NA,NA,NA,NA,2013-09-01,257.219041075004,"Total expenditures accrual",NA,"OK",NA
"ar1","Italy","Expenditures","2013-09-07",525.314582470314,NA,NA,NA,NA,NA,NA,NA,2013-09-01,257.219041075004,"Total expenditures accrual",NA,"OK",NA
"ar1","Italy","Expenditures","2013-09-15",502.108659938513,NA,NA,NA,NA,NA,NA,NA,2013-09-01,264.001227703004,"Total expenditures accrual",NA,"OK",NA
"ar1","Italy","Expenditures","2013-09-27",502.108659938513,NA,NA,NA,NA,NA,NA,NA,2013-09-01,264.001227703004,"Total expenditures accrual",NA,"OK",NA
"ar1","Italy","Expenditures","2013-10-01",502.108659938513,NA,NA,NA,NA,NA,NA,NA,2013-10-01,264.001227703004,"Total expenditures accrual",NA,"OK",NA
"ar1","Italy","Expenditures","2013-10-02",502.108659938513,NA,NA,NA,NA,NA,NA,NA,2013-10-01,264.001227703004,"Total expenditures accrual",NA,"OK",NA
"ar1","Italy","Expenditures","2013-10-15",502.108659938513,NA,NA,NA,NA,NA,NA,NA,2013-10-01,264.001227703004,"Total expenditures accrual",NA,"OK",NA
"ar1","Italy","Expenditures","2013-10-27",502.108659938513,NA,NA,NA,NA,NA,NA,NA,2013-10-01,264.001227703004,"Total expenditures accrual",NA,"OK",NA
"ar1","Italy","Expenditures","2013-11-01",502.108659938513,NA,NA,NA,NA,NA,NA,NA,2013-11-01,264.001227703004,"Total expenditures accrual",NA,"OK",NA
"ar1","Italy","Expenditures","2013-11-05",502.108659938513,NA,NA,NA,NA,NA,NA,NA,2013-11-01,264.001227703004,"Total expenditures accrual",NA,"OK",NA
"ar1","Italy","Expenditures","2013-11-15",502.108659938513,NA,NA,NA,NA,NA,NA,NA,2013-11-01,264.001227703004,"Total expenditures accrual",NA,"OK",NA
"ar1","Italy","Expenditures","2013-11-27",502.108659938513,NA,NA,NA,NA,NA,NA,NA,2013-11-01,264.001227703004,"Total expenditures accrual",NA,"OK",NA
"ar1","Italy","Expenditures","2013-12-01",502.108659938513,NA,NA,NA,NA,NA,NA,NA,2013-12-01,264.001227703004,"Total expenditures accrual",NA,"OK",NA
"ar1","Italy","Expenditures","2013-12-07",502.108659938513,NA,NA,NA,NA,NA,NA,NA,2013-12-01,264.001227703004,"Total expenditures accrual",NA,"OK",NA
"ar1","Italy","Expenditures","2013-12-15",1789.08626311769,NA,NA,NA,NA,NA,NA,NA,2013-12-01,-3382.68086822599,"Total expenditures accrual",NA,"OK",NA
"ar1","Italy","Expenditures","2013-12-27",1789.08626311769,NA,NA,NA,NA,NA,NA,NA,2013-12-01,-3382.68086822599,"Total expenditures accrual",NA,"OK",NA
"ar1","Italy","Expenditures","2014-01-01",1789.08626311769,NA,NA,NA,NA,NA,NA,NA,2014-01-01,-3382.68086822599,"Total expenditures accrual",NA,"OK",NA
"ar1","Italy","Expenditures","2014-01-03",1789.08626311769,NA,NA,NA,NA,NA,NA,NA,2014-01-01,-3382.68086822599,"Total expenditures accrual",NA,"OK",NA
"ar1","Italy","Expenditures","2014-01-15",1789.08626311769,NA,NA,NA,NA,NA,NA,NA,2014-01-01,-3382.68086822599,"Total expenditures accrual",NA,"OK",NA
"ar1","Italy","Expenditures","2014-01-27",1789.08626311769,NA,NA,NA,NA,NA,NA,NA,2014-01-01,-3382.68086822599,"Total expenditures accrual",NA,"OK",NA
"ar1","Italy","Expenditures","2014-02-01",1789.08626311769,NA,NA,NA,NA,NA,NA,NA,2014-02-01,-3382.68086822599,"Total expenditures accrual",NA,"OK",NA
"ar1","Italy","Expenditures","2014-02-06",1789.08626311769,NA,NA,NA,NA,NA,NA,NA,2014-02-01,-3382.68086822599,"Total expenditures accrual",NA,"OK",NA
"ar1","Italy","Expenditures","2014-02-15",1789.08626311769,NA,NA,NA,NA,NA,NA,NA,2014-02-01,-3382.68086822599,"Total expenditures accrual",NA,"OK",NA
"ar1","Italy","Expenditures","2014-02-27",1789.08626311769,NA,NA,NA,NA,NA,NA,NA,2014-02-01,-3382.68086822599,"Total expenditures accrual",NA,"OK",NA
"ar1","Italy","Expenditures","2014-03-01",1789.08626311769,NA,NA,NA,NA,NA,NA,NA,2014-03-01,-3382.68086822599,"Total expenditures accrual",NA,"OK",NA
"ar1","Italy","Expenditures","2014-03-06",1789.08626311769,NA,NA,NA,NA,NA,NA,NA,2014-03-01,-3382.68086822599,"Total expenditures accrual",NA,"OK",NA
"ar1","Italy","Expenditures","2014-03-15",-657.05980466419,NA,NA,NA,NA,NA,NA,NA,2014-03-01,2295.486851244,"Total expenditures accrual",NA,"OK",NA
"ar1","Italy","Expenditures","2014-03-27",-657.05980466419,NA,NA,NA,NA,NA,NA,NA,2014-03-01,2295.486851244,"Total expenditures accrual",NA,"OK",NA
"ar1","Italy","Expenditures","2014-04-01",-657.05980466419,NA,NA,NA,NA,NA,NA,NA,2014-04-01,2295.486851244,"Total expenditures accrual",NA,"OK",NA
"ar1","Italy","Expenditures","2014-04-02",-657.05980466419,NA,NA,NA,NA,NA,NA,NA,2014-04-01,2295.486851244,"Total expenditures accrual",NA,"OK",NA
"ar1","Italy","Expenditures","2014-04-15",-657.05980466419,NA,NA,NA,NA,NA,NA,NA,2014-04-01,2295.486851244,"Total expenditures accrual",NA,"OK",NA
"ar1","Italy","Expenditures","2014-04-27",-657.05980466419,NA,NA,NA,NA,NA,NA,NA,2014-04-01,2295.486851244,"Total expenditures accrual",NA,"OK",NA
"ar1","Italy","Expenditures","2014-05-01",-657.05980466419,NA,NA,NA,NA,NA,NA,NA,2014-05-01,2295.486851244,"Total expenditures accrual",NA,"OK",NA
"ar1","Italy","Expenditures","2014-05-04",-657.05980466419,NA,NA,NA,NA,NA,NA,NA,2014-05-01,2295.486851244,"Total expenditures accrual",NA,"OK",NA
"ar1","Italy","Expenditures","2014-05-15",-657.05980466419,NA,NA,NA,NA,NA,NA,NA,2014-05-01,2295.486851244,"Total expenditures accrual",NA,"OK",NA
"ar1","Italy","Expenditures","2014-05-27",-657.05980466419,NA,NA,NA,NA,NA,NA,NA,2014-05-01,2295.486851244,"Total expenditures accrual",NA,"OK",NA
"ar1","Italy","Expenditures","2014-06-01",-657.05980466419,NA,NA,NA,NA,NA,NA,NA,2014-06-01,2295.486851244,"Total expenditures accrual",NA,"OK",NA
"ar1","Italy","Expenditures","2014-06-07",-657.05980466419,NA,NA,NA,NA,NA,NA,NA,2014-06-01,2295.486851244,"Total expenditures accrual",NA,"OK",NA
"ar1","Italy","Expenditures","2014-06-15",489.249604894698,NA,NA,NA,NA,NA,NA,NA,2014-06-01,-204.84255553002,"Total expenditures accrual",NA,"OK",NA
"ar1","Italy","Expenditures","2014-06-27",489.249604894698,NA,NA,NA,NA,NA,NA,NA,2014-06-01,-204.84255553002,"Total expenditures accrual",NA,"OK",NA
"ar1","Italy","Expenditures","2014-07-01",489.249604894698,NA,NA,NA,NA,NA,NA,NA,2014-07-01,-204.84255553002,"Total expenditures accrual",NA,"OK",NA
"ar1","Italy","Expenditures","2014-07-02",489.249604894698,NA,NA,NA,NA,NA,NA,NA,2014-07-01,-204.84255553002,"Total expenditures accrual",NA,"OK",NA
"ar1","Italy","Expenditures","2014-07-15",489.249604894698,NA,NA,NA,NA,NA,NA,NA,2014-07-01,-204.84255553002,"Total expenditures accrual",NA,"OK",NA
"ar1","Italy","Expenditures","2014-07-27",489.249604894698,NA,NA,NA,NA,NA,NA,NA,2014-07-01,-204.84255553002,"Total expenditures accrual",NA,"OK",NA
"ar1","Italy","Expenditures","2014-08-01",489.249604894698,NA,NA,NA,NA,NA,NA,NA,2014-08-01,-204.84255553002,"Total expenditures accrual",NA,"OK",NA
"ar1","Italy","Expenditures","2014-08-05",489.249604894698,NA,NA,NA,NA,NA,NA,NA,2014-08-01,-204.84255553002,"Total expenditures accrual",NA,"OK",NA
"ar1","Italy","Expenditures","2014-08-15",489.249604894698,NA,NA,NA,NA,NA,NA,NA,2014-08-01,-204.84255553002,"Total expenditures accrual",NA,"OK",NA
"ar1","Italy","Expenditures","2014-08-27",489.249604894698,NA,NA,NA,NA,NA,NA,NA,2014-08-01,-204.84255553002,"Total expenditures accrual",NA,"OK",NA
"ar1","Italy","Expenditures","2014-09-01",489.249604894698,NA,NA,NA,NA,NA,NA,NA,2014-09-01,-204.84255553002,"Total expenditures accrual",NA,"OK",NA
"ar1","Italy","Expenditures","2014-09-15",-215.108615241821,NA,NA,NA,NA,NA,NA,NA,2014-09-01,1519.72253792902,"Total expenditures accrual",NA,"OK",NA
"ar1","Italy","Expenditures","2014-09-27",-215.108615241821,NA,NA,NA,NA,NA,NA,NA,2014-09-01,1519.72253792902,"Total expenditures accrual",NA,"OK",NA
"ar1","Italy","Expenditures","2014-10-01",-215.108615241821,NA,NA,NA,NA,NA,NA,NA,2014-10-01,1519.72253792902,"Total expenditures accrual",NA,"OK",NA
"ar1","Italy","Expenditures","2014-10-03",-215.108615241821,NA,NA,NA,NA,NA,NA,NA,2014-10-01,1519.72253792902,"Total expenditures accrual",NA,"OK",NA
"ar1","Italy","Expenditures","2014-10-15",-215.108615241821,NA,NA,NA,NA,NA,NA,NA,2014-10-01,1519.72253792902,"Total expenditures accrual",NA,"OK",NA
"ar1","Italy","Expenditures","2014-10-27",-215.108615241821,NA,NA,NA,NA,NA,NA,NA,2014-10-01,1519.72253792902,"Total expenditures accrual",NA,"OK",NA
"ar1","Italy","Expenditures","2014-11-01",-215.108615241821,NA,NA,NA,NA,NA,NA,NA,2014-11-01,1519.72253792902,"Total expenditures accrual",NA,"OK",NA
"ar1","Italy","Expenditures","2014-11-06",-215.108615241821,NA,NA,NA,NA,NA,NA,NA,2014-11-01,1519.72253792902,"Total expenditures accrual",NA,"OK",NA
"ar1","Italy","Expenditures","2014-11-15",-215.108615241821,NA,NA,NA,NA,NA,NA,NA,2014-11-01,1519.72253792902,"Total expenditures accrual",NA,"OK",NA
"ar1","Italy","Expenditures","2014-11-27",-215.108615241821,NA,NA,NA,NA,NA,NA,NA,2014-11-01,1519.72253792902,"Total expenditures accrual",NA,"OK",NA
"ar1","Italy","Expenditures","2014-12-01",-215.108615241821,NA,NA,NA,NA,NA,NA,NA,2014-12-01,1519.72253792902,"Total expenditures accrual",NA,"OK",NA
"ar1","Italy","Expenditures","2014-12-15",-291.832976993493,NA,NA,NA,NA,NA,NA,NA,2014-12-01,2085.53374647,"Total expenditures accrual",NA,"OK",NA
"ar1","Italy","Expenditures","2014-12-27",-291.832976993493,NA,NA,NA,NA,NA,NA,NA,2014-12-01,2085.53374647,"Total expenditures accrual",NA,"OK",NA
"ar1","Italy","Expenditures","2015-01-01",-291.832976993493,NA,NA,NA,NA,NA,NA,NA,2015-01-01,2085.53374647,"Total expenditures accrual",NA,"OK",NA
"ar1","Italy","Expenditures","2015-01-04",-291.832976993493,NA,NA,NA,NA,NA,NA,NA,2015-01-01,2085.53374647,"Total expenditures accrual",NA,"OK",NA
"ar1","Italy","Expenditures","2015-01-15",-291.832976993493,NA,NA,NA,NA,NA,NA,NA,2015-01-01,2085.53374647,"Total expenditures accrual",NA,"OK",NA
"ar1","Italy","Expenditures","2015-01-27",-291.832976993493,NA,NA,NA,NA,NA,NA,NA,2015-01-01,2085.53374647,"Total expenditures accrual",NA,"OK",NA
