"model","country","block","publication_date","nowcast_value","nb_factors","lambda","gamma","cv_mse","df","n_selected","n_selected_groups","date_new","last_obs_y","target_name","selected_columns","status","error"
"ar1","Spain","Expenditures","2013-01-01",-10424.4602601433,NA,NA,NA,NA,NA,NA,NA,2013-01-01,16464,"Total expenditures accrual",NA,"OK",NA
"ar1","Spain","Expenditures","2013-01-02",-10424.4602601433,NA,NA,NA,NA,NA,NA,NA,2013-01-01,16464,"Total expenditures accrual",NA,"OK",NA
"ar1","Spain","Expenditures","2013-01-15",-10424.4602601433,NA,NA,NA,NA,NA,NA,NA,2013-01-01,16464,"Total expenditures accrual",NA,"OK",NA
"ar1","Spain","Expenditures","2013-01-27",-10424.4602601433,NA,NA,NA,NA,NA,NA,NA,2013-01-01,16464,"Total expenditures accrual",NA,"OK",NA
"ar1","Spain","Expenditures","2013-02-01",-10424.4602601433,NA,NA,NA,NA,NA,NA,NA,2013-02-01,16464,"Total expenditures accrual",NA,"OK",NA
"ar1","Spain","Expenditures","2013-02-05",-10424.4602601433,NA,NA,NA,NA,NA,NA,NA,2013-02-01,16464,"Total expenditures accrual",NA,"OK",NA
"ar1","Spain","Expenditures","2013-02-15",-10424.4602601433,NA,NA,NA,NA,NA,NA,NA,2013-02-01,16464,"Total expenditures accrual",NA,"OK",NA
"ar1","Spain","Expenditures","2013-02-27",-10424.4602601433,NA,NA,NA,NA,NA,NA,NA,2013-02-01,16464,"Total expenditures accrual",NA,"OK",NA
"ar1","Spain","Expenditures","2013-03-01",-10424.4602601433,NA,NA,NA,NA,NA,NA,NA,2013-03-01,16464,"Total expenditures accrual",NA,"OK",NA
"ar1","Spain","Expenditures","2013-03-05",-10424.4602601433,NA,NA,NA,NA,NA,NA,NA,2013-03-01,16464,"Total expenditures accrual",NA,"OK",NA
"ar1","Spain","Expenditures","2013-03-15",29553.4387168279,NA,NA,NA,NA,NA,NA,NA,2013-03-01,-21294,"Total expenditures accrual",NA,"OK",NA
"ar1","Spain","Expenditures","2013-03-27",29553.4387168279,NA,NA,NA,NA,NA,NA,NA,2013-03-01,-21294,"Total expenditures accrual",NA,"OK",NA
"ar1","Spain","Expenditures","2013-04-01",29553.4387168279,NA,NA,NA,NA,NA,NA,NA,2013-04-01,-21294,"Total expenditures accrual",NA,"OK",NA
"ar1","Spain","Expenditures","2013-04-15",29553.4387168279,NA,NA,NA,NA,NA,NA,NA,2013-04-01,-21294,"Total expenditures accrual",NA,"OK",NA
"ar1","Spain","Expenditures","2013-04-27",29553.4387168279,NA,NA,NA,NA,NA,NA,NA,2013-04-01,-21294,"Total expenditures accrual",NA,"OK",NA
"ar1","Spain","Expenditures","2013-05-01",29553.4387168279,NA,NA,NA,NA,NA,NA,NA,2013-05-01,-21294,"Total expenditures accrual",NA,"OK",NA
"ar1","Spain","Expenditures","2013-05-03",29553.4387168279,NA,NA,NA,NA,NA,NA,NA,2013-05-01,-21294,"Total expenditures accrual",NA,"OK",NA
"ar1","Spain","Expenditures","2013-05-15",29553.4387168279,NA,NA,NA,NA,NA,NA,NA,2013-05-01,-21294,"Total expenditures accrual",NA,"OK",NA
"ar1","Spain","Expenditures","2013-05-27",29553.4387168279,NA,NA,NA,NA,NA,NA,NA,2013-05-01,-21294,"Total expenditures accrual",NA,"OK",NA
"ar1","Spain","Expenditures","2013-06-01",29553.4387168279,NA,NA,NA,NA,NA,NA,NA,2013-06-01,-21294,"Total expenditures accrual",NA,"OK",NA
"ar1","Spain","Expenditures","2013-06-06",29553.4387168279,NA,NA,NA,NA,NA,NA,NA,2013-06-01,-21294,"Total expenditures accrual",NA,"OK",NA
"ar1","Spain","Expenditures","2013-06-15",-657.356282430008,NA,NA,NA,NA,NA,NA,NA,2013-06-01,-59,"Total expenditures accrual",NA,"OK",NA
"ar1","Spain","Expenditures","2013-06-27",-657.356282430008,NA,NA,NA,NA,NA,NA,NA,2013-06-01,-59,"Total expenditures accrual",NA,"OK",NA
"ar1","Spain","Expenditures","2013-07-01",-657.356282430008,NA,NA,NA,NA,NA,NA,NA,2013-07-01,-59,"Total expenditures accrual",NA,"OK",NA
"ar1","Spain","Expenditures","2013-07-15",-657.356282430008,NA,NA,NA,NA,NA,NA,NA,2013-07-01,-59,"Total expenditures accrual",NA,"OK",NA
"ar1","Spain","Expenditures","2013-07-27",-657.356282430008,NA,NA,NA,NA,NA,NA,NA,2013-07-01,-59,"Total expenditures accrual",NA,"OK",NA
"ar1","Spain","Expenditures","2013-08-01",-657.356282430008,NA,NA,NA,NA,NA,NA,NA,2013-08-01,-59,"Total expenditures accrual",NA,"OK",NA
"ar1","Spain","Expenditures","2013-08-04",-657.356282430008,NA,NA,NA,NA,NA,NA,NA,2013-08-01,-59,"Total expenditures accrual",NA,"OK",NA
"ar1","Spain","Expenditures","2013-08-15",-657.356282430008,NA,NA,NA,NA,NA,NA,NA,2013-08-01,-59,"Total expenditures accrual",NA,"OK",NA
"ar1","Spain","Expenditures","2013-08-27",-657.356282430008,NA,NA,NA,NA,NA,NA,NA,2013-08-01,-59,"Total expenditures accrual",NA,"OK",NA
"ar1","Spain","Expenditures","2013-09-01",-657.356282430008,NA,NA,NA,NA,NA,NA,NA,2013-09-01,-59,"Total expenditures accrual",NA,"OK",NA
"ar1","Spain","Expenditures","2013-09-07",-657.356282430008,NA,NA,NA,NA,NA,NA,NA,2013-09-01,-59,"Total expenditures accrual",NA,"OK",NA
"ar1","Spain","Expenditures","2013-09-15",-903.316206601578,NA,NA,NA,NA,NA,NA,NA,2013-09-01,636,"Total expenditures accrual",NA,"OK",NA
"ar1","Spain","Expenditures","2013-09-27",-903.316206601578,NA,NA,NA,NA,NA,NA,NA,2013-09-01,636,"Total expenditures accrual",NA,"OK",NA
"ar1","Spain","Expenditures","2013-10-01",-903.316206601578,NA,NA,NA,NA,NA,NA,NA,2013-10-01,636,"Total expenditures accrual",NA,"OK",NA
