"model","country","block","publication_date","nowcast_value","nb_factors","lambda","gamma","cv_mse","df","n_selected","n_selected_groups","date_new","last_obs_y","target_name","selected_columns","status","error"
"ar1","Spain","Revenues","2013-01-01",-193.921937807337,NA,NA,NA,NA,NA,NA,NA,2013-01-01,576,"Total revenues accrual",NA,"OK",NA
"ar1","Spain","Revenues","2013-01-02",-193.921937807337,NA,NA,NA,NA,NA,NA,NA,2013-01-01,576,"Total revenues accrual",NA,"OK",NA
"ar1","Spain","Revenues","2013-01-05",-193.921937807337,NA,NA,NA,NA,NA,NA,NA,2013-01-01,576,"Total revenues accrual",NA,"OK",NA
"ar1","Spain","Revenues","2013-01-15",-193.921937807337,NA,NA,NA,NA,NA,NA,NA,2013-01-01,576,"Total revenues accrual",NA,"OK",NA
"ar1","Spain","Revenues","2013-01-27",-193.921937807337,NA,NA,NA,NA,NA,NA,NA,2013-01-01,576,"Total revenues accrual",NA,"OK",NA
"ar1","Spain","Revenues","2013-01-31",-193.921937807337,NA,NA,NA,NA,NA,NA,NA,2013-01-01,576,"Total revenues accrual",NA,"OK",NA
"ar1","Spain","Revenues","2013-02-01",-193.921937807337,NA,NA,NA,NA,NA,NA,NA,2013-02-01,576,"Total revenues accrual",NA,"OK",NA
"ar1","Spain","Revenues","2013-02-05",-193.921937807337,NA,NA,NA,NA,NA,NA,NA,2013-02-01,576,"Total revenues accrual",NA,"OK",NA
"ar1","Spain","Revenues","2013-02-15",-193.921937807337,NA,NA,NA,NA,NA,NA,NA,2013-02-01,576,"Total revenues accrual",NA,"OK",NA
"ar1","Spain","Revenues","2013-02-27",-193.921937807337,NA,NA,NA,NA,NA,NA,NA,2013-02-01,576,"Total revenues accrual",NA,"OK",NA
"ar1","Spain","Revenues","2013-02-28",-193.921937807337,NA,NA,NA,NA,NA,NA,NA,2013-02-01,576,"Total revenues accrual",NA,"OK",NA
"ar1","Spain","Revenues","2013-03-01",-193.921937807337,NA,NA,NA,NA,NA,NA,NA,2013-03-01,576,"Total revenues accrual",NA,"OK",NA
"ar1","Spain","Revenues","2013-03-05",-193.921937807337,NA,NA,NA,NA,NA,NA,NA,2013-03-01,576,"Total revenues accrual",NA,"OK",NA
"ar1","Spain","Revenues","2013-03-15",-402.562358823118,NA,NA,NA,NA,NA,NA,NA,2013-03-01,1180,"Total revenues accrual",NA,"OK",NA
"ar1","Spain","Revenues","2013-03-27",-402.562358823118,NA,NA,NA,NA,NA,NA,NA,2013-03-01,1180,"Total revenues accrual",NA,"OK",NA
"ar1","Spain","Revenues","2013-03-28",-402.562358823118,NA,NA,NA,NA,NA,NA,NA,2013-03-01,1180,"Total revenues accrual",NA,"OK",NA
"ar1","Spain","Revenues","2013-04-01",-402.562358823118,NA,NA,NA,NA,NA,NA,NA,2013-04-01,1180,"Total revenues accrual",NA,"OK",NA
"ar1","Spain","Revenues","2013-04-05",-402.562358823118,NA,NA,NA,NA,NA,NA,NA,2013-04-01,1180,"Total revenues accrual",NA,"OK",NA
"ar1","Spain","Revenues","2013-04-15",-402.562358823118,NA,NA,NA,NA,NA,NA,NA,2013-04-01,1180,"Total revenues accrual",NA,"OK",NA
"ar1","Spain","Revenues","2013-04-25",-402.562358823118,NA,NA,NA,NA,NA,NA,NA,2013-04-01,1180,"Total revenues accrual",NA,"OK",NA
