"model","country","block","publication_date","nowcast_value","nb_factors","lambda","gamma","cv_mse","df","n_selected","n_selected_groups","date_new","last_obs_y","target_name","selected_columns","status","error"
"factor_midas","France","Expenditures","2013-01-01",-3384.91889787572,2,NA,NA,NA,NA,NA,NA,2013-01-01,5175.39999999997,"Total expenditures accrual",NA,"OK",NA
"factor_midas","France","Expenditures","2013-01-02",-3497.18955179009,2,NA,NA,NA,NA,NA,NA,2013-01-01,5175.39999999997,"Total expenditures accrual",NA,"OK",NA
"factor_midas","France","Expenditures","2013-01-15",-1910.15623905942,1,NA,NA,NA,NA,NA,NA,2013-01-01,5175.39999999997,"Total expenditures accrual",NA,"OK",NA
"factor_midas","France","Expenditures","2013-01-27",-2098.47401084026,1,NA,NA,NA,NA,NA,NA,2013-01-01,5175.39999999997,"Total expenditures accrual",NA,"OK",NA
"factor_midas","France","Expenditures","2013-02-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Total expenditures accrual",NA,"KO","Not possible to estimate MIDAS model, more parameters than observations"
"factor_midas","France","Expenditures","2013-02-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Total expenditures accrual",NA,"KO","Not possible to estimate MIDAS model, more parameters than observations"
"factor_midas","France","Expenditures","2013-02-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Total expenditures accrual",NA,"KO","Not possible to estimate MIDAS model, more parameters than observations"
"factor_midas","France","Expenditures","2013-02-27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Total expenditures accrual",NA,"KO","Not possible to estimate MIDAS model, more parameters than observations"
"factor_midas","France","Expenditures","2013-03-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Total expenditures accrual",NA,"KO","Not possible to estimate MIDAS model, more parameters than observations"
"factor_midas","France","Expenditures","2013-03-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Total expenditures accrual",NA,"KO","Not possible to estimate MIDAS model, more parameters than observations"
"factor_midas","France","Expenditures","2013-03-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Total expenditures accrual",NA,"KO","Not possible to estimate MIDAS model, more parameters than observations"
"factor_midas","France","Expenditures","2013-03-27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Total expenditures accrual",NA,"KO","Not possible to estimate MIDAS model, more parameters than observations"
"factor_midas","France","Expenditures","2013-04-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Total expenditures accrual",NA,"KO","Not possible to estimate MIDAS model, more parameters than observations"
"factor_midas","France","Expenditures","2013-04-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Total expenditures accrual",NA,"KO","Not possible to estimate MIDAS model, more parameters than observations"
"factor_midas","France","Expenditures","2013-04-27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Total expenditures accrual",NA,"KO","Not possible to estimate MIDAS model, more parameters than observations"
"factor_midas","France","Expenditures","2013-05-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Total expenditures accrual",NA,"KO","Not possible to estimate MIDAS model, more parameters than observations"
"factor_midas","France","Expenditures","2013-05-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Total expenditures accrual",NA,"KO","Not possible to estimate MIDAS model, more parameters than observations"
"factor_midas","France","Expenditures","2013-05-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Total expenditures accrual",NA,"KO","Not possible to estimate MIDAS model, more parameters than observations"
"factor_midas","France","Expenditures","2013-05-27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Total expenditures accrual",NA,"KO","Not possible to estimate MIDAS model, more parameters than observations"
"factor_midas","France","Expenditures","2013-06-01",3801.14073337959,1,NA,NA,NA,NA,NA,NA,2013-06-01,939.100000000035,"Total expenditures accrual",NA,"OK",NA
"factor_midas","France","Expenditures","2013-06-06",3573.22647293537,1,NA,NA,NA,NA,NA,NA,2013-06-01,939.100000000035,"Total expenditures accrual",NA,"OK",NA
"factor_midas","France","Expenditures","2013-06-15",2033.07191780455,1,NA,NA,NA,NA,NA,NA,2013-06-01,1850.79999999999,"Total expenditures accrual",NA,"OK",NA
"factor_midas","France","Expenditures","2013-06-27",2007.62608178044,1,NA,NA,NA,NA,NA,NA,2013-06-01,1850.79999999999,"Total expenditures accrual",NA,"OK",NA
"factor_midas","France","Expenditures","2013-07-01",1977.3985207361,1,NA,NA,NA,NA,NA,NA,2013-07-01,1850.79999999999,"Total expenditures accrual",NA,"OK",NA
