"model","country","block","publication_date","nowcast_value","nb_factors","lambda","gamma","cv_mse","df","n_selected","n_selected_groups","date_new","last_obs_y","target_name","selected_columns","status","error"
"factor_midas","France","Revenues","2013-01-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Total revenues accrual",NA,"KO","Not possible to estimate MIDAS model, more parameters than observations"
"factor_midas","France","Revenues","2013-01-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Total revenues accrual",NA,"KO","Not possible to estimate MIDAS model, more parameters than observations"
"factor_midas","France","Revenues","2013-01-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Total revenues accrual",NA,"KO","Not possible to estimate MIDAS model, more parameters than observations"
"factor_midas","France","Revenues","2013-01-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Total revenues accrual",NA,"KO","Not possible to estimate MIDAS model, more parameters than observations"
"factor_midas","France","Revenues","2013-01-27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Total revenues accrual",NA,"KO","Not possible to estimate MIDAS model, more parameters than observations"
"factor_midas","France","Revenues","2013-01-31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Total revenues accrual",NA,"KO","Not possible to estimate MIDAS model, more parameters than observations"
"factor_midas","France","Revenues","2013-02-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Total revenues accrual",NA,"KO","Not possible to estimate MIDAS model, more parameters than observations"
"factor_midas","France","Revenues","2013-02-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Total revenues accrual",NA,"KO","Not possible to estimate MIDAS model, more parameters than observations"
"factor_midas","France","Revenues","2013-02-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Total revenues accrual",NA,"KO","Not possible to estimate MIDAS model, more parameters than observations"
"factor_midas","France","Revenues","2013-02-27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Total revenues accrual",NA,"KO","Not possible to estimate MIDAS model, more parameters than observations"
"factor_midas","France","Revenues","2013-02-28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Total revenues accrual",NA,"KO","Not possible to estimate MIDAS model, more parameters than observations"
"factor_midas","France","Revenues","2013-03-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Total revenues accrual",NA,"KO","Not possible to estimate MIDAS model, more parameters than observations"
"factor_midas","France","Revenues","2013-03-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Total revenues accrual",NA,"KO","Not possible to estimate MIDAS model, more parameters than observations"
"factor_midas","France","Revenues","2013-03-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Total revenues accrual",NA,"KO","Not possible to estimate MIDAS model, more parameters than observations"
"factor_midas","France","Revenues","2013-03-27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Total revenues accrual",NA,"KO","Not possible to estimate MIDAS model, more parameters than observations"
"factor_midas","France","Revenues","2013-03-28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Total revenues accrual",NA,"KO","Not possible to estimate MIDAS model, more parameters than observations"
"factor_midas","France","Revenues","2013-04-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Total revenues accrual",NA,"KO","Not possible to estimate MIDAS model, more parameters than observations"
"factor_midas","France","Revenues","2013-04-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Total revenues accrual",NA,"KO","Not possible to estimate MIDAS model, more parameters than observations"
"factor_midas","France","Revenues","2013-04-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Total revenues accrual",NA,"KO","Not possible to estimate MIDAS model, more parameters than observations"
"factor_midas","France","Revenues","2013-04-25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Total revenues accrual",NA,"KO","Not possible to estimate MIDAS model, more parameters than observations"
"factor_midas","France","Revenues","2013-04-27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Total revenues accrual",NA,"KO","Not possible to estimate MIDAS model, more parameters than observations"
"factor_midas","France","Revenues","2013-05-01",5790.12576675609,2,NA,NA,NA,NA,NA,NA,2013-05-01,-3982.10000000003,"Total revenues accrual",NA,"OK",NA
"factor_midas","France","Revenues","2013-05-03",5812.14016231877,2,NA,NA,NA,NA,NA,NA,2013-05-01,-3982.10000000003,"Total revenues accrual",NA,"OK",NA
"factor_midas","France","Revenues","2013-05-05",5755.715182944,2,NA,NA,NA,NA,NA,NA,2013-05-01,-3982.10000000003,"Total revenues accrual",NA,"OK",NA
"factor_midas","France","Revenues","2013-05-15",4664.20747129355,2,NA,NA,NA,NA,NA,NA,2013-05-01,-3982.10000000003,"Total revenues accrual",NA,"OK",NA
"factor_midas","France","Revenues","2013-05-27",1959.23560390076,2,NA,NA,NA,NA,NA,NA,2013-05-01,-3982.10000000003,"Total revenues accrual",NA,"OK",NA
"factor_midas","France","Revenues","2013-05-30",2062.72671193053,2,NA,NA,NA,NA,NA,NA,2013-05-01,-3982.10000000003,"Total revenues accrual",NA,"OK",NA
"factor_midas","France","Revenues","2013-06-01",4529.80075343878,2,NA,NA,NA,NA,NA,NA,2013-06-01,-3982.10000000003,"Total revenues accrual",NA,"OK",NA
"factor_midas","France","Revenues","2013-06-05",4152.69045325649,2,NA,NA,NA,NA,NA,NA,2013-06-01,-3982.10000000003,"Total revenues accrual",NA,"OK",NA
"factor_midas","France","Revenues","2013-06-06",4728.87307608271,2,NA,NA,NA,NA,NA,NA,2013-06-01,-3982.10000000003,"Total revenues accrual",NA,"OK",NA
"factor_midas","France","Revenues","2013-06-15",461.941289326102,2,NA,NA,NA,NA,NA,NA,2013-06-01,3542.70000000001,"Total revenues accrual",NA,"OK",NA
"factor_midas","France","Revenues","2013-06-27",2448.7082059668,2,NA,NA,NA,NA,NA,NA,2013-06-01,3542.70000000001,"Total revenues accrual",NA,"OK",NA
"factor_midas","France","Revenues","2013-07-01",1137.53976856234,2,NA,NA,NA,NA,NA,NA,2013-07-01,3542.70000000001,"Total revenues accrual",NA,"OK",NA
"factor_midas","France","Revenues","2013-07-05",993.173575950039,2,NA,NA,NA,NA,NA,NA,2013-07-01,3542.70000000001,"Total revenues accrual",NA,"OK",NA
"factor_midas","France","Revenues","2013-07-15",-2717.5625227132,2,NA,NA,NA,NA,NA,NA,2013-07-01,3542.70000000001,"Total revenues accrual",NA,"OK",NA
"factor_midas","France","Revenues","2013-07-25",-2713.7473677218,2,NA,NA,NA,NA,NA,NA,2013-07-01,3542.70000000001,"Total revenues accrual",NA,"OK",NA
"factor_midas","France","Revenues","2013-07-27",-4281.67080394491,2,NA,NA,NA,NA,NA,NA,2013-07-01,3542.70000000001,"Total revenues accrual",NA,"OK",NA
