"model","country","block","publication_date","nowcast_value","nb_factors","lambda","gamma","cv_mse","df","n_selected","n_selected_groups","date_new","last_obs_y","target_name","selected_columns","status","error"
"factor_midas","Germany","Expenditures","2013-01-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Total expenditures accrual",NA,"KO","Not possible to estimate MIDAS model, more parameters than observations"
"factor_midas","Germany","Expenditures","2013-01-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Total expenditures accrual",NA,"KO","Not possible to estimate MIDAS model, more parameters than observations"
"factor_midas","Germany","Expenditures","2013-01-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Total expenditures accrual",NA,"KO","Not possible to estimate MIDAS model, more parameters than observations"
"factor_midas","Germany","Expenditures","2013-01-27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Total expenditures accrual",NA,"KO","Not possible to estimate MIDAS model, more parameters than observations"
"factor_midas","Germany","Expenditures","2013-02-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Total expenditures accrual",NA,"KO","Not possible to estimate MIDAS model, more parameters than observations"
"factor_midas","Germany","Expenditures","2013-02-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Total expenditures accrual",NA,"KO","Not possible to estimate MIDAS model, more parameters than observations"
"factor_midas","Germany","Expenditures","2013-02-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Total expenditures accrual",NA,"KO","Not possible to estimate MIDAS model, more parameters than observations"
"factor_midas","Germany","Expenditures","2013-02-27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Total expenditures accrual",NA,"KO","Not possible to estimate MIDAS model, more parameters than observations"
"factor_midas","Germany","Expenditures","2013-03-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Total expenditures accrual",NA,"KO","Not possible to estimate MIDAS model, more parameters than observations"
"factor_midas","Germany","Expenditures","2013-03-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Total expenditures accrual",NA,"KO","Not possible to estimate MIDAS model, more parameters than observations"
