"model","country","block","publication_date","nowcast_value","nb_factors","lambda","gamma","cv_mse","df","n_selected","n_selected_groups","date_new","last_obs_y","target_name","selected_columns","status","error"
"factor_midas","Italy","Revenues","2013-01-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Total revenues accrual",NA,"KO","Not possible to estimate MIDAS model, more parameters than observations"
"factor_midas","Italy","Revenues","2013-01-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Total revenues accrual",NA,"KO","Not possible to estimate MIDAS model, more parameters than observations"
"factor_midas","Italy","Revenues","2013-01-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Total revenues accrual",NA,"KO","Not possible to estimate MIDAS model, more parameters than observations"
"factor_midas","Italy","Revenues","2013-01-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Total revenues accrual",NA,"KO","Not possible to estimate MIDAS model, more parameters than observations"
"factor_midas","Italy","Revenues","2013-01-27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Total revenues accrual",NA,"KO","Not possible to estimate MIDAS model, more parameters than observations"
"factor_midas","Italy","Revenues","2013-01-31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Total revenues accrual",NA,"KO","Not possible to estimate MIDAS model, more parameters than observations"
"factor_midas","Italy","Revenues","2013-02-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Total revenues accrual",NA,"KO","Not possible to estimate MIDAS model, more parameters than observations"
"factor_midas","Italy","Revenues","2013-02-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Total revenues accrual",NA,"KO","Not possible to estimate MIDAS model, more parameters than observations"
"factor_midas","Italy","Revenues","2013-02-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Total revenues accrual",NA,"KO","Not possible to estimate MIDAS model, more parameters than observations"
"factor_midas","Italy","Revenues","2013-02-27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Total revenues accrual",NA,"KO","Not possible to estimate MIDAS model, more parameters than observations"
"factor_midas","Italy","Revenues","2013-02-28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Total revenues accrual",NA,"KO","Not possible to estimate MIDAS model, more parameters than observations"
"factor_midas","Italy","Revenues","2013-03-01",3873.79356786673,2,NA,NA,NA,NA,NA,NA,2013-03-01,2323.98549642999,"Total revenues accrual",NA,"OK",NA
"factor_midas","Italy","Revenues","2013-03-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Total revenues accrual",NA,"KO","Not possible to estimate MIDAS model, more parameters than observations"
"factor_midas","Italy","Revenues","2013-03-15",2022.844075647,1,NA,NA,NA,NA,NA,NA,2013-03-01,-5009.323791748,"Total revenues accrual",NA,"OK",NA
"factor_midas","Italy","Revenues","2013-03-27",13838.2968503203,2,NA,NA,NA,NA,NA,NA,2013-03-01,-5009.323791748,"Total revenues accrual",NA,"OK",NA
"factor_midas","Italy","Revenues","2013-03-28",14013.3129916478,2,NA,NA,NA,NA,NA,NA,2013-03-01,-5009.323791748,"Total revenues accrual",NA,"OK",NA
"factor_midas","Italy","Revenues","2013-04-01",12744.9072439366,2,NA,NA,NA,NA,NA,NA,2013-04-01,-5009.323791748,"Total revenues accrual",NA,"OK",NA
"factor_midas","Italy","Revenues","2013-04-05",12781.3891990768,2,NA,NA,NA,NA,NA,NA,2013-04-01,-5009.323791748,"Total revenues accrual",NA,"OK",NA
"factor_midas","Italy","Revenues","2013-04-15",11980.4085013947,2,NA,NA,NA,NA,NA,NA,2013-04-01,-5009.323791748,"Total revenues accrual",NA,"OK",NA
