"model","country","block","publication_date","nowcast_value","nb_factors","lambda","gamma","cv_mse","df","n_selected","n_selected_groups","date_new","last_obs_y","target_name","selected_columns","status","error"
"factor_midas","Spain","Expenditures","2013-01-01",-11223.5746983952,1,NA,NA,NA,NA,NA,NA,2013-01-01,16464,"Total expenditures accrual",NA,"OK",NA
"factor_midas","Spain","Expenditures","2013-01-02",-11385.1286628394,1,NA,NA,NA,NA,NA,NA,2013-01-01,16464,"Total expenditures accrual",NA,"OK",NA
"factor_midas","Spain","Expenditures","2013-01-15",24007.3457957888,2,NA,NA,NA,NA,NA,NA,2013-01-01,16464,"Total expenditures accrual",NA,"OK",NA
"factor_midas","Spain","Expenditures","2013-01-27",19641.2577421331,2,NA,NA,NA,NA,NA,NA,2013-01-01,16464,"Total expenditures accrual",NA,"OK",NA
"factor_midas","Spain","Expenditures","2013-02-01",60715.6214205652,2,NA,NA,NA,NA,NA,NA,2013-02-01,16464,"Total expenditures accrual",NA,"OK",NA
"factor_midas","Spain","Expenditures","2013-02-05",61372.0451650346,2,NA,NA,NA,NA,NA,NA,2013-02-01,16464,"Total expenditures accrual",NA,"OK",NA
"factor_midas","Spain","Expenditures","2013-02-15",8961.59113804081,2,NA,NA,NA,NA,NA,NA,2013-02-01,16464,"Total expenditures accrual",NA,"OK",NA
"factor_midas","Spain","Expenditures","2013-02-27",10822.7461753492,2,NA,NA,NA,NA,NA,NA,2013-02-01,16464,"Total expenditures accrual",NA,"OK",NA
"factor_midas","Spain","Expenditures","2013-03-01",12585.7313842573,2,NA,NA,NA,NA,NA,NA,2013-03-01,16464,"Total expenditures accrual",NA,"OK",NA
"factor_midas","Spain","Expenditures","2013-03-05",12467.5984763761,2,NA,NA,NA,NA,NA,NA,2013-03-01,16464,"Total expenditures accrual",NA,"OK",NA
"factor_midas","Spain","Expenditures","2013-03-15",48332.6595680701,2,NA,NA,NA,NA,NA,NA,2013-03-01,-21294,"Total expenditures accrual",NA,"OK",NA
"factor_midas","Spain","Expenditures","2013-03-27",52582.793038323,2,NA,NA,NA,NA,NA,NA,2013-03-01,-21294,"Total expenditures accrual",NA,"OK",NA
"factor_midas","Spain","Expenditures","2013-04-01",52162.1979507127,2,NA,NA,NA,NA,NA,NA,2013-04-01,-21294,"Total expenditures accrual",NA,"OK",NA
"factor_midas","Spain","Expenditures","2013-04-15",49891.7403603118,2,NA,NA,NA,NA,NA,NA,2013-04-01,-21294,"Total expenditures accrual",NA,"OK",NA
"factor_midas","Spain","Expenditures","2013-04-27",57322.3070958164,2,NA,NA,NA,NA,NA,NA,2013-04-01,-21294,"Total expenditures accrual",NA,"OK",NA
"factor_midas","Spain","Expenditures","2013-05-01",69343.1667547598,2,NA,NA,NA,NA,NA,NA,2013-05-01,-21294,"Total expenditures accrual",NA,"OK",NA
"factor_midas","Spain","Expenditures","2013-05-03",69326.854209883,2,NA,NA,NA,NA,NA,NA,2013-05-01,-21294,"Total expenditures accrual",NA,"OK",NA
"factor_midas","Spain","Expenditures","2013-05-15",73456.3568450425,2,NA,NA,NA,NA,NA,NA,2013-05-01,-21294,"Total expenditures accrual",NA,"OK",NA
"factor_midas","Spain","Expenditures","2013-05-27",71169.1561707355,2,NA,NA,NA,NA,NA,NA,2013-05-01,-21294,"Total expenditures accrual",NA,"OK",NA
"factor_midas","Spain","Expenditures","2013-06-01",64455.3241424583,2,NA,NA,NA,NA,NA,NA,2013-06-01,-21294,"Total expenditures accrual",NA,"OK",NA
"factor_midas","Spain","Expenditures","2013-06-06",64434.8295408373,2,NA,NA,NA,NA,NA,NA,2013-06-01,-21294,"Total expenditures accrual",NA,"OK",NA
