"model","country","block","publication_date","nowcast_value","nb_factors","lambda","gamma","cv_mse","df","n_selected","n_selected_groups","date_new","last_obs_y","target_name","selected_columns","status","error"
"factor_midas","Spain","Revenues","2013-01-01",-1396.14120033067,1,NA,NA,NA,NA,NA,NA,2013-01-01,576,"Total revenues accrual",NA,"OK",NA
"factor_midas","Spain","Revenues","2013-01-02",-1385.65729782427,1,NA,NA,NA,NA,NA,NA,2013-01-01,576,"Total revenues accrual",NA,"OK",NA
"factor_midas","Spain","Revenues","2013-01-05",-2046.28813652686,1,NA,NA,NA,NA,NA,NA,2013-01-01,576,"Total revenues accrual",NA,"OK",NA
"factor_midas","Spain","Revenues","2013-01-15",-5853.6266859642,1,NA,NA,NA,NA,NA,NA,2013-01-01,576,"Total revenues accrual",NA,"OK",NA
"factor_midas","Spain","Revenues","2013-01-27",-5424.26270639064,1,NA,NA,NA,NA,NA,NA,2013-01-01,576,"Total revenues accrual",NA,"OK",NA
"factor_midas","Spain","Revenues","2013-01-31",-5179.63563192613,1,NA,NA,NA,NA,NA,NA,2013-01-01,576,"Total revenues accrual",NA,"OK",NA
"factor_midas","Spain","Revenues","2013-02-01",-6339.16116724423,1,NA,NA,NA,NA,NA,NA,2013-02-01,576,"Total revenues accrual",NA,"OK",NA
"factor_midas","Spain","Revenues","2013-02-05",-4097.58641161852,1,NA,NA,NA,NA,NA,NA,2013-02-01,576,"Total revenues accrual",NA,"OK",NA
"factor_midas","Spain","Revenues","2013-02-15",-4531.65691581114,1,NA,NA,NA,NA,NA,NA,2013-02-01,576,"Total revenues accrual",NA,"OK",NA
"factor_midas","Spain","Revenues","2013-02-27",-5432.4000894289,1,NA,NA,NA,NA,NA,NA,2013-02-01,576,"Total revenues accrual",NA,"OK",NA
"factor_midas","Spain","Revenues","2013-02-28",-6138.44549039177,1,NA,NA,NA,NA,NA,NA,2013-02-01,576,"Total revenues accrual",NA,"OK",NA
"factor_midas","Spain","Revenues","2013-03-01",-2749.69241137348,1,NA,NA,NA,NA,NA,NA,2013-03-01,576,"Total revenues accrual",NA,"OK",NA
"factor_midas","Spain","Revenues","2013-03-05",-6975.85936567756,1,NA,NA,NA,NA,NA,NA,2013-03-01,576,"Total revenues accrual",NA,"OK",NA
"factor_midas","Spain","Revenues","2013-03-15",-339.233130977604,1,NA,NA,NA,NA,NA,NA,2013-03-01,1180,"Total revenues accrual",NA,"OK",NA
"factor_midas","Spain","Revenues","2013-03-27",-300.304529922655,1,NA,NA,NA,NA,NA,NA,2013-03-01,1180,"Total revenues accrual",NA,"OK",NA
"factor_midas","Spain","Revenues","2013-03-28",-283.313385221985,1,NA,NA,NA,NA,NA,NA,2013-03-01,1180,"Total revenues accrual",NA,"OK",NA
"factor_midas","Spain","Revenues","2013-04-01",-276.464281553604,1,NA,NA,NA,NA,NA,NA,2013-04-01,1180,"Total revenues accrual",NA,"OK",NA
"factor_midas","Spain","Revenues","2013-04-05",-311.880642517259,1,NA,NA,NA,NA,NA,NA,2013-04-01,1180,"Total revenues accrual",NA,"OK",NA
"factor_midas","Spain","Revenues","2013-04-15",-325.744936308457,1,NA,NA,NA,NA,NA,NA,2013-04-01,1180,"Total revenues accrual",NA,"OK",NA
"factor_midas","Spain","Revenues","2013-04-25",-398.672772321441,1,NA,NA,NA,NA,NA,NA,2013-04-01,1180,"Total revenues accrual",NA,"OK",NA
"factor_midas","Spain","Revenues","2013-04-27",-338.059389468107,1,NA,NA,NA,NA,NA,NA,2013-04-01,1180,"Total revenues accrual",NA,"OK",NA
"factor_midas","Spain","Revenues","2013-05-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Total revenues accrual",NA,"KO","Not possible to estimate MIDAS model, more parameters than observations"
"factor_midas","Spain","Revenues","2013-05-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Total revenues accrual",NA,"KO","Not possible to estimate MIDAS model, more parameters than observations"
"factor_midas","Spain","Revenues","2013-05-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Total revenues accrual",NA,"KO","Not possible to estimate MIDAS model, more parameters than observations"
"factor_midas","Spain","Revenues","2013-05-15",-347.305521282261,1,NA,NA,NA,NA,NA,NA,2013-05-01,1180,"Total revenues accrual",NA,"OK",NA
"factor_midas","Spain","Revenues","2013-05-27",-309.800179972835,1,NA,NA,NA,NA,NA,NA,2013-05-01,1180,"Total revenues accrual",NA,"OK",NA
"factor_midas","Spain","Revenues","2013-05-30",-262.781274808785,1,NA,NA,NA,NA,NA,NA,2013-05-01,1180,"Total revenues accrual",NA,"OK",NA
"factor_midas","Spain","Revenues","2013-06-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Total revenues accrual",NA,"KO","Not possible to estimate MIDAS model, more parameters than observations"
"factor_midas","Spain","Revenues","2013-06-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Total revenues accrual",NA,"KO","Not possible to estimate MIDAS model, more parameters than observations"
"factor_midas","Spain","Revenues","2013-06-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Total revenues accrual",NA,"KO","Not possible to estimate MIDAS model, more parameters than observations"
"factor_midas","Spain","Revenues","2013-06-15",766.465382093937,1,NA,NA,NA,NA,NA,NA,2013-06-01,-998,"Total revenues accrual",NA,"OK",NA
"factor_midas","Spain","Revenues","2013-06-27",732.79945503824,1,NA,NA,NA,NA,NA,NA,2013-06-01,-998,"Total revenues accrual",NA,"OK",NA
"factor_midas","Spain","Revenues","2013-07-01",715.443891360841,1,NA,NA,NA,NA,NA,NA,2013-07-01,-998,"Total revenues accrual",NA,"OK",NA
"factor_midas","Spain","Revenues","2013-07-05",683.964121397658,1,NA,NA,NA,NA,NA,NA,2013-07-01,-998,"Total revenues accrual",NA,"OK",NA
"factor_midas","Spain","Revenues","2013-07-15",660.377089647912,1,NA,NA,NA,NA,NA,NA,2013-07-01,-998,"Total revenues accrual",NA,"OK",NA
"factor_midas","Spain","Revenues","2013-07-25",612.825207667561,1,NA,NA,NA,NA,NA,NA,2013-07-01,-998,"Total revenues accrual",NA,"OK",NA
"factor_midas","Spain","Revenues","2013-07-27",557.713394806222,1,NA,NA,NA,NA,NA,NA,2013-07-01,-998,"Total revenues accrual",NA,"OK",NA
"factor_midas","Spain","Revenues","2013-08-01",534.329817530744,1,NA,NA,NA,NA,NA,NA,2013-08-01,-998,"Total revenues accrual",NA,"OK",NA
"factor_midas","Spain","Revenues","2013-08-04",535.599696384986,1,NA,NA,NA,NA,NA,NA,2013-08-01,-998,"Total revenues accrual",NA,"OK",NA
"factor_midas","Spain","Revenues","2013-08-05",531.83895919863,1,NA,NA,NA,NA,NA,NA,2013-08-01,-998,"Total revenues accrual",NA,"OK",NA
"factor_midas","Spain","Revenues","2013-08-15",488.318165510393,1,NA,NA,NA,NA,NA,NA,2013-08-01,-998,"Total revenues accrual",NA,"OK",NA
"factor_midas","Spain","Revenues","2013-08-27",466.530602033145,1,NA,NA,NA,NA,NA,NA,2013-08-01,-998,"Total revenues accrual",NA,"OK",NA
"factor_midas","Spain","Revenues","2013-08-29",474.996730169613,1,NA,NA,NA,NA,NA,NA,2013-08-01,-998,"Total revenues accrual",NA,"OK",NA
"factor_midas","Spain","Revenues","2013-09-01",436.126895893518,1,NA,NA,NA,NA,NA,NA,2013-09-01,-998,"Total revenues accrual",NA,"OK",NA
"factor_midas","Spain","Revenues","2013-09-05",-102.025796824074,1,NA,NA,NA,NA,NA,NA,2013-09-01,-998,"Total revenues accrual",NA,"OK",NA
"factor_midas","Spain","Revenues","2013-09-07",-90.7082485033463,1,NA,NA,NA,NA,NA,NA,2013-09-01,-998,"Total revenues accrual",NA,"OK",NA
"factor_midas","Spain","Revenues","2013-09-15",-396.772316657453,1,NA,NA,NA,NA,NA,NA,2013-09-01,601,"Total revenues accrual",NA,"OK",NA
