"Model","Country","Block","Status","Message","Nb_obs","Timestamp"
"factor_midas","Germany","Revenues","SUCCESS","Estimation completed",189,"00:33:07"
"factor_midas","Germany","Expenditures","SUCCESS","Estimation completed",189,"00:44:44"
"factor_midas","France","Revenues","SUCCESS","Estimation completed",189,"00:50:47"
"factor_midas","France","Expenditures","SUCCESS","Estimation completed",189,"01:01:55"
"factor_midas","Italy","Revenues","SUCCESS","Estimation completed",189,"01:07:54"
"factor_midas","Italy","Expenditures","SUCCESS","Estimation completed",189,"01:22:17"
"factor_midas","Spain","Revenues","SUCCESS","Estimation completed",189,"01:31:16"
"factor_midas","Spain","Expenditures","SUCCESS","Estimation completed",190,"01:42:47"
"sg_lasso","Germany","Revenues","SUCCESS","Estimation completed",189,"01:49:04"
"sg_lasso","Germany","Expenditures","SUCCESS","Estimation completed",189,"02:01:09"
"sg_lasso","France","Revenues","SUCCESS","Estimation completed",189,"02:07:57"
"sg_lasso","France","Expenditures","SUCCESS","Estimation completed",189,"02:20:23"
"sg_lasso","Italy","Revenues","SUCCESS","Estimation completed",189,"02:27:15"
"sg_lasso","Italy","Expenditures","SUCCESS","Estimation completed",189,"02:43:06"
"sg_lasso","Spain","Revenues","SUCCESS","Estimation completed",189,"02:53:04"
"sg_lasso","Spain","Expenditures","SUCCESS","Estimation completed",190,"03:05:44"
"ar1","Germany","Revenues","SUCCESS","Estimation completed",189,"03:12:50"
"ar1","Germany","Expenditures","SUCCESS","Estimation completed",189,"03:24:23"
"ar1","France","Revenues","SUCCESS","Estimation completed",189,"03:30:44"
"ar1","France","Expenditures","SUCCESS","Estimation completed",189,"03:42:14"
"ar1","Italy","Revenues","SUCCESS","Estimation completed",189,"03:48:30"
"ar1","Italy","Expenditures","SUCCESS","Estimation completed",189,"04:03:17"
"ar1","Spain","Revenues","SUCCESS","Estimation completed",189,"04:12:27"
"ar1","Spain","Expenditures","SUCCESS","Estimation completed",190,"04:23:55"
"rw","Germany","Revenues","SUCCESS","Estimation completed",189,"04:30:11"
"rw","Germany","Expenditures","SUCCESS","Estimation completed",189,"04:41:20"
"rw","France","Revenues","SUCCESS","Estimation completed",189,"04:47:22"
"rw","France","Expenditures","SUCCESS","Estimation completed",189,"04:58:33"
"rw","Italy","Revenues","SUCCESS","Estimation completed",189,"05:04:34"
"rw","Italy","Expenditures","SUCCESS","Estimation completed",189,"05:19:05"
"rw","Spain","Revenues","SUCCESS","Estimation completed",189,"05:28:11"
"rw","Spain","Expenditures","SUCCESS","Estimation completed",190,"05:39:20"
