"model","country","block","publication_date","nowcast_value","nb_factors","lambda","gamma","cv_mse","df","n_selected","n_selected_groups","date_new","last_obs_y","target_name","selected_columns","status","error"
"rw","France","Revenues","2013-01-01",9196.5,NA,NA,NA,NA,NA,NA,NA,2013-01-01,9196.5,"Total revenues accrual",NA,"OK",NA
"rw","France","Revenues","2013-01-02",9196.5,NA,NA,NA,NA,NA,NA,NA,2013-01-01,9196.5,"Total revenues accrual",NA,"OK",NA
"rw","France","Revenues","2013-01-05",9196.5,NA,NA,NA,NA,NA,NA,NA,2013-01-01,9196.5,"Total revenues accrual",NA,"OK",NA
"rw","France","Revenues","2013-01-15",9196.5,NA,NA,NA,NA,NA,NA,NA,2013-01-01,9196.5,"Total revenues accrual",NA,"OK",NA
"rw","France","Revenues","2013-01-27",9196.5,NA,NA,NA,NA,NA,NA,NA,2013-01-01,9196.5,"Total revenues accrual",NA,"OK",NA
"rw","France","Revenues","2013-01-31",9196.5,NA,NA,NA,NA,NA,NA,NA,2013-01-01,9196.5,"Total revenues accrual",NA,"OK",NA
"rw","France","Revenues","2013-02-01",9196.5,NA,NA,NA,NA,NA,NA,NA,2013-02-01,9196.5,"Total revenues accrual",NA,"OK",NA
"rw","France","Revenues","2013-02-05",9196.5,NA,NA,NA,NA,NA,NA,NA,2013-02-01,9196.5,"Total revenues accrual",NA,"OK",NA
"rw","France","Revenues","2013-02-15",9196.5,NA,NA,NA,NA,NA,NA,NA,2013-02-01,9196.5,"Total revenues accrual",NA,"OK",NA
"rw","France","Revenues","2013-02-27",9196.5,NA,NA,NA,NA,NA,NA,NA,2013-02-01,9196.5,"Total revenues accrual",NA,"OK",NA
"rw","France","Revenues","2013-02-28",9196.5,NA,NA,NA,NA,NA,NA,NA,2013-02-01,9196.5,"Total revenues accrual",NA,"OK",NA
"rw","France","Revenues","2013-03-01",9196.5,NA,NA,NA,NA,NA,NA,NA,2013-03-01,9196.5,"Total revenues accrual",NA,"OK",NA
"rw","France","Revenues","2013-03-05",9196.5,NA,NA,NA,NA,NA,NA,NA,2013-03-01,9196.5,"Total revenues accrual",NA,"OK",NA
"rw","France","Revenues","2013-03-15",-3982.10000000003,NA,NA,NA,NA,NA,NA,NA,2013-03-01,-3982.10000000003,"Total revenues accrual",NA,"OK",NA
"rw","France","Revenues","2013-03-27",-3982.10000000003,NA,NA,NA,NA,NA,NA,NA,2013-03-01,-3982.10000000003,"Total revenues accrual",NA,"OK",NA
"rw","France","Revenues","2013-03-28",-3982.10000000003,NA,NA,NA,NA,NA,NA,NA,2013-03-01,-3982.10000000003,"Total revenues accrual",NA,"OK",NA
"rw","France","Revenues","2013-04-01",-3982.10000000003,NA,NA,NA,NA,NA,NA,NA,2013-04-01,-3982.10000000003,"Total revenues accrual",NA,"OK",NA
"rw","France","Revenues","2013-04-05",-3982.10000000003,NA,NA,NA,NA,NA,NA,NA,2013-04-01,-3982.10000000003,"Total revenues accrual",NA,"OK",NA
"rw","France","Revenues","2013-04-15",-3982.10000000003,NA,NA,NA,NA,NA,NA,NA,2013-04-01,-3982.10000000003,"Total revenues accrual",NA,"OK",NA
"rw","France","Revenues","2013-04-25",-3982.10000000003,NA,NA,NA,NA,NA,NA,NA,2013-04-01,-3982.10000000003,"Total revenues accrual",NA,"OK",NA
"rw","France","Revenues","2013-04-27",-3982.10000000003,NA,NA,NA,NA,NA,NA,NA,2013-04-01,-3982.10000000003,"Total revenues accrual",NA,"OK",NA
"rw","France","Revenues","2013-05-01",-3982.10000000003,NA,NA,NA,NA,NA,NA,NA,2013-05-01,-3982.10000000003,"Total revenues accrual",NA,"OK",NA
"rw","France","Revenues","2013-05-03",-3982.10000000003,NA,NA,NA,NA,NA,NA,NA,2013-05-01,-3982.10000000003,"Total revenues accrual",NA,"OK",NA
"rw","France","Revenues","2013-05-05",-3982.10000000003,NA,NA,NA,NA,NA,NA,NA,2013-05-01,-3982.10000000003,"Total revenues accrual",NA,"OK",NA
"rw","France","Revenues","2013-05-15",-3982.10000000003,NA,NA,NA,NA,NA,NA,NA,2013-05-01,-3982.10000000003,"Total revenues accrual",NA,"OK",NA
"rw","France","Revenues","2013-05-27",-3982.10000000003,NA,NA,NA,NA,NA,NA,NA,2013-05-01,-3982.10000000003,"Total revenues accrual",NA,"OK",NA
"rw","France","Revenues","2013-05-30",-3982.10000000003,NA,NA,NA,NA,NA,NA,NA,2013-05-01,-3982.10000000003,"Total revenues accrual",NA,"OK",NA
"rw","France","Revenues","2013-06-01",-3982.10000000003,NA,NA,NA,NA,NA,NA,NA,2013-06-01,-3982.10000000003,"Total revenues accrual",NA,"OK",NA
