"model","country","block","publication_date","nowcast_value","nb_factors","lambda","gamma","cv_mse","df","n_selected","n_selected_groups","date_new","last_obs_y","target_name","selected_columns","status","error"
"rw","Germany","Expenditures","2013-01-01",-934,NA,NA,NA,NA,NA,NA,NA,2013-01-01,-934,"Total expenditures accrual",NA,"OK",NA
"rw","Germany","Expenditures","2013-01-02",-934,NA,NA,NA,NA,NA,NA,NA,2013-01-01,-934,"Total expenditures accrual",NA,"OK",NA
"rw","Germany","Expenditures","2013-01-15",-934,NA,NA,NA,NA,NA,NA,NA,2013-01-01,-934,"Total expenditures accrual",NA,"OK",NA
"rw","Germany","Expenditures","2013-01-27",-934,NA,NA,NA,NA,NA,NA,NA,2013-01-01,-934,"Total expenditures accrual",NA,"OK",NA
"rw","Germany","Expenditures","2013-02-01",-934,NA,NA,NA,NA,NA,NA,NA,2013-02-01,-934,"Total expenditures accrual",NA,"OK",NA
"rw","Germany","Expenditures","2013-02-05",-934,NA,NA,NA,NA,NA,NA,NA,2013-02-01,-934,"Total expenditures accrual",NA,"OK",NA
"rw","Germany","Expenditures","2013-02-15",-934,NA,NA,NA,NA,NA,NA,NA,2013-02-01,-934,"Total expenditures accrual",NA,"OK",NA
"rw","Germany","Expenditures","2013-02-27",-934,NA,NA,NA,NA,NA,NA,NA,2013-02-01,-934,"Total expenditures accrual",NA,"OK",NA
"rw","Germany","Expenditures","2013-03-01",-934,NA,NA,NA,NA,NA,NA,NA,2013-03-01,-934,"Total expenditures accrual",NA,"OK",NA
"rw","Germany","Expenditures","2013-03-05",-934,NA,NA,NA,NA,NA,NA,NA,2013-03-01,-934,"Total expenditures accrual",NA,"OK",NA
"rw","Germany","Expenditures","2013-03-15",4465,NA,NA,NA,NA,NA,NA,NA,2013-03-01,4465,"Total expenditures accrual",NA,"OK",NA
"rw","Germany","Expenditures","2013-03-27",4465,NA,NA,NA,NA,NA,NA,NA,2013-03-01,4465,"Total expenditures accrual",NA,"OK",NA
"rw","Germany","Expenditures","2013-04-01",4465,NA,NA,NA,NA,NA,NA,NA,2013-04-01,4465,"Total expenditures accrual",NA,"OK",NA
"rw","Germany","Expenditures","2013-04-15",4465,NA,NA,NA,NA,NA,NA,NA,2013-04-01,4465,"Total expenditures accrual",NA,"OK",NA
"rw","Germany","Expenditures","2013-04-27",4465,NA,NA,NA,NA,NA,NA,NA,2013-04-01,4465,"Total expenditures accrual",NA,"OK",NA
"rw","Germany","Expenditures","2013-05-01",4465,NA,NA,NA,NA,NA,NA,NA,2013-05-01,4465,"Total expenditures accrual",NA,"OK",NA
"rw","Germany","Expenditures","2013-05-03",4465,NA,NA,NA,NA,NA,NA,NA,2013-05-01,4465,"Total expenditures accrual",NA,"OK",NA
"rw","Germany","Expenditures","2013-05-15",4465,NA,NA,NA,NA,NA,NA,NA,2013-05-01,4465,"Total expenditures accrual",NA,"OK",NA
"rw","Germany","Expenditures","2013-05-27",4465,NA,NA,NA,NA,NA,NA,NA,2013-05-01,4465,"Total expenditures accrual",NA,"OK",NA
"rw","Germany","Expenditures","2013-06-01",4465,NA,NA,NA,NA,NA,NA,NA,2013-06-01,4465,"Total expenditures accrual",NA,"OK",NA
"rw","Germany","Expenditures","2013-06-06",4465,NA,NA,NA,NA,NA,NA,NA,2013-06-01,4465,"Total expenditures accrual",NA,"OK",NA
"rw","Germany","Expenditures","2013-06-15",3032,NA,NA,NA,NA,NA,NA,NA,2013-06-01,3032,"Total expenditures accrual",NA,"OK",NA
"rw","Germany","Expenditures","2013-06-27",3032,NA,NA,NA,NA,NA,NA,NA,2013-06-01,3032,"Total expenditures accrual",NA,"OK",NA
"rw","Germany","Expenditures","2013-07-01",3032,NA,NA,NA,NA,NA,NA,NA,2013-07-01,3032,"Total expenditures accrual",NA,"OK",NA
"rw","Germany","Expenditures","2013-07-15",3032,NA,NA,NA,NA,NA,NA,NA,2013-07-01,3032,"Total expenditures accrual",NA,"OK",NA
"rw","Germany","Expenditures","2013-07-27",3032,NA,NA,NA,NA,NA,NA,NA,2013-07-01,3032,"Total expenditures accrual",NA,"OK",NA
"rw","Germany","Expenditures","2013-08-01",3032,NA,NA,NA,NA,NA,NA,NA,2013-08-01,3032,"Total expenditures accrual",NA,"OK",NA
"rw","Germany","Expenditures","2013-08-04",3032,NA,NA,NA,NA,NA,NA,NA,2013-08-01,3032,"Total expenditures accrual",NA,"OK",NA
"rw","Germany","Expenditures","2013-08-15",3032,NA,NA,NA,NA,NA,NA,NA,2013-08-01,3032,"Total expenditures accrual",NA,"OK",NA
"rw","Germany","Expenditures","2013-08-27",3032,NA,NA,NA,NA,NA,NA,NA,2013-08-01,3032,"Total expenditures accrual",NA,"OK",NA
"rw","Germany","Expenditures","2013-09-01",3032,NA,NA,NA,NA,NA,NA,NA,2013-09-01,3032,"Total expenditures accrual",NA,"OK",NA
"rw","Germany","Expenditures","2013-09-07",3032,NA,NA,NA,NA,NA,NA,NA,2013-09-01,3032,"Total expenditures accrual",NA,"OK",NA
"rw","Germany","Expenditures","2013-09-15",1170,NA,NA,NA,NA,NA,NA,NA,2013-09-01,1170,"Total expenditures accrual",NA,"OK",NA
"rw","Germany","Expenditures","2013-09-27",1170,NA,NA,NA,NA,NA,NA,NA,2013-09-01,1170,"Total expenditures accrual",NA,"OK",NA
"rw","Germany","Expenditures","2013-10-01",1170,NA,NA,NA,NA,NA,NA,NA,2013-10-01,1170,"Total expenditures accrual",NA,"OK",NA
"rw","Germany","Expenditures","2013-10-02",1170,NA,NA,NA,NA,NA,NA,NA,2013-10-01,1170,"Total expenditures accrual",NA,"OK",NA
"rw","Germany","Expenditures","2013-10-15",1170,NA,NA,NA,NA,NA,NA,NA,2013-10-01,1170,"Total expenditures accrual",NA,"OK",NA
"rw","Germany","Expenditures","2013-10-27",1170,NA,NA,NA,NA,NA,NA,NA,2013-10-01,1170,"Total expenditures accrual",NA,"OK",NA
"rw","Germany","Expenditures","2013-11-01",1170,NA,NA,NA,NA,NA,NA,NA,2013-11-01,1170,"Total expenditures accrual",NA,"OK",NA
"rw","Germany","Expenditures","2013-11-05",1170,NA,NA,NA,NA,NA,NA,NA,2013-11-01,1170,"Total expenditures accrual",NA,"OK",NA
"rw","Germany","Expenditures","2013-11-15",1170,NA,NA,NA,NA,NA,NA,NA,2013-11-01,1170,"Total expenditures accrual",NA,"OK",NA
"rw","Germany","Expenditures","2013-11-27",1170,NA,NA,NA,NA,NA,NA,NA,2013-11-01,1170,"Total expenditures accrual",NA,"OK",NA
"rw","Germany","Expenditures","2013-12-01",1170,NA,NA,NA,NA,NA,NA,NA,2013-12-01,1170,"Total expenditures accrual",NA,"OK",NA
"rw","Germany","Expenditures","2013-12-07",1170,NA,NA,NA,NA,NA,NA,NA,2013-12-01,1170,"Total expenditures accrual",NA,"OK",NA
"rw","Germany","Expenditures","2013-12-15",-2128,NA,NA,NA,NA,NA,NA,NA,2013-12-01,-2128,"Total expenditures accrual",NA,"OK",NA
"rw","Germany","Expenditures","2013-12-27",-2128,NA,NA,NA,NA,NA,NA,NA,2013-12-01,-2128,"Total expenditures accrual",NA,"OK",NA
"rw","Germany","Expenditures","2014-01-01",-2128,NA,NA,NA,NA,NA,NA,NA,2014-01-01,-2128,"Total expenditures accrual",NA,"OK",NA
"rw","Germany","Expenditures","2014-01-03",-2128,NA,NA,NA,NA,NA,NA,NA,2014-01-01,-2128,"Total expenditures accrual",NA,"OK",NA
"rw","Germany","Expenditures","2014-01-15",-2128,NA,NA,NA,NA,NA,NA,NA,2014-01-01,-2128,"Total expenditures accrual",NA,"OK",NA
"rw","Germany","Expenditures","2014-01-27",-2128,NA,NA,NA,NA,NA,NA,NA,2014-01-01,-2128,"Total expenditures accrual",NA,"OK",NA
"rw","Germany","Expenditures","2014-02-01",-2128,NA,NA,NA,NA,NA,NA,NA,2014-02-01,-2128,"Total expenditures accrual",NA,"OK",NA
"rw","Germany","Expenditures","2014-02-06",-2128,NA,NA,NA,NA,NA,NA,NA,2014-02-01,-2128,"Total expenditures accrual",NA,"OK",NA
"rw","Germany","Expenditures","2014-02-15",-2128,NA,NA,NA,NA,NA,NA,NA,2014-02-01,-2128,"Total expenditures accrual",NA,"OK",NA
"rw","Germany","Expenditures","2014-02-27",-2128,NA,NA,NA,NA,NA,NA,NA,2014-02-01,-2128,"Total expenditures accrual",NA,"OK",NA
"rw","Germany","Expenditures","2014-03-01",-2128,NA,NA,NA,NA,NA,NA,NA,2014-03-01,-2128,"Total expenditures accrual",NA,"OK",NA
"rw","Germany","Expenditures","2014-03-06",-2128,NA,NA,NA,NA,NA,NA,NA,2014-03-01,-2128,"Total expenditures accrual",NA,"OK",NA
"rw","Germany","Expenditures","2014-03-15",4474,NA,NA,NA,NA,NA,NA,NA,2014-03-01,4474,"Total expenditures accrual",NA,"OK",NA
"rw","Germany","Expenditures","2014-03-27",4474,NA,NA,NA,NA,NA,NA,NA,2014-03-01,4474,"Total expenditures accrual",NA,"OK",NA
"rw","Germany","Expenditures","2014-04-01",4474,NA,NA,NA,NA,NA,NA,NA,2014-04-01,4474,"Total expenditures accrual",NA,"OK",NA
"rw","Germany","Expenditures","2014-04-02",4474,NA,NA,NA,NA,NA,NA,NA,2014-04-01,4474,"Total expenditures accrual",NA,"OK",NA
"rw","Germany","Expenditures","2014-04-15",4474,NA,NA,NA,NA,NA,NA,NA,2014-04-01,4474,"Total expenditures accrual",NA,"OK",NA
"rw","Germany","Expenditures","2014-04-27",4474,NA,NA,NA,NA,NA,NA,NA,2014-04-01,4474,"Total expenditures accrual",NA,"OK",NA
"rw","Germany","Expenditures","2014-05-01",4474,NA,NA,NA,NA,NA,NA,NA,2014-05-01,4474,"Total expenditures accrual",NA,"OK",NA
"rw","Germany","Expenditures","2014-05-04",4474,NA,NA,NA,NA,NA,NA,NA,2014-05-01,4474,"Total expenditures accrual",NA,"OK",NA
"rw","Germany","Expenditures","2014-05-15",4474,NA,NA,NA,NA,NA,NA,NA,2014-05-01,4474,"Total expenditures accrual",NA,"OK",NA
"rw","Germany","Expenditures","2014-05-27",4474,NA,NA,NA,NA,NA,NA,NA,2014-05-01,4474,"Total expenditures accrual",NA,"OK",NA
"rw","Germany","Expenditures","2014-06-01",4474,NA,NA,NA,NA,NA,NA,NA,2014-06-01,4474,"Total expenditures accrual",NA,"OK",NA
"rw","Germany","Expenditures","2014-06-07",4474,NA,NA,NA,NA,NA,NA,NA,2014-06-01,4474,"Total expenditures accrual",NA,"OK",NA
"rw","Germany","Expenditures","2014-06-15",2245,NA,NA,NA,NA,NA,NA,NA,2014-06-01,2245,"Total expenditures accrual",NA,"OK",NA
"rw","Germany","Expenditures","2014-06-27",2245,NA,NA,NA,NA,NA,NA,NA,2014-06-01,2245,"Total expenditures accrual",NA,"OK",NA
"rw","Germany","Expenditures","2014-07-01",2245,NA,NA,NA,NA,NA,NA,NA,2014-07-01,2245,"Total expenditures accrual",NA,"OK",NA
"rw","Germany","Expenditures","2014-07-02",2245,NA,NA,NA,NA,NA,NA,NA,2014-07-01,2245,"Total expenditures accrual",NA,"OK",NA
"rw","Germany","Expenditures","2014-07-15",2245,NA,NA,NA,NA,NA,NA,NA,2014-07-01,2245,"Total expenditures accrual",NA,"OK",NA
"rw","Germany","Expenditures","2014-07-27",2245,NA,NA,NA,NA,NA,NA,NA,2014-07-01,2245,"Total expenditures accrual",NA,"OK",NA
"rw","Germany","Expenditures","2014-08-01",2245,NA,NA,NA,NA,NA,NA,NA,2014-08-01,2245,"Total expenditures accrual",NA,"OK",NA
"rw","Germany","Expenditures","2014-08-05",2245,NA,NA,NA,NA,NA,NA,NA,2014-08-01,2245,"Total expenditures accrual",NA,"OK",NA
"rw","Germany","Expenditures","2014-08-15",2245,NA,NA,NA,NA,NA,NA,NA,2014-08-01,2245,"Total expenditures accrual",NA,"OK",NA
"rw","Germany","Expenditures","2014-08-27",2245,NA,NA,NA,NA,NA,NA,NA,2014-08-01,2245,"Total expenditures accrual",NA,"OK",NA
"rw","Germany","Expenditures","2014-09-01",2245,NA,NA,NA,NA,NA,NA,NA,2014-09-01,2245,"Total expenditures accrual",NA,"OK",NA
"rw","Germany","Expenditures","2014-09-15",3373,NA,NA,NA,NA,NA,NA,NA,2014-09-01,3373,"Total expenditures accrual",NA,"OK",NA
"rw","Germany","Expenditures","2014-09-27",3373,NA,NA,NA,NA,NA,NA,NA,2014-09-01,3373,"Total expenditures accrual",NA,"OK",NA
"rw","Germany","Expenditures","2014-10-01",3373,NA,NA,NA,NA,NA,NA,NA,2014-10-01,3373,"Total expenditures accrual",NA,"OK",NA
"rw","Germany","Expenditures","2014-10-03",3373,NA,NA,NA,NA,NA,NA,NA,2014-10-01,3373,"Total expenditures accrual",NA,"OK",NA
"rw","Germany","Expenditures","2014-10-15",3373,NA,NA,NA,NA,NA,NA,NA,2014-10-01,3373,"Total expenditures accrual",NA,"OK",NA
"rw","Germany","Expenditures","2014-10-27",3373,NA,NA,NA,NA,NA,NA,NA,2014-10-01,3373,"Total expenditures accrual",NA,"OK",NA
"rw","Germany","Expenditures","2014-11-01",3373,NA,NA,NA,NA,NA,NA,NA,2014-11-01,3373,"Total expenditures accrual",NA,"OK",NA
"rw","Germany","Expenditures","2014-11-06",3373,NA,NA,NA,NA,NA,NA,NA,2014-11-01,3373,"Total expenditures accrual",NA,"OK",NA
"rw","Germany","Expenditures","2014-11-15",3373,NA,NA,NA,NA,NA,NA,NA,2014-11-01,3373,"Total expenditures accrual",NA,"OK",NA
"rw","Germany","Expenditures","2014-11-27",3373,NA,NA,NA,NA,NA,NA,NA,2014-11-01,3373,"Total expenditures accrual",NA,"OK",NA
"rw","Germany","Expenditures","2014-12-01",3373,NA,NA,NA,NA,NA,NA,NA,2014-12-01,3373,"Total expenditures accrual",NA,"OK",NA
"rw","Germany","Expenditures","2014-12-15",3367,NA,NA,NA,NA,NA,NA,NA,2014-12-01,3367,"Total expenditures accrual",NA,"OK",NA
"rw","Germany","Expenditures","2014-12-27",3367,NA,NA,NA,NA,NA,NA,NA,2014-12-01,3367,"Total expenditures accrual",NA,"OK",NA
"rw","Germany","Expenditures","2015-01-01",3367,NA,NA,NA,NA,NA,NA,NA,2015-01-01,3367,"Total expenditures accrual",NA,"OK",NA
"rw","Germany","Expenditures","2015-01-04",3367,NA,NA,NA,NA,NA,NA,NA,2015-01-01,3367,"Total expenditures accrual",NA,"OK",NA
