"model","country","block","publication_date","nowcast_value","nb_factors","lambda","gamma","cv_mse","df","n_selected","n_selected_groups","date_new","last_obs_y","target_name","selected_columns","status","error"
"rw","Germany","Revenues","2013-01-01",-4832,NA,NA,NA,NA,NA,NA,NA,2013-01-01,-4832,"Total revenues accrual",NA,"OK",NA
"rw","Germany","Revenues","2013-01-02",-4832,NA,NA,NA,NA,NA,NA,NA,2013-01-01,-4832,"Total revenues accrual",NA,"OK",NA
"rw","Germany","Revenues","2013-01-05",-4832,NA,NA,NA,NA,NA,NA,NA,2013-01-01,-4832,"Total revenues accrual",NA,"OK",NA
"rw","Germany","Revenues","2013-01-15",-4832,NA,NA,NA,NA,NA,NA,NA,2013-01-01,-4832,"Total revenues accrual",NA,"OK",NA
"rw","Germany","Revenues","2013-01-27",-4832,NA,NA,NA,NA,NA,NA,NA,2013-01-01,-4832,"Total revenues accrual",NA,"OK",NA
"rw","Germany","Revenues","2013-01-31",-4832,NA,NA,NA,NA,NA,NA,NA,2013-01-01,-4832,"Total revenues accrual",NA,"OK",NA
"rw","Germany","Revenues","2013-02-01",-4832,NA,NA,NA,NA,NA,NA,NA,2013-02-01,-4832,"Total revenues accrual",NA,"OK",NA
"rw","Germany","Revenues","2013-02-05",-4832,NA,NA,NA,NA,NA,NA,NA,2013-02-01,-4832,"Total revenues accrual",NA,"OK",NA
"rw","Germany","Revenues","2013-02-15",-4832,NA,NA,NA,NA,NA,NA,NA,2013-02-01,-4832,"Total revenues accrual",NA,"OK",NA
"rw","Germany","Revenues","2013-02-27",-4832,NA,NA,NA,NA,NA,NA,NA,2013-02-01,-4832,"Total revenues accrual",NA,"OK",NA
"rw","Germany","Revenues","2013-02-28",-4832,NA,NA,NA,NA,NA,NA,NA,2013-02-01,-4832,"Total revenues accrual",NA,"OK",NA
"rw","Germany","Revenues","2013-03-01",-4832,NA,NA,NA,NA,NA,NA,NA,2013-03-01,-4832,"Total revenues accrual",NA,"OK",NA
"rw","Germany","Revenues","2013-03-05",-4832,NA,NA,NA,NA,NA,NA,NA,2013-03-01,-4832,"Total revenues accrual",NA,"OK",NA
"rw","Germany","Revenues","2013-03-15",1765,NA,NA,NA,NA,NA,NA,NA,2013-03-01,1765,"Total revenues accrual",NA,"OK",NA
"rw","Germany","Revenues","2013-03-27",1765,NA,NA,NA,NA,NA,NA,NA,2013-03-01,1765,"Total revenues accrual",NA,"OK",NA
"rw","Germany","Revenues","2013-03-28",1765,NA,NA,NA,NA,NA,NA,NA,2013-03-01,1765,"Total revenues accrual",NA,"OK",NA
"rw","Germany","Revenues","2013-04-01",1765,NA,NA,NA,NA,NA,NA,NA,2013-04-01,1765,"Total revenues accrual",NA,"OK",NA
"rw","Germany","Revenues","2013-04-05",1765,NA,NA,NA,NA,NA,NA,NA,2013-04-01,1765,"Total revenues accrual",NA,"OK",NA
"rw","Germany","Revenues","2013-04-15",1765,NA,NA,NA,NA,NA,NA,NA,2013-04-01,1765,"Total revenues accrual",NA,"OK",NA
"rw","Germany","Revenues","2013-04-25",1765,NA,NA,NA,NA,NA,NA,NA,2013-04-01,1765,"Total revenues accrual",NA,"OK",NA
"rw","Germany","Revenues","2013-04-27",1765,NA,NA,NA,NA,NA,NA,NA,2013-04-01,1765,"Total revenues accrual",NA,"OK",NA
"rw","Germany","Revenues","2013-05-01",1765,NA,NA,NA,NA,NA,NA,NA,2013-05-01,1765,"Total revenues accrual",NA,"OK",NA
"rw","Germany","Revenues","2013-05-03",1765,NA,NA,NA,NA,NA,NA,NA,2013-05-01,1765,"Total revenues accrual",NA,"OK",NA
"rw","Germany","Revenues","2013-05-05",1765,NA,NA,NA,NA,NA,NA,NA,2013-05-01,1765,"Total revenues accrual",NA,"OK",NA
"rw","Germany","Revenues","2013-05-15",1765,NA,NA,NA,NA,NA,NA,NA,2013-05-01,1765,"Total revenues accrual",NA,"OK",NA
"rw","Germany","Revenues","2013-05-27",1765,NA,NA,NA,NA,NA,NA,NA,2013-05-01,1765,"Total revenues accrual",NA,"OK",NA
"rw","Germany","Revenues","2013-05-30",1765,NA,NA,NA,NA,NA,NA,NA,2013-05-01,1765,"Total revenues accrual",NA,"OK",NA
"rw","Germany","Revenues","2013-06-01",1765,NA,NA,NA,NA,NA,NA,NA,2013-06-01,1765,"Total revenues accrual",NA,"OK",NA
