"model","country","block","publication_date","nowcast_value","nb_factors","lambda","gamma","cv_mse","df","n_selected","n_selected_groups","date_new","last_obs_y","target_name","selected_columns","status","error"
"rw","Italy","Expenditures","2013-01-01",842.467064675002,NA,NA,NA,NA,NA,NA,NA,2013-01-01,842.467064675002,"Total expenditures accrual",NA,"OK",NA
"rw","Italy","Expenditures","2013-01-02",842.467064675002,NA,NA,NA,NA,NA,NA,NA,2013-01-01,842.467064675002,"Total expenditures accrual",NA,"OK",NA
"rw","Italy","Expenditures","2013-01-15",842.467064675002,NA,NA,NA,NA,NA,NA,NA,2013-01-01,842.467064675002,"Total expenditures accrual",NA,"OK",NA
"rw","Italy","Expenditures","2013-01-27",842.467064675002,NA,NA,NA,NA,NA,NA,NA,2013-01-01,842.467064675002,"Total expenditures accrual",NA,"OK",NA
"rw","Italy","Expenditures","2013-02-01",842.467064675002,NA,NA,NA,NA,NA,NA,NA,2013-02-01,842.467064675002,"Total expenditures accrual",NA,"OK",NA
"rw","Italy","Expenditures","2013-02-05",842.467064675002,NA,NA,NA,NA,NA,NA,NA,2013-02-01,842.467064675002,"Total expenditures accrual",NA,"OK",NA
"rw","Italy","Expenditures","2013-02-15",842.467064675002,NA,NA,NA,NA,NA,NA,NA,2013-02-01,842.467064675002,"Total expenditures accrual",NA,"OK",NA
"rw","Italy","Expenditures","2013-02-27",842.467064675002,NA,NA,NA,NA,NA,NA,NA,2013-02-01,842.467064675002,"Total expenditures accrual",NA,"OK",NA
"rw","Italy","Expenditures","2013-03-01",842.467064675002,NA,NA,NA,NA,NA,NA,NA,2013-03-01,842.467064675002,"Total expenditures accrual",NA,"OK",NA
"rw","Italy","Expenditures","2013-03-05",842.467064675002,NA,NA,NA,NA,NA,NA,NA,2013-03-01,842.467064675002,"Total expenditures accrual",NA,"OK",NA
"rw","Italy","Expenditures","2013-03-15",385.42545232398,NA,NA,NA,NA,NA,NA,NA,2013-03-01,385.42545232398,"Total expenditures accrual",NA,"OK",NA
"rw","Italy","Expenditures","2013-03-27",385.42545232398,NA,NA,NA,NA,NA,NA,NA,2013-03-01,385.42545232398,"Total expenditures accrual",NA,"OK",NA
