"model","country","block","publication_date","nowcast_value","nb_factors","lambda","gamma","cv_mse","df","n_selected","n_selected_groups","date_new","last_obs_y","target_name","selected_columns","status","error"
"rw","Spain","Expenditures","2013-01-01",16464,NA,NA,NA,NA,NA,NA,NA,2013-01-01,16464,"Total expenditures accrual",NA,"OK",NA
"rw","Spain","Expenditures","2013-01-02",16464,NA,NA,NA,NA,NA,NA,NA,2013-01-01,16464,"Total expenditures accrual",NA,"OK",NA
"rw","Spain","Expenditures","2013-01-15",16464,NA,NA,NA,NA,NA,NA,NA,2013-01-01,16464,"Total expenditures accrual",NA,"OK",NA
"rw","Spain","Expenditures","2013-01-27",16464,NA,NA,NA,NA,NA,NA,NA,2013-01-01,16464,"Total expenditures accrual",NA,"OK",NA
"rw","Spain","Expenditures","2013-02-01",16464,NA,NA,NA,NA,NA,NA,NA,2013-02-01,16464,"Total expenditures accrual",NA,"OK",NA
"rw","Spain","Expenditures","2013-02-05",16464,NA,NA,NA,NA,NA,NA,NA,2013-02-01,16464,"Total expenditures accrual",NA,"OK",NA
"rw","Spain","Expenditures","2013-02-15",16464,NA,NA,NA,NA,NA,NA,NA,2013-02-01,16464,"Total expenditures accrual",NA,"OK",NA
"rw","Spain","Expenditures","2013-02-27",16464,NA,NA,NA,NA,NA,NA,NA,2013-02-01,16464,"Total expenditures accrual",NA,"OK",NA
"rw","Spain","Expenditures","2013-03-01",16464,NA,NA,NA,NA,NA,NA,NA,2013-03-01,16464,"Total expenditures accrual",NA,"OK",NA
"rw","Spain","Expenditures","2013-03-05",16464,NA,NA,NA,NA,NA,NA,NA,2013-03-01,16464,"Total expenditures accrual",NA,"OK",NA
"rw","Spain","Expenditures","2013-03-15",-21294,NA,NA,NA,NA,NA,NA,NA,2013-03-01,-21294,"Total expenditures accrual",NA,"OK",NA
"rw","Spain","Expenditures","2013-03-27",-21294,NA,NA,NA,NA,NA,NA,NA,2013-03-01,-21294,"Total expenditures accrual",NA,"OK",NA
"rw","Spain","Expenditures","2013-04-01",-21294,NA,NA,NA,NA,NA,NA,NA,2013-04-01,-21294,"Total expenditures accrual",NA,"OK",NA
"rw","Spain","Expenditures","2013-04-15",-21294,NA,NA,NA,NA,NA,NA,NA,2013-04-01,-21294,"Total expenditures accrual",NA,"OK",NA
"rw","Spain","Expenditures","2013-04-27",-21294,NA,NA,NA,NA,NA,NA,NA,2013-04-01,-21294,"Total expenditures accrual",NA,"OK",NA
"rw","Spain","Expenditures","2013-05-01",-21294,NA,NA,NA,NA,NA,NA,NA,2013-05-01,-21294,"Total expenditures accrual",NA,"OK",NA
"rw","Spain","Expenditures","2013-05-03",-21294,NA,NA,NA,NA,NA,NA,NA,2013-05-01,-21294,"Total expenditures accrual",NA,"OK",NA
"rw","Spain","Expenditures","2013-05-15",-21294,NA,NA,NA,NA,NA,NA,NA,2013-05-01,-21294,"Total expenditures accrual",NA,"OK",NA
"rw","Spain","Expenditures","2013-05-27",-21294,NA,NA,NA,NA,NA,NA,NA,2013-05-01,-21294,"Total expenditures accrual",NA,"OK",NA
"rw","Spain","Expenditures","2013-06-01",-21294,NA,NA,NA,NA,NA,NA,NA,2013-06-01,-21294,"Total expenditures accrual",NA,"OK",NA
"rw","Spain","Expenditures","2013-06-06",-21294,NA,NA,NA,NA,NA,NA,NA,2013-06-01,-21294,"Total expenditures accrual",NA,"OK",NA
"rw","Spain","Expenditures","2013-06-15",-58.9999999999999,NA,NA,NA,NA,NA,NA,NA,2013-06-01,-59,"Total expenditures accrual",NA,"OK",NA
"rw","Spain","Expenditures","2013-06-27",-58.9999999999999,NA,NA,NA,NA,NA,NA,NA,2013-06-01,-59,"Total expenditures accrual",NA,"OK",NA
