"model","country","block","publication_date","nowcast_value","nb_factors","lambda","gamma","cv_mse","df","n_selected","n_selected_groups","date_new","last_obs_y","target_name","selected_columns","status","error"
"rw","Spain","Revenues","2013-01-01",576,NA,NA,NA,NA,NA,NA,NA,2013-01-01,576,"Total revenues accrual",NA,"OK",NA
"rw","Spain","Revenues","2013-01-02",576,NA,NA,NA,NA,NA,NA,NA,2013-01-01,576,"Total revenues accrual",NA,"OK",NA
"rw","Spain","Revenues","2013-01-05",576,NA,NA,NA,NA,NA,NA,NA,2013-01-01,576,"Total revenues accrual",NA,"OK",NA
"rw","Spain","Revenues","2013-01-15",576,NA,NA,NA,NA,NA,NA,NA,2013-01-01,576,"Total revenues accrual",NA,"OK",NA
"rw","Spain","Revenues","2013-01-27",576,NA,NA,NA,NA,NA,NA,NA,2013-01-01,576,"Total revenues accrual",NA,"OK",NA
"rw","Spain","Revenues","2013-01-31",576,NA,NA,NA,NA,NA,NA,NA,2013-01-01,576,"Total revenues accrual",NA,"OK",NA
"rw","Spain","Revenues","2013-02-01",576,NA,NA,NA,NA,NA,NA,NA,2013-02-01,576,"Total revenues accrual",NA,"OK",NA
"rw","Spain","Revenues","2013-02-05",576,NA,NA,NA,NA,NA,NA,NA,2013-02-01,576,"Total revenues accrual",NA,"OK",NA
"rw","Spain","Revenues","2013-02-15",576,NA,NA,NA,NA,NA,NA,NA,2013-02-01,576,"Total revenues accrual",NA,"OK",NA
"rw","Spain","Revenues","2013-02-27",576,NA,NA,NA,NA,NA,NA,NA,2013-02-01,576,"Total revenues accrual",NA,"OK",NA
"rw","Spain","Revenues","2013-02-28",576,NA,NA,NA,NA,NA,NA,NA,2013-02-01,576,"Total revenues accrual",NA,"OK",NA
"rw","Spain","Revenues","2013-03-01",576,NA,NA,NA,NA,NA,NA,NA,2013-03-01,576,"Total revenues accrual",NA,"OK",NA
"rw","Spain","Revenues","2013-03-05",576,NA,NA,NA,NA,NA,NA,NA,2013-03-01,576,"Total revenues accrual",NA,"OK",NA
"rw","Spain","Revenues","2013-03-15",1180,NA,NA,NA,NA,NA,NA,NA,2013-03-01,1180,"Total revenues accrual",NA,"OK",NA
"rw","Spain","Revenues","2013-03-27",1180,NA,NA,NA,NA,NA,NA,NA,2013-03-01,1180,"Total revenues accrual",NA,"OK",NA
"rw","Spain","Revenues","2013-03-28",1180,NA,NA,NA,NA,NA,NA,NA,2013-03-01,1180,"Total revenues accrual",NA,"OK",NA
"rw","Spain","Revenues","2013-04-01",1180,NA,NA,NA,NA,NA,NA,NA,2013-04-01,1180,"Total revenues accrual",NA,"OK",NA
"rw","Spain","Revenues","2013-04-05",1180,NA,NA,NA,NA,NA,NA,NA,2013-04-01,1180,"Total revenues accrual",NA,"OK",NA
"rw","Spain","Revenues","2013-04-15",1180,NA,NA,NA,NA,NA,NA,NA,2013-04-01,1180,"Total revenues accrual",NA,"OK",NA
"rw","Spain","Revenues","2013-04-25",1180,NA,NA,NA,NA,NA,NA,NA,2013-04-01,1180,"Total revenues accrual",NA,"OK",NA
"rw","Spain","Revenues","2013-04-27",1180,NA,NA,NA,NA,NA,NA,NA,2013-04-01,1180,"Total revenues accrual",NA,"OK",NA
"rw","Spain","Revenues","2013-05-01",1180,NA,NA,NA,NA,NA,NA,NA,2013-05-01,1180,"Total revenues accrual",NA,"OK",NA
"rw","Spain","Revenues","2013-05-03",1180,NA,NA,NA,NA,NA,NA,NA,2013-05-01,1180,"Total revenues accrual",NA,"OK",NA
"rw","Spain","Revenues","2013-05-05",1180,NA,NA,NA,NA,NA,NA,NA,2013-05-01,1180,"Total revenues accrual",NA,"OK",NA
"rw","Spain","Revenues","2013-05-15",1180,NA,NA,NA,NA,NA,NA,NA,2013-05-01,1180,"Total revenues accrual",NA,"OK",NA
"rw","Spain","Revenues","2013-05-27",1180,NA,NA,NA,NA,NA,NA,NA,2013-05-01,1180,"Total revenues accrual",NA,"OK",NA
"rw","Spain","Revenues","2013-05-30",1180,NA,NA,NA,NA,NA,NA,NA,2013-05-01,1180,"Total revenues accrual",NA,"OK",NA
"rw","Spain","Revenues","2013-06-01",1180,NA,NA,NA,NA,NA,NA,NA,2013-06-01,1180,"Total revenues accrual",NA,"OK",NA
"rw","Spain","Revenues","2013-06-05",1180,NA,NA,NA,NA,NA,NA,NA,2013-06-01,1180,"Total revenues accrual",NA,"OK",NA
"rw","Spain","Revenues","2013-06-06",1180,NA,NA,NA,NA,NA,NA,NA,2013-06-01,1180,"Total revenues accrual",NA,"OK",NA
"rw","Spain","Revenues","2013-06-15",-998,NA,NA,NA,NA,NA,NA,NA,2013-06-01,-998,"Total revenues accrual",NA,"OK",NA
"rw","Spain","Revenues","2013-06-27",-998,NA,NA,NA,NA,NA,NA,NA,2013-06-01,-998,"Total revenues accrual",NA,"OK",NA
"rw","Spain","Revenues","2013-07-01",-998,NA,NA,NA,NA,NA,NA,NA,2013-07-01,-998,"Total revenues accrual",NA,"OK",NA
"rw","Spain","Revenues","2013-07-05",-998,NA,NA,NA,NA,NA,NA,NA,2013-07-01,-998,"Total revenues accrual",NA,"OK",NA
"rw","Spain","Revenues","2013-07-15",-998,NA,NA,NA,NA,NA,NA,NA,2013-07-01,-998,"Total revenues accrual",NA,"OK",NA
"rw","Spain","Revenues","2013-07-25",-998,NA,NA,NA,NA,NA,NA,NA,2013-07-01,-998,"Total revenues accrual",NA,"OK",NA
"rw","Spain","Revenues","2013-07-27",-998,NA,NA,NA,NA,NA,NA,NA,2013-07-01,-998,"Total revenues accrual",NA,"OK",NA
"rw","Spain","Revenues","2013-08-01",-998,NA,NA,NA,NA,NA,NA,NA,2013-08-01,-998,"Total revenues accrual",NA,"OK",NA
"rw","Spain","Revenues","2013-08-04",-998,NA,NA,NA,NA,NA,NA,NA,2013-08-01,-998,"Total revenues accrual",NA,"OK",NA
"rw","Spain","Revenues","2013-08-05",-998,NA,NA,NA,NA,NA,NA,NA,2013-08-01,-998,"Total revenues accrual",NA,"OK",NA
"rw","Spain","Revenues","2013-08-15",-998,NA,NA,NA,NA,NA,NA,NA,2013-08-01,-998,"Total revenues accrual",NA,"OK",NA
"rw","Spain","Revenues","2013-08-27",-998,NA,NA,NA,NA,NA,NA,NA,2013-08-01,-998,"Total revenues accrual",NA,"OK",NA
"rw","Spain","Revenues","2013-08-29",-998,NA,NA,NA,NA,NA,NA,NA,2013-08-01,-998,"Total revenues accrual",NA,"OK",NA
"rw","Spain","Revenues","2013-09-01",-998,NA,NA,NA,NA,NA,NA,NA,2013-09-01,-998,"Total revenues accrual",NA,"OK",NA
"rw","Spain","Revenues","2013-09-05",-998,NA,NA,NA,NA,NA,NA,NA,2013-09-01,-998,"Total revenues accrual",NA,"OK",NA
"rw","Spain","Revenues","2013-09-07",-998,NA,NA,NA,NA,NA,NA,NA,2013-09-01,-998,"Total revenues accrual",NA,"OK",NA
"rw","Spain","Revenues","2013-09-15",601,NA,NA,NA,NA,NA,NA,NA,2013-09-01,601,"Total revenues accrual",NA,"OK",NA
"rw","Spain","Revenues","2013-09-26",601,NA,NA,NA,NA,NA,NA,NA,2013-09-01,601,"Total revenues accrual",NA,"OK",NA
"rw","Spain","Revenues","2013-09-27",601,NA,NA,NA,NA,NA,NA,NA,2013-09-01,601,"Total revenues accrual",NA,"OK",NA
"rw","Spain","Revenues","2013-10-01",601,NA,NA,NA,NA,NA,NA,NA,2013-10-01,601,"Total revenues accrual",NA,"OK",NA
"rw","Spain","Revenues","2013-10-02",601,NA,NA,NA,NA,NA,NA,NA,2013-10-01,601,"Total revenues accrual",NA,"OK",NA
"rw","Spain","Revenues","2013-10-05",601,NA,NA,NA,NA,NA,NA,NA,2013-10-01,601,"Total revenues accrual",NA,"OK",NA
"rw","Spain","Revenues","2013-10-15",601,NA,NA,NA,NA,NA,NA,NA,2013-10-01,601,"Total revenues accrual",NA,"OK",NA
"rw","Spain","Revenues","2013-10-27",601,NA,NA,NA,NA,NA,NA,NA,2013-10-01,601,"Total revenues accrual",NA,"OK",NA
"rw","Spain","Revenues","2013-10-31",601,NA,NA,NA,NA,NA,NA,NA,2013-10-01,601,"Total revenues accrual",NA,"OK",NA
