"model","country","block","publication_date","nowcast_value","nb_factors","lambda","gamma","cv_mse","df","n_selected","n_selected_groups","date_new","last_obs_y","target_name","selected_columns","status","error"
"sg_lasso","Italy","Expenditures","2013-01-01",277.589698061408,NA,0.24901266426495,0.5,1.75868464352108,1,1,1,2013-01-01,842.467064675002,"Total expenditures accrual","Y_lag1","OK",NA
"sg_lasso","Italy","Expenditures","2013-01-02",277.589698061408,NA,0.24901266426495,0.5,1.75868464352108,1,1,1,2013-01-01,842.467064675002,"Total expenditures accrual","Y_lag1","OK",NA
"sg_lasso","Italy","Expenditures","2013-01-15",277.589698061408,NA,0.24901266426495,0.5,1.75868464352108,1,1,1,2013-01-01,842.467064675002,"Total expenditures accrual","Y_lag1","OK",NA
"sg_lasso","Italy","Expenditures","2013-01-27",277.589698061408,NA,0.24901266426495,0.5,1.75868464352108,1,1,1,2013-01-01,842.467064675002,"Total expenditures accrual","Y_lag1","OK",NA
"sg_lasso","Italy","Expenditures","2013-02-01",277.589698061408,NA,0.24901266426495,0.5,1.75868464352108,1,1,1,2013-02-01,842.467064675002,"Total expenditures accrual","Y_lag1","OK",NA
"sg_lasso","Italy","Expenditures","2013-02-05",277.589698061408,NA,0.24901266426495,0.5,1.75868464352108,1,1,1,2013-02-01,842.467064675002,"Total expenditures accrual","Y_lag1","OK",NA
"sg_lasso","Italy","Expenditures","2013-02-15",277.589698061408,NA,0.24901266426495,0.5,1.75868464352108,1,1,1,2013-02-01,842.467064675002,"Total expenditures accrual","Y_lag1","OK",NA
"sg_lasso","Italy","Expenditures","2013-02-27",277.589698061408,NA,0.24901266426495,0.5,1.75868464352108,1,1,1,2013-02-01,842.467064675002,"Total expenditures accrual","Y_lag1","OK",NA
"sg_lasso","Italy","Expenditures","2013-03-01",277.589698061408,NA,0.24901266426495,0.5,1.75868464352108,1,1,1,2013-03-01,842.467064675002,"Total expenditures accrual","Y_lag1","OK",NA
"sg_lasso","Italy","Expenditures","2013-03-05",277.589698061408,NA,0.24901266426495,0.5,1.75868464352108,1,1,1,2013-03-01,842.467064675002,"Total expenditures accrual","Y_lag1","OK",NA
"sg_lasso","Italy","Expenditures","2013-03-15",482.619631392724,NA,0.242085759129649,0.5,2.08472999486676,2,2,2,2013-03-01,385.42545232398,"Total expenditures accrual","Y_lag1; Energy prices_leg0","OK",NA
"sg_lasso","Italy","Expenditures","2013-03-27",481.320889155851,NA,0.240935610956868,0.5,2.37904450675538,2,2,2,2013-03-01,385.42545232398,"Total expenditures accrual","Y_lag1; Energy prices_leg0","OK",NA
"sg_lasso","Italy","Expenditures","2013-04-01",479.312818179938,NA,0.240935610956868,0.5,2.37904450675538,2,2,2,2013-04-01,385.42545232398,"Total expenditures accrual","Y_lag1; Energy prices_leg0","OK",NA
"sg_lasso","Italy","Expenditures","2013-04-15",479.312818179938,NA,0.240935610956868,0.5,2.37904450675538,2,2,2,2013-04-01,385.42545232398,"Total expenditures accrual","Y_lag1; Energy prices_leg0","OK",NA
"sg_lasso","Italy","Expenditures","2013-04-27",470.723029259943,NA,0.240935610956868,0.5,2.37904450675538,2,2,2,2013-04-01,385.42545232398,"Total expenditures accrual","Y_lag1; Energy prices_leg0","OK",NA
"sg_lasso","Italy","Expenditures","2013-05-01",458.109444971243,NA,0.240935610956868,0.5,2.37904450675538,2,2,2,2013-05-01,385.42545232398,"Total expenditures accrual","Y_lag1; Energy prices_leg0","OK",NA
