"model","country","block","publication_date","nowcast_value","nb_factors","lambda","gamma","cv_mse","df","n_selected","n_selected_groups","date_new","last_obs_y","target_name","selected_columns","status","error"
"sg_lasso","Spain","Expenditures","2013-01-01",4837.7127004032,NA,0.0616964455809875,0.5,0.0410624994454178,5,5,5,2013-01-01,16464,"Total expenditures accrual","Y_lag1; 10y yield_leg0; HICPX_leg0; Debt-to-GDP ratio_leg0; Cash expenditures_leg0","OK",NA
"sg_lasso","Spain","Expenditures","2013-01-02",4837.7127004032,NA,0.0616964455809875,0.5,0.0410624994454178,5,5,5,2013-01-01,16464,"Total expenditures accrual","Y_lag1; 10y yield_leg0; HICPX_leg0; Debt-to-GDP ratio_leg0; Cash expenditures_leg0","OK",NA
"sg_lasso","Spain","Expenditures","2013-01-15",8787.37793500446,NA,0.0616964455809875,0.5,0.0410624994454178,5,5,5,2013-01-01,16464,"Total expenditures accrual","Y_lag1; 10y yield_leg0; HICPX_leg0; Debt-to-GDP ratio_leg0; Cash expenditures_leg0","OK",NA
"sg_lasso","Spain","Expenditures","2013-01-27",8775.92030547638,NA,0.0616964455809875,0.5,0.0410624994454178,5,5,5,2013-01-01,16464,"Total expenditures accrual","Y_lag1; 10y yield_leg0; HICPX_leg0; Debt-to-GDP ratio_leg0; Cash expenditures_leg0","OK",NA
"sg_lasso","Spain","Expenditures","2013-02-01",11882.9231829863,NA,0.0616964455809875,0.5,0.0410624994454178,5,5,5,2013-02-01,16464,"Total expenditures accrual","Y_lag1; 10y yield_leg0; HICPX_leg0; Debt-to-GDP ratio_leg0; Cash expenditures_leg0","OK",NA
"sg_lasso","Spain","Expenditures","2013-02-05",11882.9231829863,NA,0.0616964455809875,0.5,0.0410624994454178,5,5,5,2013-02-01,16464,"Total expenditures accrual","Y_lag1; 10y yield_leg0; HICPX_leg0; Debt-to-GDP ratio_leg0; Cash expenditures_leg0","OK",NA
"sg_lasso","Spain","Expenditures","2013-02-15",5878.02207739529,NA,0.0616964455809875,0.5,0.0410624994454178,5,5,5,2013-02-01,16464,"Total expenditures accrual","Y_lag1; 10y yield_leg0; HICPX_leg0; Debt-to-GDP ratio_leg0; Cash expenditures_leg0","OK",NA
"sg_lasso","Spain","Expenditures","2013-02-27",5889.47970692336,NA,0.0616964455809875,0.5,0.0410624994454178,5,5,5,2013-02-01,16464,"Total expenditures accrual","Y_lag1; 10y yield_leg0; HICPX_leg0; Debt-to-GDP ratio_leg0; Cash expenditures_leg0","OK",NA
"sg_lasso","Spain","Expenditures","2013-03-01",3867.65771449983,NA,0.0616964455809875,0.5,0.0410624994454178,5,5,5,2013-03-01,16464,"Total expenditures accrual","Y_lag1; 10y yield_leg0; HICPX_leg0; Debt-to-GDP ratio_leg0; Cash expenditures_leg0","OK",NA
"sg_lasso","Spain","Expenditures","2013-03-05",3867.65771449983,NA,0.0616964455809875,0.5,0.0410624994454178,5,5,5,2013-03-01,16464,"Total expenditures accrual","Y_lag1; 10y yield_leg0; HICPX_leg0; Debt-to-GDP ratio_leg0; Cash expenditures_leg0","OK",NA
"sg_lasso","Spain","Expenditures","2013-03-15",50188.9016412126,NA,0.0940868403483151,0.5,0.0437567785107674,5,5,5,2013-03-01,-21294,"Total expenditures accrual","Y_lag1; 10y yield_leg0; Debt-to-GDP ratio_leg0; Payroll Mass_leg0; Energy prices_leg0","OK",NA
"sg_lasso","Spain","Expenditures","2013-03-27",50713.667708185,NA,0.0940868403483151,0.5,0.0437567785107674,5,5,5,2013-03-01,-21294,"Total expenditures accrual","Y_lag1; 10y yield_leg0; Debt-to-GDP ratio_leg0; Payroll Mass_leg0; Energy prices_leg0","OK",NA
"sg_lasso","Spain","Expenditures","2013-04-01",47927.3170999952,NA,0.0940868403483151,0.5,0.0437567785107674,5,5,5,2013-04-01,-21294,"Total expenditures accrual","Y_lag1; 10y yield_leg0; Debt-to-GDP ratio_leg0; Payroll Mass_leg0; Energy prices_leg0","OK",NA
"sg_lasso","Spain","Expenditures","2013-04-15",47927.3170999952,NA,0.0940868403483151,0.5,0.0437567785107674,5,5,5,2013-04-01,-21294,"Total expenditures accrual","Y_lag1; 10y yield_leg0; Debt-to-GDP ratio_leg0; Payroll Mass_leg0; Energy prices_leg0","OK",NA
"sg_lasso","Spain","Expenditures","2013-04-27",47966.3400233872,NA,0.0940868403483151,0.5,0.0437567785107674,5,5,5,2013-04-01,-21294,"Total expenditures accrual","Y_lag1; 10y yield_leg0; Debt-to-GDP ratio_leg0; Payroll Mass_leg0; Energy prices_leg0","OK",NA
"sg_lasso","Spain","Expenditures","2013-05-01",48354.3449294516,NA,0.0940868403483151,0.5,0.0437567785107674,5,5,5,2013-05-01,-21294,"Total expenditures accrual","Y_lag1; 10y yield_leg0; Debt-to-GDP ratio_leg0; Payroll Mass_leg0; Energy prices_leg0","OK",NA
"sg_lasso","Spain","Expenditures","2013-05-03",48354.3449294516,NA,0.0940868403483151,0.5,0.0437567785107674,5,5,5,2013-05-01,-21294,"Total expenditures accrual","Y_lag1; 10y yield_leg0; Debt-to-GDP ratio_leg0; Payroll Mass_leg0; Energy prices_leg0","OK",NA
"sg_lasso","Spain","Expenditures","2013-05-15",46299.0036902784,NA,0.0940868403483151,0.5,0.0437567785107674,5,5,5,2013-05-01,-21294,"Total expenditures accrual","Y_lag1; 10y yield_leg0; Debt-to-GDP ratio_leg0; Payroll Mass_leg0; Energy prices_leg0","OK",NA
"sg_lasso","Spain","Expenditures","2013-05-27",46269.7773166919,NA,0.0940868403483151,0.5,0.0437567785107674,5,5,5,2013-05-01,-21294,"Total expenditures accrual","Y_lag1; 10y yield_leg0; Debt-to-GDP ratio_leg0; Payroll Mass_leg0; Energy prices_leg0","OK",NA
"sg_lasso","Spain","Expenditures","2013-06-01",43088.308491654,NA,0.0940868403483151,0.5,0.0437567785107674,5,5,5,2013-06-01,-21294,"Total expenditures accrual","Y_lag1; 10y yield_leg0; Debt-to-GDP ratio_leg0; Payroll Mass_leg0; Energy prices_leg0","OK",NA
"sg_lasso","Spain","Expenditures","2013-06-06",43088.308491654,NA,0.0940868403483151,0.5,0.0437567785107674,5,5,5,2013-06-01,-21294,"Total expenditures accrual","Y_lag1; 10y yield_leg0; Debt-to-GDP ratio_leg0; Payroll Mass_leg0; Energy prices_leg0","OK",NA
"sg_lasso","Spain","Expenditures","2013-06-15",-657.356282430008,NA,0.503232590589009,0.5,0.00584265989119856,1,1,1,2013-06-01,-59,"Total expenditures accrual","Y_lag1","OK",NA
"sg_lasso","Spain","Expenditures","2013-06-27",-657.356282430008,NA,0.503232590589009,0.5,0.00584265989119856,1,1,1,2013-06-01,-59,"Total expenditures accrual","Y_lag1","OK",NA
"sg_lasso","Spain","Expenditures","2013-07-01",-657.356282430008,NA,0.503232590589009,0.5,0.00584265989119856,1,1,1,2013-07-01,-59,"Total expenditures accrual","Y_lag1","OK",NA
"sg_lasso","Spain","Expenditures","2013-07-15",-657.356282430008,NA,0.503232590589009,0.5,0.00584265989119856,1,1,1,2013-07-01,-59,"Total expenditures accrual","Y_lag1","OK",NA
"sg_lasso","Spain","Expenditures","2013-07-27",-657.356282430008,NA,0.503232590589009,0.5,0.00584265989119856,1,1,1,2013-07-01,-59,"Total expenditures accrual","Y_lag1","OK",NA
"sg_lasso","Spain","Expenditures","2013-08-01",-657.356282430008,NA,0.503232590589009,0.5,0.00584265989119856,1,1,1,2013-08-01,-59,"Total expenditures accrual","Y_lag1","OK",NA
"sg_lasso","Spain","Expenditures","2013-08-04",-657.356282430008,NA,0.503232590589009,0.5,0.00584265989119856,1,1,1,2013-08-01,-59,"Total expenditures accrual","Y_lag1","OK",NA
"sg_lasso","Spain","Expenditures","2013-08-15",-657.356282430008,NA,0.503232590589009,0.5,0.00584265989119856,1,1,1,2013-08-01,-59,"Total expenditures accrual","Y_lag1","OK",NA
"sg_lasso","Spain","Expenditures","2013-08-27",-657.356282430008,NA,0.503232590589009,0.5,0.00584265989119856,1,1,1,2013-08-01,-59,"Total expenditures accrual","Y_lag1","OK",NA
"sg_lasso","Spain","Expenditures","2013-09-01",-657.356282430008,NA,0.503232590589009,0.5,0.00584265989119856,1,1,1,2013-09-01,-59,"Total expenditures accrual","Y_lag1","OK",NA
"sg_lasso","Spain","Expenditures","2013-09-07",-657.356282430008,NA,0.503232590589009,0.5,0.00584265989119856,1,1,1,2013-09-01,-59,"Total expenditures accrual","Y_lag1","OK",NA
"sg_lasso","Spain","Expenditures","2013-09-15",-903.316206601578,NA,0.48277256762257,0.5,1.08862847769463,1,1,1,2013-09-01,636,"Total expenditures accrual","Y_lag1","OK",NA
