"publication_date","target_date","target_pub_date","nowcast_value","actual","Model","Country","Block","error","abs_error","sq_error"
2013-09-15,2013-10-01,2013-12-15,5338.39104566357,-916,"factor_midas","Germany","Revenues",-6254.39104566357,6254.39104566357,39117407.3520767
2013-09-26,2013-10-01,2013-12-15,5447.59673391757,-916,"factor_midas","Germany","Revenues",-6363.59673391757,6363.59673391757,40495363.3919264
2013-09-27,2013-10-01,2013-12-15,5744.31570022844,-916,"factor_midas","Germany","Revenues",-6660.31570022844,6660.31570022844,44359805.2267095
2013-10-01,2013-10-01,2013-12-15,5894.24587560106,-916,"factor_midas","Germany","Revenues",-6810.24587560106,6810.24587560106,46379448.8861413
2013-10-02,2013-10-01,2013-12-15,5794.71980498984,-916,"factor_midas","Germany","Revenues",-6710.71980498984,6710.71980498984,45033760.3010829
2013-10-05,2013-10-01,2013-12-15,6224.22705845457,-916,"factor_midas","Germany","Revenues",-7140.22705845457,7140.22705845457,50982842.4462868
2013-10-15,2013-10-01,2013-12-15,5021.68233584841,-916,"factor_midas","Germany","Revenues",-5937.68233584841,5937.68233584841,35256071.5214462
2013-10-27,2013-10-01,2013-12-15,4060.61203908782,-916,"factor_midas","Germany","Revenues",-4976.61203908782,4976.61203908782,24766667.3875938
2013-10-31,2013-10-01,2013-12-15,4089.8858446863,-916,"factor_midas","Germany","Revenues",-5005.8858446863,5005.8858446863,25058893.0900307
2013-11-01,2013-10-01,2013-12-15,3264.19423825172,-916,"factor_midas","Germany","Revenues",-4180.19423825172,4180.19423825172,17474023.8695129
2013-11-05,2013-10-01,2013-12-15,3668.06741081399,-916,"factor_midas","Germany","Revenues",-4584.06741081399,4584.06741081399,21013674.0268869
2013-11-15,2013-10-01,2013-12-15,5162.46172598789,-916,"factor_midas","Germany","Revenues",-6078.46172598789,6078.46172598789,36947696.9542996
2013-11-27,2013-10-01,2013-12-15,7104.77844609074,-916,"factor_midas","Germany","Revenues",-8020.77844609074,8020.77844609074,64332886.8812738
2013-11-28,2013-10-01,2013-12-15,7312.86674545647,-916,"factor_midas","Germany","Revenues",-8228.86674545647,8228.86674545647,67714247.9144793
2013-12-01,2013-10-01,2013-12-15,6542.4277858904,-916,"factor_midas","Germany","Revenues",-7458.4277858904,7458.4277858904,55628145.037342
2013-12-05,2013-10-01,2013-12-15,6896.97406006921,-916,"factor_midas","Germany","Revenues",-7812.97406006921,7812.97406006921,61042563.6633143
2013-12-07,2013-10-01,2013-12-15,6575.39234191287,-916,"factor_midas","Germany","Revenues",-7491.39234191287,7491.39234191287,56120959.2204707
2013-12-15,2014-01-01,2014-03-15,3011.40549637419,6157,"factor_midas","Germany","Revenues",3145.59450362581,3145.59450362581,9894764.7812409
2013-12-26,2014-01-01,2014-03-15,3016.27461457406,6157,"factor_midas","Germany","Revenues",3140.72538542594,3140.72538542594,9864155.94665894
2013-12-27,2014-01-01,2014-03-15,2320.64453239047,6157,"factor_midas","Germany","Revenues",3836.35546760953,3836.35546760953,14717623.2738575
2014-01-01,2014-01-01,2014-03-15,3949.52515925302,6157,"factor_midas","Germany","Revenues",2207.47484074698,2207.47484074698,4872945.17253092
2014-01-03,2014-01-01,2014-03-15,4117.10685399739,6157,"factor_midas","Germany","Revenues",2039.89314600261,2039.89314600261,4161164.04710844
2014-01-05,2014-01-01,2014-03-15,4576.80956997965,6157,"factor_midas","Germany","Revenues",1580.19043002035,1580.19043002035,2497001.79512791
2014-01-15,2014-01-01,2014-03-15,5010.89446727427,6157,"factor_midas","Germany","Revenues",1146.10553272573,1146.10553272573,1313557.89214452
2014-01-27,2014-01-01,2014-03-15,5641.4640581528,6157,"factor_midas","Germany","Revenues",515.5359418472,515.5359418472,265777.307336279
2014-01-30,2014-01-01,2014-03-15,5784.64248763396,6157,"factor_midas","Germany","Revenues",372.357512366036,372.357512366036,138650.117015422
2014-02-01,2014-01-01,2014-03-15,4854.6449756797,6157,"factor_midas","Germany","Revenues",1302.3550243203,1302.3550243203,1696128.60937234
2014-02-05,2014-01-01,2014-03-15,4139.1173681332,6157,"factor_midas","Germany","Revenues",2017.8826318668,2017.8826318668,4071850.31598969
2014-02-06,2014-01-01,2014-03-15,4178.86015396432,6157,"factor_midas","Germany","Revenues",1978.13984603568,1978.13984603568,3913037.25047406
2014-02-15,2014-01-01,2014-03-15,5447.16025436848,6157,"factor_midas","Germany","Revenues",709.839745631517,709.839745631517,503872.464478217
2014-02-27,2014-01-01,2014-03-15,4798.84462364412,6157,"factor_midas","Germany","Revenues",1358.15537635588,1358.15537635588,1844586.02632438
2014-03-01,2014-01-01,2014-03-15,5652.52466491494,6157,"factor_midas","Germany","Revenues",504.475335085059,504.475335085059,254495.363709182
2014-03-05,2014-01-01,2014-03-15,6976.55786022027,6157,"factor_midas","Germany","Revenues",-819.557860220267,819.557860220267,671675.086248822
2014-03-06,2014-01-01,2014-03-15,7255.67791470661,6157,"factor_midas","Germany","Revenues",-1098.67791470661,1098.67791470661,1207093.16026406
2014-03-15,2014-04-01,2014-06-15,6507.50227543619,2966,"factor_midas","Germany","Revenues",-3541.50227543619,3541.50227543619,12542238.3669197
2014-03-27,2014-04-01,2014-06-15,1939.08430353786,2966,"factor_midas","Germany","Revenues",1026.91569646214,1026.91569646214,1054555.84764032
2014-04-01,2014-04-01,2014-06-15,8004.53599416625,2966,"factor_midas","Germany","Revenues",-5038.53599416625,5038.53599416625,25386844.9645088
2014-04-02,2014-04-01,2014-06-15,1712.47325116889,2966,"factor_midas","Germany","Revenues",1253.52674883111,1253.52674883111,1571329.31003509
2014-04-05,2014-04-01,2014-06-15,1961.32418343546,2966,"factor_midas","Germany","Revenues",1004.67581656454,1004.67581656454,1009373.49638962
2014-04-15,2014-04-01,2014-06-15,2426.13037142393,2966,"factor_midas","Germany","Revenues",539.869628576073,539.869628576073,291459.215858866
2014-04-24,2014-04-01,2014-06-15,2440.69501920628,2966,"factor_midas","Germany","Revenues",525.304980793722,525.304980793722,275945.322846693
2014-04-27,2014-04-01,2014-06-15,2449.53620330098,2966,"factor_midas","Germany","Revenues",516.46379669902,516.46379669902,266734.853300767
2014-05-01,2014-04-01,2014-06-15,2036.62780577646,2966,"factor_midas","Germany","Revenues",929.372194223543,929.372194223543,863732.675395884
2014-05-04,2014-04-01,2014-06-15,1553.37703121543,2966,"factor_midas","Germany","Revenues",1412.62296878457,1412.62296878457,1995503.65193773
2014-05-05,2014-04-01,2014-06-15,1569.27924779863,2966,"factor_midas","Germany","Revenues",1396.72075220137,1396.72075220137,1950828.85962996
2014-05-15,2014-04-01,2014-06-15,1433.97261210459,2966,"factor_midas","Germany","Revenues",1532.02738789541,1532.02738789541,2347107.91726163
2014-05-27,2014-04-01,2014-06-15,1169.06906244039,2966,"factor_midas","Germany","Revenues",1796.93093755961,1796.93093755961,3228960.79435885
2014-05-29,2014-04-01,2014-06-15,1143.12481592655,2966,"factor_midas","Germany","Revenues",1822.87518407345,1822.87518407345,3322873.93671083
2014-06-01,2014-04-01,2014-06-15,11111.1021004054,2966,"factor_midas","Germany","Revenues",-8145.10210040537,8145.10210040537,66342688.226028
2014-06-05,2014-04-01,2014-06-15,12113.8545472131,2966,"factor_midas","Germany","Revenues",-9147.85454721313,9147.85454721313,83683242.8169679
2014-06-07,2014-04-01,2014-06-15,10687.8608886328,2966,"factor_midas","Germany","Revenues",-7721.86088863283,7721.86088863283,59627135.5833974
2014-06-15,2014-07-01,2014-09-15,5524.97284413065,3466,"factor_midas","Germany","Revenues",-2058.97284413065,2058.97284413065,4239369.17286747
2014-06-26,2014-07-01,2014-09-15,5406.22980331572,3466,"factor_midas","Germany","Revenues",-1940.22980331572,1940.22980331572,3764491.68967454
2014-06-27,2014-07-01,2014-09-15,2469.38141122845,3466,"factor_midas","Germany","Revenues",996.618588771552,996.618588771552,993248.611485
2014-07-01,2014-07-01,2014-09-15,2472.70348140003,3466,"factor_midas","Germany","Revenues",993.296518599966,993.296518599966,986637.973862814
2014-07-02,2014-07-01,2014-09-15,2264.8464085495,3466,"factor_midas","Germany","Revenues",1201.1535914505,1201.1535914505,1442769.95025443
2014-07-05,2014-07-01,2014-09-15,2396.08001170255,3466,"factor_midas","Germany","Revenues",1069.91998829745,1069.91998829745,1144728.78135842
2014-07-15,2014-07-01,2014-09-15,2513.34278241196,3466,"factor_midas","Germany","Revenues",952.657217588041,952.657217588041,907555.774222587
2014-07-27,2014-07-01,2014-09-15,2462.46796598482,3466,"factor_midas","Germany","Revenues",1003.53203401518,1003.53203401518,1007076.54329465
