Model;Country;Block;Sample;N;RMSE;MAE;R2;;Étiquettes de lignes;Moyenne de RMSE;Moyenne de MAE;Moyenne de R2
factor_midas;Germany;Revenues;all_vintages;802;9683,6206;5863,1937;-0,6221;;ar1;6825,474038;4010,44115;-0,344425
factor_midas;Germany;Expenditures;all_vintages;571;12766,9923;8477,3366;-1,372;;France;7770,13225;3955,37845;-0,69545
factor_midas;France;Revenues;all_vintages;773;10452,6204;5209,3266;-0,9424;;Germany;8202,16375;5364,2044;-0,09425
factor_midas;France;Expenditures;all_vintages;566;5062,2527;3221,5367;-0,1874;;Italy;6191,9062;3626,53255;-0,25385
factor_midas;Italy;Revenues;all_vintages;833;6628,6168;3769,9315;-1,4419;;Spain;5137,69395;3095,6492;-0,33415
factor_midas;Italy;Expenditures;all_vintages;588;8046,1516;4447,6204;-0,4102;;factor_midas;8652,475113;4886,2104;-1,3008375
factor_midas;Spain;Revenues;all_vintages;842;4862,1787;2600,8373;-0,4012;;France;7757,43655;4215,43165;-0,5649
factor_midas;Spain;Expenditures;all_vintages;588;11717,3678;5499,9004;-5,0295;;Germany;11225,30645;7170,26515;-0,99705
sg_lasso;Germany;Revenues;all_vintages;848;13422,839;6557,5949;-2,2016;;Italy;7337,3842;4108,77595;-0,92605
sg_lasso;Germany;Expenditures;all_vintages;588;8941,6109;5789,5751;-0,1975;;Spain;8289,77325;4050,36885;-2,71535
sg_lasso;France;Revenues;all_vintages;848;9186,323;4646,6525;-0,6256;;rw;9295,60745;5414,932125;-1,4786375
sg_lasso;France;Expenditures;all_vintages;588;5845,4208;3328,4191;-0,6422;;France;9558,98525;4889,86375;-1,6107
sg_lasso;Italy;Revenues;all_vintages;848;7322,438;4162,0279;-1,9269;;Germany;11866,1289;7440,50385;-1,2901
sg_lasso;Italy;Expenditures;all_vintages;588;9029,2831;5091,6504;-0,7758;;Italy;8315,2189;5161,57495;-1,2096
sg_lasso;Spain;Revenues;all_vintages;848;5398,0308;2781,051;-0,734;;Spain;7442,09675;4167,78595;-1,80415
sg_lasso;Spain;Expenditures;all_vintages;588;9140,4735;4822,2639;-2,6691;;sg_lasso;8535,802388;4647,40435;-1,2215875
ar1;Germany;Revenues;all_vintages;848;7711,7308;4842,7643;-0,0568;;France;7515,8719;3987,5358;-0,6339
ar1;Germany;Expenditures;all_vintages;588;8692,5967;5885,6445;-0,1317;;Germany;11182,22495;6173,585;-1,19955
ar1;France;Revenues;all_vintages;848;10075,4188;4727,8402;-0,9555;;Italy;8175,86055;4626,83915;-1,35135
ar1;France;Expenditures;all_vintages;588;5464,8457;3182,9167;-0,4354;;Spain;7269,25215;3801,65745;-1,70155
ar1;Italy;Revenues;all_vintages;848;4785,6948;3246,3862;-0,2502;;Total général;8327,339747;4739,747006;-1,086371875
ar1;Italy;Expenditures;all_vintages;588;7598,1176;4006,6789;-0,2575;;;;;
ar1;Spain;Revenues;all_vintages;848;4421,8741;2636,6981;-0,1636;;;;;
ar1;Spain;Expenditures;all_vintages;588;5853,5138;3554,6003;-0,5047;;;;;
rw;Germany;Revenues;all_vintages;848;11149,1102;6651,0094;-1,2088;;;;;
rw;Germany;Expenditures;all_vintages;588;12583,1476;8229,9983;-1,3714;;;;;
rw;France;Revenues;all_vintages;848;11945,201;5962,9634;-1,7487;;;;;
rw;France;Expenditures;all_vintages;588;7172,7695;3816,7641;-1,4727;;;;;
rw;Italy;Revenues;all_vintages;848;5960,7049;4275,827;-0,9395;;;;;
rw;Italy;Expenditures;all_vintages;588;10669,7329;6047,3229;-1,4797;;;;;
rw;Spain;Revenues;all_vintages;848;6636,2654;3469,5566;-1,6208;;;;;
rw;Spain;Expenditures;all_vintages;588;8247,9281;4866,0153;-1,9875;;;;;
