"source","h","estimate","se","ci_low","ci_high","ci_low_68","ci_high_68"
"GDP-weighted country aggregates",0,-2.13484433882152,0.701945144889441,-3.51065682280482,-0.759031854838214,-2.83678948371096,-1.43289919393208
"GDP-weighted country aggregates",1,-8.40626675715581,1.65539849219384,-11.6508478018557,-5.16168571245588,-10.0616652493497,-6.75086826496197
"GDP-weighted country aggregates",2,-1.57811100251964,1.65536370712411,-4.82262386848289,1.6664018634436,-3.23347470964375,0.0772527046044615
"GDP-weighted country aggregates",3,-2.30899076589937,1.0092732222395,-4.28716628148879,-0.330815250309948,-3.31826398813887,-1.29971754365987
"GDP-weighted country aggregates",4,-2.40938511746897,0.801427239023688,-3.9801825059554,-0.838587728982541,-3.21081235649266,-1.60795787844528
"GDP-weighted country aggregates",5,-2.75441641391778,0.730858766433855,-4.18689959612814,-1.32193323170743,-3.48527518035164,-2.02355764748393
"GDP-weighted country aggregates",6,-2.50984859323789,0.660481150957852,-3.80439164911527,-1.2153055373605,-3.17032974419574,-1.84936744228003
"GDP-weighted country aggregates",7,-3.75314173329858,1.50969825028415,-6.71215030385551,-0.794133162741645,-5.26283998358273,-2.24344348301443
"GDP-weighted country aggregates",8,-4.80601841827791,2.21007192104305,-9.13775938352229,-0.474277453033531,-7.01609033932096,-2.59594649723486
"GDP-weighted country aggregates",9,0.918305970996745,3.02317791147175,-5.00712273548787,6.84373467748137,-2.104871940475,3.94148388246849
"GDP-weighted country aggregates",10,-0.980080852247041,1.06640004381149,-3.07022493811756,1.11006323362348,-2.04648089605853,0.0863191915644473
"GDP-weighted country aggregates",11,-2.19725105734303,0.669775528763122,-3.51001109371875,-0.884491020967313,-2.86702658610615,-1.52747552857991
"GDP-weighted country aggregates",12,-1.74283361603833,0.748330798329731,-3.20956198076461,-0.276105251312061,-2.49116441436806,-0.994502817708603
"GDP-weighted country aggregates",13,-2.05904608217882,0.698060374068391,-3.42724441535287,-0.690847749004776,-2.75710645624721,-1.36098570811043
"GDP-weighted country aggregates",14,-2.45039117337723,0.812020181935112,-4.04195072997005,-0.858831616784407,-3.26241135531234,-1.63837099144211
"GDP-weighted country aggregates",15,-2.96263306716737,0.700385213870998,-4.33538808635452,-1.58987804798021,-3.66301828103837,-2.26224785329637
"GDP-weighted country aggregates",16,-2.02236061600037,0.792667935835946,-3.57598977023883,-0.468731461761918,-2.81502855183632,-1.22969268016443
"GDP-weighted country aggregates",17,-2.25661427466508,0.772346117869494,-3.77041266568929,-0.742815883640873,-3.02896039253457,-1.48426815679559
"GDP-weighted country aggregates",18,-3.11245043301486,0.730556384073444,-4.54434094579881,-1.68055992023091,-3.84300681708831,-2.38189404894142
"GDP-weighted country aggregates",19,-2.05064164099291,0.84140918512024,-3.69980364382858,-0.401479638157245,-2.89205082611315,-1.20923245587267
"GDP-weighted country aggregates",20,-2.55082458435305,0.807983301777838,-4.13447185583761,-0.967177312868486,-3.35880788613089,-1.74284128257521
"GDP-weighted country aggregates",21,-2.51591995343681,0.82285921881235,-4.12872402230902,-0.903115884564607,-3.33877917224916,-1.69306073462446
"GDP-weighted country aggregates",22,-2.28616597291319,0.821205859847901,-3.89572945821508,-0.676602487611306,-3.10737183276109,-1.46496011306529
"GDP-weighted country aggregates",23,-2.08052423926822,0.899687000581879,-3.8439107604087,-0.317137718127737,-2.9802112398501,-1.18083723868634
"GDP-weighted country aggregates",24,-2.95196602543337,0.755035454385149,-4.43183551602826,-1.47209653483848,-3.70700147981852,-2.19693057104822
"Direct euro area EA-MD factors",0,-1.12151284582859,0.549016219927905,-2.19758463688729,-0.0454410547698973,-1.6705290657565,-0.572496625900686
"Direct euro area EA-MD factors",1,-4.68277811578612,0.939374896694298,-6.52395291330695,-2.8416033182653,-5.62215301248042,-3.74340321909182
"Direct euro area EA-MD factors",2,-1.43038876740192,0.950992272574322,-3.29433362164759,0.433556086843751,-2.38138103997624,-0.479396494827598
"Direct euro area EA-MD factors",3,-1.4663785806474,0.99647944960441,-3.41947830187205,0.48672114057724,-2.46285803025181,-0.469899131042994
"Direct euro area EA-MD factors",4,-1.39925466988018,0.664644961309545,-2.70195879404689,-0.0965505457134697,-2.06389963118972,-0.734609708570633
"Direct euro area EA-MD factors",5,-1.79637599597844,0.532502511076097,-2.84008091768759,-0.752671074269294,-2.32887850705454,-1.26387348490235
"Direct euro area EA-MD factors",6,-1.63841234318919,0.652007120119189,-2.9163462986228,-0.360478387755582,-2.29041946330838,-0.986405223070004
"Direct euro area EA-MD factors",7,-2.46805723762545,1.07227171905832,-4.56970980697976,-0.366404668271132,-3.54032895668377,-1.39578551856712
"Direct euro area EA-MD factors",8,-3.23221548671238,1.86525336118275,-6.88811207463056,0.423681101205799,-5.09746884789513,-1.36696212552964
"Direct euro area EA-MD factors",9,0.41287692740136,1.58564549432575,-2.6949882414771,3.52074209627982,-1.17276856692439,1.99852242172711
"Direct euro area EA-MD factors",10,-0.218990195186745,1.02443390496433,-2.22688064891683,1.78890025854334,-1.24342410015107,0.805443709777584
"Direct euro area EA-MD factors",11,-1.10610238436083,0.780975432598665,-2.63681423225422,0.424609463532549,-1.8870778169595,-0.325126951762169
"Direct euro area EA-MD factors",12,-1.02712631744815,0.605239320902495,-2.21339538641704,0.159142751520743,-1.63236563835064,-0.421886996545652
"Direct euro area EA-MD factors",13,-1.08406376575495,0.59234450701568,-2.24505899950568,0.0769314679957851,-1.67640827277063,-0.491719258739267
"Direct euro area EA-MD factors",14,-1.51372285556181,0.743719608494033,-2.97141328821012,-0.0560324229135074,-2.25744246405584,-0.770003247067779
"Direct euro area EA-MD factors",15,-1.42821896912803,0.58926056053678,-2.58316966778012,-0.273268270475942,-2.01747952966481,-0.838958408591251
"Direct euro area EA-MD factors",16,-0.699714803142555,0.789643290784533,-2.24741565308024,0.84798604679513,-1.48935809392709,0.089928487641978
