"specification","lag","statistic","p_value"
"GDP-weighted country aggregates",1,1.28780856339849,0.25645219758734
"GDP-weighted country aggregates",2,2.89914787649154,0.234670250815867
"GDP-weighted country aggregates",3,2.97628063773722,0.39529671148931
"GDP-weighted country aggregates",4,3.73731438894118,0.442722041946679
"GDP-weighted country aggregates",5,3.97679013366385,0.552762436886661
"GDP-weighted country aggregates",6,9.76975256453551,0.134689137731458
"GDP-weighted country aggregates",7,10.9054063387049,0.142798704840189
"GDP-weighted country aggregates",8,13.0031497217498,0.111741285619329
"GDP-weighted country aggregates",9,16.6382245637943,0.0546920949733128
"GDP-weighted country aggregates",10,16.6523297695684,0.0824198247678799
"GDP-weighted country aggregates",11,18.8918690911689,0.0630623236786353
"GDP-weighted country aggregates",12,19.1277691631842,0.0854913102890612
"GDP-weighted country aggregates",13,19.5922402103636,0.10585447496825
"GDP-weighted country aggregates",14,25.0141429562668,0.0344280270817497
"GDP-weighted country aggregates",15,25.3249638707875,0.0457458113974245
"GDP-weighted country aggregates",16,26.7836890045689,0.0439509125607332
"GDP-weighted country aggregates",17,27.7427544070568,0.0480352519034711
"GDP-weighted country aggregates",18,29.8652683251744,0.0387771460038696
"GDP-weighted country aggregates",19,30.276672070825,0.0483812031039379
"GDP-weighted country aggregates",20,30.4400578429615,0.0630300624941394
"GDP-weighted country aggregates",21,30.4798771537543,0.0827606254840024
"GDP-weighted country aggregates",22,31.7107459424075,0.0824629418547831
"GDP-weighted country aggregates",23,32.0393192516001,0.099328457283485
"GDP-weighted country aggregates",24,32.3940917459821,0.117517240043881
"GDP-weighted country aggregates",25,32.407699176229,0.146550944731743
"GDP-weighted country aggregates",26,33.4848481799441,0.148492101920646
"GDP-weighted country aggregates",27,34.576681215922,0.149916594867718
"GDP-weighted country aggregates",28,35.9582484759931,0.143664016777595
"GDP-weighted country aggregates",29,36.1177818629586,0.170158199568361
"GDP-weighted country aggregates",30,36.1319625403518,0.203788588718341
"Direct euro area EA-MD factors",1,11.4700912866808,0.000707252064636399
"Direct euro area EA-MD factors",2,12.3025065531913,0.00213080960210066
"Direct euro area EA-MD factors",3,12.7885752616773,0.00511686407577494
"Direct euro area EA-MD factors",4,14.0154727843332,0.00724583637088339
"Direct euro area EA-MD factors",5,14.1255151488358,0.014831480536319
"Direct euro area EA-MD factors",6,14.8552303524578,0.0214130811514421
"Direct euro area EA-MD factors",7,17.2770703664869,0.01569433806397
"Direct euro area EA-MD factors",8,18.6181197293828,0.0170408970364389
"Direct euro area EA-MD factors",9,21.248055144091,0.0115934117305949
"Direct euro area EA-MD factors",10,21.2667943267042,0.0193081202551767
"Direct euro area EA-MD factors",11,21.9238632040737,0.0249697645074252
"Direct euro area EA-MD factors",12,22.2112234171903,0.0352195738232008
"Direct euro area EA-MD factors",13,22.5067621798824,0.047990326898867
"Direct euro area EA-MD factors",14,22.5621959692714,0.0677770732817204
"Direct euro area EA-MD factors",15,23.7431873524353,0.0695849240801656
"Direct euro area EA-MD factors",16,24.4564951941039,0.0799974502293406
"Direct euro area EA-MD factors",17,24.77450308429,0.0998719394943961
"Direct euro area EA-MD factors",18,25.5166908004095,0.111333029281157
"Direct euro area EA-MD factors",19,25.7628191004722,0.136934597918155
"Direct euro area EA-MD factors",20,26.3228594423256,0.155411655451301
"Direct euro area EA-MD factors",21,26.4262209344903,0.190661243653179
"Direct euro area EA-MD factors",22,27.7234955476434,0.185026674631604
"Direct euro area EA-MD factors",23,27.7394510338189,0.225794977621836
"Direct euro area EA-MD factors",24,28.9694772849821,0.221281703410459
"Direct euro area EA-MD factors",25,30.364048950284,0.210946798898749
"Direct euro area EA-MD factors",26,30.8822910923098,0.232682425387153
"Direct euro area EA-MD factors",27,30.9837525174171,0.271806244642885
"Direct euro area EA-MD factors",28,31.0002839036907,0.317067919079857
"Direct euro area EA-MD factors",29,31.8192738830962,0.327861895355447
"Direct euro area EA-MD factors",30,31.8193449264678,0.37597628538356
