"source","fragmentation_index","frag_ea_c","marginal_effect","ci_low","ci_high","ci_low_68","ci_high_68"
"GDP-weighted country aggregates",80.1181040234606,-19.8818959765394,3.56272443796476,0.226682114645609,6.8987667612839,1.86066202810805,5.26478684782146
"GDP-weighted country aggregates",80.6024821686617,-19.3975178313383,3.44385050780829,0.192579067321751,6.69512194829482,1.78503854837638,5.10266246724019
"GDP-weighted country aggregates",81.0868603138628,-18.9131396861372,3.32497657765182,0.158399122087638,6.491554033216,1.70937583501703,4.9405773202866
"GDP-weighted country aggregates",81.5712384590638,-18.4287615409362,3.20610264749535,0.124135939357773,6.28806935563292,1.63367065354761,4.77853464144309
"GDP-weighted country aggregates",82.0556166042649,-17.9443833957351,3.08722871733888,0.0897824703368517,6.08467496434091,1.55791940764397,4.61653802703379
"GDP-weighted country aggregates",82.539994749466,-17.460005250534,2.96835478718241,0.0553308561303743,5.88137871823444,1.48211808766606,4.45459148669875
"GDP-weighted country aggregates",83.0243728946671,-16.9756271053329,2.84948085702594,0.0207723093465768,5.6781894047053,1.40626221025075,4.29269950380113
"GDP-weighted country aggregates",83.5087510398682,-16.4912489601318,2.73060692686947,-0.0139030254105106,5.47511687914945,1.33034674713479,4.13086710660416
"GDP-weighted country aggregates",83.9931291850693,-16.0068708149307,2.611732996713,-0.0487062366149424,5.27217223004094,1.25436604093344,3.96909995249256
"GDP-weighted country aggregates",84.4775073302703,-15.5224926697297,2.49285906655653,-0.0836498420083913,5.06936797512145,1.17831370504382,3.80740442806925
"GDP-weighted country aggregates",84.9618854754714,-15.0381145245286,2.37398513640006,-0.118748022848111,4.86671829564823,1.10218250413059,3.64578776866954
"GDP-weighted country aggregates",85.4462636206725,-14.5537363793275,2.25511120624359,-0.154016904947981,4.66423931743516,1.02596421073769,3.4842582017495
"GDP-weighted country aggregates",85.9306417658736,-14.0693582341264,2.13623727608712,-0.189474897563932,4.46194944973818,0.949649432387605,3.32282511978664
"GDP-weighted country aggregates",86.4150199110747,-13.5849800889253,2.01736334593065,-0.225143104187401,4.25986979604871,0.87322740199287,3.16149928986844
"GDP-weighted country aggregates",86.8993980562757,-13.1006019437243,1.89848941577418,-0.261045823250773,4.05802465479914,0.796685722394104,3.00029310915426
"GDP-weighted country aggregates",87.3837762014768,-12.6162237985232,1.77961548561771,-0.297211161933113,3.85644213316854,0.720010053193823,2.83922091804161
"GDP-weighted country aggregates",87.8681543466779,-12.1318456533221,1.66074155546124,-0.333671793115465,3.65515490403796,0.64318372455476,2.67829938636773
"GDP-weighted country aggregates",88.352532491879,-11.647467508121,1.54186762530478,-0.370465894665488,3.45420114527504,0.566187257973008,2.51754799263654
"GDP-weighted country aggregates",88.8369106370801,-11.1630893629199,1.42299369514831,-0.407638322445587,3.2536257127422,0.488997767804483,2.35698962249213
"GDP-weighted country aggregates",89.3212887822812,-10.6787112177188,1.30411976499184,-0.445242084853714,3.05348161483739,0.411588208948188,2.19665132103548
"GDP-weighted country aggregates",89.8056669274822,-10.1943330725178,1.18524583483537,-0.483340208845729,2.85383187851646,0.333926424793991,2.03656524487674
"GDP-weighted country aggregates",90.2900450726833,-9.70995492731668,1.0663719046789,-0.52200811731104,2.65475192666883,0.255973934275868,1.87676987508193
