"specification","nw_lag","coefficient","estimate","std_error","t_stat","p_value"
"GDP-weighted country aggregates",24,"(Intercept)",0.304052283070905,0.220733051205327,1.37746604511924,0.17061439563309
"GDP-weighted country aggregates",24,"MPS",-1.31660204922057,0.330980509351715,-3.97788392977994,0.000112139267370161
"GDP-weighted country aggregates",24,"frag_ea_c",-0.00606913277203131,0.012505974165918,-0.48529868137512,0.628239644763896
"GDP-weighted country aggregates",24,"Labor",-3.3636139783388,1.7876199703291,-1.88161579875367,0.0620098728835385
"GDP-weighted country aggregates",24,"Financials",5.67617141013589,0.90474128439307,6.27380612341975,0.00000000431545544543592
"GDP-weighted country aggregates",24,"Turnover",-1.97187930207913,0.48657689954721,-4.05255429083067,0.0000844907083884962
"GDP-weighted country aggregates",24,"Prices",-0.350011806112752,0.296089688565797,-1.18211413510596,0.239208107101012
"GDP-weighted country aggregates",24,"Confidence",-2.31054434741631,0.427212221006804,-5.40842287229304,0.000000275116567928437
"GDP-weighted country aggregates",24,"MPS:frag_ea_c",-0.245415552568172,0.0907908719689551,-2.70308619408445,0.00773997517370953
"Direct euro area EA-MD factors",14,"(Intercept)",0.245597343146336,0.141751909943864,1.73258577781137,0.0853103270800842
"Direct euro area EA-MD factors",14,"MPS",-1.17542621024117,0.34898922095208,-3.36808743557889,0.000971170754538684
"Direct euro area EA-MD factors",14,"frag_ea_c",-0.00917117363540002,0.0131199740676967,-0.699023762400628,0.485664685799828
"Direct euro area EA-MD factors",14,"Labor",-2.13581230556176,1.3706985607261,-1.55819256454924,0.121382685340151
"Direct euro area EA-MD factors",14,"Financials",-0.427836988766031,0.146688246780745,-2.91664123169677,0.00410563822668915
"Direct euro area EA-MD factors",14,"Turnover",0.943885263590443,0.26157328102067,3.60849265608232,0.000424113525120733
"Direct euro area EA-MD factors",14,"Prices",-1.3978306464348,0.5088566766688,-2.74700266406175,0.00678293320206809
"Direct euro area EA-MD factors",14,"Confidence",-0.922043351182784,0.407106003351438,-2.26487289205318,0.025013126815399
"Direct euro area EA-MD factors",14,"MPS:frag_ea_c",-0.101947378963521,0.108736379898807,-0.937564585637265,0.350038045172712
