"specification","nw_lag","coefficient","estimate","std_error","t_stat","p_value"
"GDP-weighted country aggregates",24,"(Intercept)",0.292727153134416,0.206442044224846,1.41796286814324,0.158472162932998
"GDP-weighted country aggregates",24,"MPS",-0.23189311980661,0.277290009513211,-0.836283716869943,0.404451579262535
"GDP-weighted country aggregates",24,"frag_ea_std",0.11912058318996,0.196063204554744,0.607562155583865,0.544483660731293
"GDP-weighted country aggregates",24,"Labor",-3.6344757634022,1.82233788383101,-1.99440279195735,0.0480927071769462
"GDP-weighted country aggregates",24,"Financials",5.69642063448701,0.936995629099807,6.07945272910151,0.0000000112943420706777
"GDP-weighted country aggregates",24,"Turnover",-1.93486863175562,0.517264285621521,-3.74058036779162,0.000269040704408123
"GDP-weighted country aggregates",24,"Prices",-0.385381140221847,0.296315745403877,-1.30057597748163,0.195587121762144
"GDP-weighted country aggregates",24,"Confidence",-2.24813174634249,0.484638659144843,-4.6387792305083,0.00000809684689159879
"GDP-weighted country aggregates",24,"MPS:frag_ea_std",-2.16753285530437,0.58709143736368,-3.69198512762786,0.000320337748768733
"Direct euro area EA-MD factors",14,"(Intercept)",0.283055442695934,0.145618467953748,1.94381555219933,0.0538675634192029
"Direct euro area EA-MD factors",14,"MPS",-0.770997860883083,0.281158986180259,-2.74221312061772,0.00687756047684492
"Direct euro area EA-MD factors",14,"frag_ea_std",-0.365099725157826,0.164720823930461,-2.21647583132512,0.0282274301234145
"Direct euro area EA-MD factors",14,"Labor",-2.67456471658799,1.2693083576095,-2.1071039992402,0.0368420712162536
"Direct euro area EA-MD factors",14,"Financials",-0.425070102496805,0.151493107689595,-2.8058709005281,0.0057126576373617
"Direct euro area EA-MD factors",14,"Turnover",0.96702776171412,0.256287865164733,3.77320932105992,0.00023480276748442
"Direct euro area EA-MD factors",14,"Prices",-1.46232012257982,0.498198660163231,-2.93521488416028,0.00388086734736868
"Direct euro area EA-MD factors",14,"Confidence",-0.844917822056937,0.481166136654332,-1.75597939608107,0.0812179957285977
"Direct euro area EA-MD factors",14,"MPS:frag_ea_std",-1.02282218627991,0.537589388116548,-1.90260858731491,0.0590879174687338
