"publication_date","target_date","target_pub_date","nowcast_value","actual","Model","Country","Block","error","abs_error","sq_error"
2013-10-02,2013-10-01,2013-12-15,6640.20431204848,-916,"factor_midas","Germany","Revenues",-7556.20431204848,7556.20431204848,57096223.60542
2013-10-05,2013-10-01,2013-12-15,7159.5034156585,-916,"factor_midas","Germany","Revenues",-8075.5034156585,8075.5034156585,65213755.4163121
2013-10-15,2013-10-01,2013-12-15,5452.73281878785,-916,"factor_midas","Germany","Revenues",-6368.73281878785,6368.73281878785,40560757.7171055
2013-10-27,2013-10-01,2013-12-15,4275.57494271794,-916,"factor_midas","Germany","Revenues",-5191.57494271794,5191.57494271794,26952450.3858568
2013-10-31,2013-10-01,2013-12-15,4306.63619601564,-916,"factor_midas","Germany","Revenues",-5222.63619601564,5222.63619601564,27275928.8359327
2013-11-01,2013-10-01,2013-12-15,4231.74772100482,-916,"factor_midas","Germany","Revenues",-5147.74772100482,5147.74772100482,26499306.5991103
2013-11-05,2013-10-01,2013-12-15,4596.60989568111,-916,"factor_midas","Germany","Revenues",-5512.60989568111,5512.60989568111,30388867.8619613
2013-11-15,2013-10-01,2013-12-15,6785.47181815537,-916,"factor_midas","Germany","Revenues",-7701.47181815537,7701.47181815537,59312668.1658414
2013-11-27,2013-10-01,2013-12-15,8753.88671501003,-916,"factor_midas","Germany","Revenues",-9669.88671501003,9669.88671501003,93506709.0811274
2013-11-28,2013-10-01,2013-12-15,9056.98274872444,-916,"factor_midas","Germany","Revenues",-9972.98274872444,9972.98274872444,99460384.9063554
2013-12-05,2013-10-01,2013-12-15,10131.9949208412,-916,"factor_midas","Germany","Revenues",-11047.9949208412,11047.9949208412,122058191.770932
2013-12-07,2013-10-01,2013-12-15,9474.81544744915,-916,"factor_midas","Germany","Revenues",-10390.8154474492,10390.8154474492,107969045.662948
2013-12-15,2014-01-01,2014-03-15,3635.60095892683,6157,"factor_midas","Germany","Revenues",2521.39904107317,2521.39904107317,6357453.12432471
2013-12-26,2014-01-01,2014-03-15,3638.7077266212,6157,"factor_midas","Germany","Revenues",2518.2922733788,2518.2922733788,6341795.97415934
2013-12-27,2014-01-01,2014-03-15,3535.25160067244,6157,"factor_midas","Germany","Revenues",2621.74839932756,2621.74839932756,6873564.6693766
2014-01-01,2014-01-01,2014-03-15,3066.01119254242,6157,"factor_midas","Germany","Revenues",3090.98880745758,3090.98880745758,9554211.80782804
2014-01-03,2014-01-01,2014-03-15,3218.5497362816,6157,"factor_midas","Germany","Revenues",2938.4502637184,2938.4502637184,8634489.95234673
2014-01-05,2014-01-01,2014-03-15,3651.81127538935,6157,"factor_midas","Germany","Revenues",2505.18872461065,2505.18872461065,6275970.54591636
2014-01-27,2014-01-01,2014-03-15,4261.19366515631,6157,"factor_midas","Germany","Revenues",1895.80633484369,1895.80633484369,3594081.65923348
2014-01-30,2014-01-01,2014-03-15,4386.33580821651,6157,"factor_midas","Germany","Revenues",1770.66419178349,1770.66419178349,3135251.68006427
2014-02-01,2014-01-01,2014-03-15,5956.38295563341,6157,"factor_midas","Germany","Revenues",200.617044366585,200.617044366585,40247.1984903844
2014-02-05,2014-01-01,2014-03-15,5157.2414680074,6157,"factor_midas","Germany","Revenues",999.758531992604,999.758531992604,999517.122292006
2014-02-06,2014-01-01,2014-03-15,5181.69662918089,6157,"factor_midas","Germany","Revenues",975.303370819108,975.303370819108,951216.665131114
2014-02-15,2014-01-01,2014-03-15,6677.85295801745,6157,"factor_midas","Germany","Revenues",-520.852958017445,520.852958017445,271287.803875523
2014-02-27,2014-01-01,2014-03-15,8358.87553095972,6157,"factor_midas","Germany","Revenues",-2201.87553095972,2201.87553095972,4848255.85383915
2014-03-01,2014-01-01,2014-03-15,9796.63787736794,6157,"factor_midas","Germany","Revenues",-3639.63787736794,3639.63787736794,13246963.8783714
2014-03-05,2014-01-01,2014-03-15,11332.31981298,6157,"factor_midas","Germany","Revenues",-5175.31981298004,5175.31981298004,26783935.1666237
2014-03-06,2014-01-01,2014-03-15,11630.3954608343,6157,"factor_midas","Germany","Revenues",-5473.39546083432,5473.39546083432,29958057.8706818
2014-03-15,2014-04-01,2014-06-15,5012.28503338134,2966,"factor_midas","Germany","Revenues",-2046.28503338134,2046.28503338134,4187282.43784045
2014-03-27,2014-04-01,2014-06-15,5387.83307991908,2966,"factor_midas","Germany","Revenues",-2421.83307991908,2421.83307991908,5865275.46699031
2014-04-01,2014-04-01,2014-06-15,5057.26040047331,2966,"factor_midas","Germany","Revenues",-2091.26040047331,2091.26040047331,4373370.06258778
2014-04-02,2014-04-01,2014-06-15,4856.28418618834,2966,"factor_midas","Germany","Revenues",-1890.28418618834,1890.28418618834,3573174.30455372
2014-04-05,2014-04-01,2014-06-15,4744.94561210266,2966,"factor_midas","Germany","Revenues",-1778.94561210266,1778.94561210266,3164647.49081932
2014-04-15,2014-04-01,2014-06-15,4612.37280323083,2966,"factor_midas","Germany","Revenues",-1646.37280323083,1646.37280323083,2710543.40721813
2014-04-24,2014-04-01,2014-06-15,4654.25086998731,2966,"factor_midas","Germany","Revenues",-1688.25086998731,1688.25086998731,2850191.0000129
2014-04-27,2014-04-01,2014-06-15,4520.85531324492,2966,"factor_midas","Germany","Revenues",-1554.85531324492,1554.85531324492,2417575.04512595
2014-05-01,2014-04-01,2014-06-15,4372.00240182734,2966,"factor_midas","Germany","Revenues",-1406.00240182734,1406.00240182734,1976842.75394424
2014-05-04,2014-04-01,2014-06-15,3761.91771393381,2966,"factor_midas","Germany","Revenues",-795.917713933808,795.917713933808,633485.007353619
2014-05-05,2014-04-01,2014-06-15,3775.32207768548,2966,"factor_midas","Germany","Revenues",-809.322077685482,809.322077685482,655002.225429146
2014-05-15,2014-04-01,2014-06-15,3610.2752935383,2966,"factor_midas","Germany","Revenues",-644.275293538299,644.275293538299,415090.653863861
2014-05-27,2014-04-01,2014-06-15,3145.77219256236,2966,"factor_midas","Germany","Revenues",-179.772192562357,179.772192562357,32318.0412186771
2014-05-29,2014-04-01,2014-06-15,3115.66185842085,2966,"factor_midas","Germany","Revenues",-149.661858420848,149.661858420848,22398.6718659819
2014-06-01,2014-04-01,2014-06-15,-6541.63242633179,2966,"factor_midas","Germany","Revenues",9507.63242633179,9507.63242633179,90395074.3542357
2014-06-05,2014-04-01,2014-06-15,-6705.91113130383,2966,"factor_midas","Germany","Revenues",9671.91113130383,9671.91113130383,93545864.931839
2014-06-07,2014-04-01,2014-06-15,-5912.91371594026,2966,"factor_midas","Germany","Revenues",8878.91371594026,8878.91371594026,78835108.775112
2014-06-15,2014-07-01,2014-09-15,2666.99987492715,3466,"factor_midas","Germany","Revenues",799.000125072848,799.000125072848,638401.199866427
2014-06-26,2014-07-01,2014-09-15,2323.8084887141,3466,"factor_midas","Germany","Revenues",1142.1915112859,1142.1915112859,1304601.44845356
2014-06-27,2014-07-01,2014-09-15,2995.05641887729,3466,"factor_midas","Germany","Revenues",470.943581122713,470.943581122713,221787.856600685
2014-07-01,2014-07-01,2014-09-15,2825.2974054812,3466,"factor_midas","Germany","Revenues",640.702594518802,640.702594518802,410499.814623124
2014-07-02,2014-07-01,2014-09-15,1318.46294416252,3466,"factor_midas","Germany","Revenues",2147.53705583748,2147.53705583748,4611915.40619513
2014-07-05,2014-07-01,2014-09-15,1213.55903768044,3466,"factor_midas","Germany","Revenues",2252.44096231956,2252.44096231956,5073490.28873505
2014-07-15,2014-07-01,2014-09-15,2524.66659310947,3466,"factor_midas","Germany","Revenues",941.333406890526,941.333406890526,886108.582928124
2014-07-27,2014-07-01,2014-09-15,2325.41953671546,3466,"factor_midas","Germany","Revenues",1140.58046328454,1140.58046328454,1300923.79322637
2014-07-31,2014-07-01,2014-09-15,2272.97239545576,3466,"factor_midas","Germany","Revenues",1193.02760454424,1193.02760454424,1423314.86520457
2014-08-01,2014-07-01,2014-09-15,1819.53624912371,3466,"factor_midas","Germany","Revenues",1646.46375087629,1646.46375087629,2710842.88294962
2014-08-05,2014-07-01,2014-09-15,2505.0388231541,3466,"factor_midas","Germany","Revenues",960.961176845897,960.961176845897,923446.383405051
2014-08-15,2014-07-01,2014-09-15,2441.41363865598,3466,"factor_midas","Germany","Revenues",1024.58636134402,1024.58636134402,1049777.21185217
2014-08-27,2014-07-01,2014-09-15,2286.14356191212,3466,"factor_midas","Germany","Revenues",1179.85643808788,1179.85643808788,1392061.21449743
2014-08-28,2014-07-01,2014-09-15,2065.24500247046,3466,"factor_midas","Germany","Revenues",1400.75499752954,1400.75499752954,1962114.56310399
2014-09-01,2014-07-01,2014-09-15,1572.7816162852,3466,"factor_midas","Germany","Revenues",1893.2183837148,1893.2183837148,3584275.8484357
2014-09-05,2014-07-01,2014-09-15,3291.20105451938,3466,"factor_midas","Germany","Revenues",174.798945480619,174.798945480619,30554.6713411364
2014-09-15,2014-10-01,2014-12-15,2497.83471891963,5375,"factor_midas","Germany","Revenues",2877.16528108037,2877.16528108037,8278080.05465427
2014-09-25,2014-10-01,2014-12-15,2469.3742303444,5375,"factor_midas","Germany","Revenues",2905.6257696556,2905.6257696556,8442661.11328667
2014-09-27,2014-10-01,2014-12-15,2515.01019309814,5375,"factor_midas","Germany","Revenues",2859.98980690186,2859.98980690186,8179541.69558254
2014-10-01,2014-10-01,2014-12-15,2510.51346957576,5375,"factor_midas","Germany","Revenues",2864.48653042424,2864.48653042424,8205283.08298191
2014-10-03,2014-10-01,2014-12-15,2692.97935999842,5375,"factor_midas","Germany","Revenues",2682.02064000158,2682.02064000158,7193234.71339446
2014-10-05,2014-10-01,2014-12-15,2985.06172095093,5375,"factor_midas","Germany","Revenues",2389.93827904907,2389.93827904907,5711804.97766405
2014-10-15,2014-10-01,2014-12-15,2857.76259223156,5375,"factor_midas","Germany","Revenues",2517.23740776844,2517.23740776844,6336484.16706876
2014-10-27,2014-10-01,2014-12-15,2730.88524058501,5375,"factor_midas","Germany","Revenues",2644.11475941499,2644.11475941499,6991342.86095617
2014-10-30,2014-10-01,2014-12-15,2729.62897391999,5375,"factor_midas","Germany","Revenues",2645.37102608001,2645.37102608001,6997987.86562363
2014-11-01,2014-10-01,2014-12-15,2676.03572777948,5375,"factor_midas","Germany","Revenues",2698.96427222052,2698.96427222052,7284408.14272282
2014-11-05,2014-10-01,2014-12-15,2660.1151495354,5375,"factor_midas","Germany","Revenues",2714.8848504646,2714.8848504646,7370599.75128222
