"Model","Country","Block","Sample","N","RMSE","MAE","R2"
"factor_midas","Germany","Revenues","all_vintages",802,9683.6206,5863.1937,-0.6221
"factor_midas","Germany","Revenues","last_before_release",48,8806.2102,5885.8138,-0.3223
"factor_midas","Germany","Expenditures","all_vintages",571,12766.9923,8477.3366,-1.372
"factor_midas","Germany","Expenditures","last_before_release",50,13611.1955,8748.8548,-1.7262
"factor_midas","France","Revenues","all_vintages",773,10452.6204,5209.3266,-0.9424
"factor_midas","France","Revenues","last_before_release",48,6259.7678,4373.9358,0.2813
"factor_midas","France","Expenditures","all_vintages",566,5062.2527,3221.5367,-0.1874
"factor_midas","France","Expenditures","last_before_release",51,5505.2079,3474.7192,-0.4833
"factor_midas","Italy","Revenues","all_vintages",833,6628.6168,3769.9315,-1.4419
"factor_midas","Italy","Revenues","last_before_release",51,5332.0436,3480.236,-0.5321
"factor_midas","Italy","Expenditures","all_vintages",588,8046.1516,4447.6204,-0.4102
"factor_midas","Italy","Expenditures","last_before_release",51,8221.9627,4622.4961,-0.4383
"factor_midas","Spain","Revenues","all_vintages",842,4862.1787,2600.8373,-0.4012
"factor_midas","Spain","Revenues","last_before_release",51,3687.2962,2264.5941,0.193
"factor_midas","Spain","Expenditures","all_vintages",588,11717.3678,5499.9004,-5.0295
"factor_midas","Spain","Expenditures","last_before_release",51,11560.7753,5749.7939,-4.5406
"sg_lasso","Germany","Revenues","all_vintages",848,13422.839,6557.5949,-2.2016
"sg_lasso","Germany","Revenues","last_before_release",51,14824.6509,7212.0568,-2.8673
"sg_lasso","Germany","Expenditures","all_vintages",588,8941.6109,5789.5751,-0.1975
"sg_lasso","Germany","Expenditures","last_before_release",51,9432.4913,5931.3355,-0.3353
"sg_lasso","France","Revenues","all_vintages",848,9186.323,4646.6525,-0.6256
"sg_lasso","France","Revenues","last_before_release",51,7610.3493,4324.3043,-0.1119
"sg_lasso","France","Expenditures","all_vintages",588,5845.4208,3328.4191,-0.6422
"sg_lasso","France","Expenditures","last_before_release",51,4767.7453,2931.3439,-0.1126
"sg_lasso","Italy","Revenues","all_vintages",848,7322.438,4162.0279,-1.9269
"sg_lasso","Italy","Revenues","last_before_release",51,7602.6428,4356.6295,-2.1148
"sg_lasso","Italy","Expenditures","all_vintages",588,9029.2831,5091.6504,-0.7758
"sg_lasso","Italy","Expenditures","last_before_release",51,10150.9031,6026.2315,-1.1924
"sg_lasso","Spain","Revenues","all_vintages",848,5398.0308,2781.051,-0.734
"sg_lasso","Spain","Revenues","last_before_release",51,4538.6978,2597.7136,-0.2226
"sg_lasso","Spain","Expenditures","all_vintages",588,9140.4735,4822.2639,-2.6691
"sg_lasso","Spain","Expenditures","last_before_release",51,8549.3237,5032.1107,-2.03
"ar1","Germany","Revenues","all_vintages",848,7711.7308,4842.7643,-0.0568
"ar1","Germany","Revenues","last_before_release",51,7753.3739,4848.5154,-0.0579
"ar1","Germany","Expenditures","all_vintages",588,8692.5967,5885.6445,-0.1317
"ar1","Germany","Expenditures","last_before_release",51,8729.2285,5913.7123,-0.1437
"ar1","France","Revenues","all_vintages",848,10075.4188,4727.8402,-0.9555
"ar1","France","Revenues","last_before_release",51,10034.0433,4733.6899,-0.9329
"ar1","France","Expenditures","all_vintages",588,5464.8457,3182.9167,-0.4354
"ar1","France","Expenditures","last_before_release",51,5468.15,3184.9939,-0.4634
"ar1","Italy","Revenues","all_vintages",848,4785.6948,3246.3862,-0.2502
"ar1","Italy","Revenues","last_before_release",51,4818.3718,3266.4083,-0.2511
"ar1","Italy","Expenditures","all_vintages",588,7598.1176,4006.6789,-0.2575
"ar1","Italy","Expenditures","last_before_release",51,7710.6022,4059.8036,-0.265
"ar1","Spain","Revenues","all_vintages",848,4421.8741,2636.6981,-0.1636
"ar1","Spain","Revenues","last_before_release",51,4394.4297,2607.6535,-0.1462
"ar1","Spain","Expenditures","all_vintages",588,5853.5138,3554.6003,-0.5047
"ar1","Spain","Expenditures","last_before_release",51,5966.1817,3621.4566,-0.4756
"rw","Germany","Revenues","all_vintages",848,11149.1102,6651.0094,-1.2088
"rw","Germany","Revenues","last_before_release",51,11120.7539,6643.0784,-1.1763
"rw","Germany","Expenditures","all_vintages",588,12583.1476,8229.9983,-1.3714
"rw","Germany","Expenditures","last_before_release",51,12495.7886,8171.3725,-1.3435
"rw","France","Revenues","all_vintages",848,11945.201,5962.9634,-1.7487
"rw","France","Revenues","last_before_release",51,11816.9187,5949.5804,-1.6808
"rw","France","Expenditures","all_vintages",588,7172.7695,3816.7641,-1.4727
"rw","France","Expenditures","last_before_release",51,7151.2243,3822.549,-1.503
"rw","Italy","Revenues","all_vintages",848,5960.7049,4275.827,-0.9395
"rw","Italy","Revenues","last_before_release",51,5952.2196,4280.4332,-0.9092
"rw","Italy","Expenditures","all_vintages",588,10669.7329,6047.3229,-1.4797
"rw","Italy","Expenditures","last_before_release",51,10843.9981,6103.8754,-1.502
"rw","Spain","Revenues","all_vintages",848,6636.2654,3469.5566,-1.6208
"rw","Spain","Revenues","last_before_release",51,6592.0489,3438,-1.5792
"rw","Spain","Expenditures","all_vintages",588,8247.9281,4866.0153,-1.9875
"rw","Spain","Expenditures","last_before_release",51,8457.654,4944.5098,-1.9654
